ID,問題,難易度,解答,別答,意味,同音異義語用
I0023,【キンシツ】相和す,◆１,琴瑟,,"👉きんしつあいわす。
夫婦が仲むつまじいたとえ。また、兄弟や友人の仲のよいことにもいう。〈漢字ペディア〉
★「瑟」は、琴の大型のもの。
★琴と瑟は、合奏すると音色がよく調和することから。
＊『詩経-小雅･常棣』",キンシツ
I0024,【ゲキ】を飛ばす,◆１,檄,,"👉げきをとばす。
自分の主張や意見を急いで多数の人に知らせ、同調して行動するように促すこと。〈漢字ペディア〉
★激励する意で使うのは誤り。
＊『海に生くる人々〈葉山嘉樹〉二九』",ゲキ
I0025,【コウケイ】に中たる,◆１,肯綮,,"👉こうけいにあたる。
意見や批判が、物事の核心をとらえていること。急所をつくたとえ。〈漢字ペディア〉
★「肯」は、骨に付いた肉。
★「綮」は、筋肉と骨とを結ぶところ。
＊『元史-王都中伝』",コウケイ
I0026,【コケン】に関わる,◆１,沽券,估券,"👉こけんにかかわる。
それまで保っていた品位や体面がけがされるおそれがある。〈漢字ペディア〉
★「沽券･估券」は、不動産の売買を証明する文書。転じて、人間の価値や信用･面子の意。
＊『入れ札〈菊池寛〉』",コケン
I0027,【ゴマメ】の歯軋り,◆１,鱓,,"👉ごまめのはぎしり。
能力のない者がくやしがったり、いきりたったりしても、どうしようもないたとえ〈漢字ペディア〉
＊『和歌民のかまど』",ゴマメ
I0028,【サイ】は投げられた,◆１,賽,,"👉さいはなげられた。
一度始めてしまったことは、予定どおりに最後まで実行するほかはないということ。〈漢字ペディア〉
★ポンペイウスと対立したカエサル(ｼｰｻﾞｰ)が、北からイタリアに入る時は、軍隊を解散してから渡らねばならないという法を破ってルビコン川を渡るときに言ったといわれることば。
＊『ブウランジェ将軍の悲劇〈大仏次郎〉四月一日･四』",サイ
I0029,【スイゼン】の的,◆１,垂涎,,"👉すいぜんのまと。
だれもがほしくてたまらないもの。〈漢字ペディア〉
＊不明",スイゼン
I0030,青天の【ヘキレキ】,◆１,霹靂,,"👉せいてんのへきれき。
思いがけない事件が起こるたとえ。〈漢字ペディア〉
★「霹靂」は、雷鳴の意。
★よく晴れた空に、突然雷鳴がとどろく意から。
＊『陸游-九月四日雞未鳴起作詩』",ヘキレキ
I0031,【ソジョウ】の肉,◆１,俎上,,"👉そじょうのにく。
他人に運命がすべて握られ、身動きがとれない状態のたとえ。〈漢字ペディア〉
★まないたの上に置かれた、料理直前の魚肉の意から。
＊『史記-陳丞相世家』",ソジョウ
I0032,【タデ】食う虫も好き好き,◆１,蓼,,"👉たでくうむしもすきずき。
人の好みはさまざまであることのたとえ。〈漢字ペディア〉
★タデの葉は食べると辛いが、それを好んで食べる虫もあることから、人の嫌うものを好む者もいれば、人の好むものを嫌う者もいるということ。
●〈平成28年度･第3回出題,大問㈧,小問６〉
＊『波形本狂言･縄綯』",タデ
I0033,【タンゲイ】すべからず,◆１,端倪,,"👉たんげいすべからず。
物事の規模がどれほどなのか、おしはかれないこと。人格の大きいことなどにいう。〈漢字ペディア〉
＊『荘子』",タンゲイ
I0034,月と【スッポン】,◆１,鼈,,"👉つきとすっぽん。
二つのもののちがいが、比較にならないほどかけ離れているたとえ。〈漢字ペディア〉
★月もスッポンも外形はともに丸いが、その実質はまったくちがっていることから。
＊『浄瑠璃･蘆屋道満大内鑑-三』",スッポン
I0035,手を【コマヌ】く,◆１,拱,,"👉てをこまぬく。
何もせずにただ傍観していること。もとは、儒教で両手を胸の前で組み、敬礼する意。〈漢字ペディア〉
＊『史記-始皇本紀賛』",コマヌ
I0036,天網【カイカイ】疎にして漏らさず,◆１,恢恢,,"👉てんもうかいかいそにしてもらさず。
天が張りめぐらした網は広く、目は粗いようだが、何一つ取りこぼすことはない。悪人は一人残らず捕らえるということ。悪事をはたらいた者には、必ずその報いがあるという戒め。〈漢字ペディア〉
★「恢恢」は、広大なさま。
＊『老子-七三』",カイカイ
I0037,【トウロウ】の斧,◆１,蟷螂,"螳螂
蟷蜋
螳蜋","👉とうろうのおの。
弱い者が非力も顧みず、強い者に無鉄砲に立ち向かっても無理なことのたとえ。〈漢字ペディア〉
★カマキリ(蟷螂)が前あしを上げて大きな車の進行を止めようとする意から。
＊『韓詩外伝-八』",トウロウ
I0038,泣いて【バショク】を斬る,◆１,馬謖,,"👉ないてばしょくをきる。
全体の規律のためには私情をはさまず、規則に従って信頼する者や大切な者を処分すること。転じて、天下の法は私情で曲げられないたとえ。多く、心ならずも信頼する部下に対し処分を下すときに用いる。〈漢字ペディア〉
★中国の三国時代に諸葛亮(ｼｮｶﾂﾘｮｳ)が、信頼する部下の馬謖が命令にそむいて戦いに敗れたとき、私情を捨てて処刑した故事から。
＊『蜀志-諸葛亮伝』",バショク
I0039,【ナメクジ】に塩,◆１,蛞蝓,,"👉なめくじにしお。
苦手なものの前に出て縮みあがり、何もできなくなるたとえ。〈漢字ペディア〉
★ナメクジに塩をかけるとしぼみ縮むことから。
＊『俚言集覧』",ナメクジ
I0040,【ノミ】と言えば槌,◆１,鑿,,"👉のみといえばつち。
すべてのことに気が利くたとえ。〈漢字ペディア〉
★鑿が必要だといえば、一緒に使うことになる槌も差し出すことから。
＊『やぶにまぐわ-一･四』",ノミ
I0041,【ヒイキ】の引き倒し,◆１,贔屭,"贔屓
贔負","👉ひいきのひきたおし。
贔屭しすぎて、かえってその人をだめにしたり迷惑をかけたりすること。〈漢字ペディア〉
＊『世諺拾遺-巻簾』",ヒイキ
I0042,【ヒソ】みに効う,◆１,顰,嚬,"👉ひそみにならう。
1.事の善悪も考えず、むやみに人まねをすること。
2.人の言行を見習い、同じようなことをするのを謙遜していう言葉。〈漢字ペディア〉
★「顰み」は、眉をひそめること。
＊『西洋道中膝栗毛〈仮名垣魯文〉六･下』",ヒソ
I0043,人の【ゴボウ】で法事する,◆１,牛蒡,,"👉ひとのごぼうでほうじする。
他人に便乗して調子よく自分の務めを果たすこと。人の褌で相撲を取る。〈漢字ペディア〉
＊『国民の品位』",ゴボウ
I0044,人の【フンドシ】で相撲を取る,◆１,褌,犢鼻褌,"👉ひとのふんどしですもうをとる。
他人のものを利用して、自分のことをするずる賢いやり方のこと。〈漢字ペディア〉
＊『世諺拾遺-巻簾』",フンドシ
I0045,富貴は【キョウシャ】を生ず,◆１,驕奢,,"👉ふうきはきょうしゃをしょうず。
財産をつくり、地位が高くなると、心がおごりぜいたくになる。〈漢字ペディア〉
＊不明",キョウシャ
I0046,【フユウ】の一期,◆１,蜉蝣,,"👉ふゆうのいちご。
人生が、カゲロウの一生のように短くはかないこと。〈漢字ペディア〉
★「蜉蝣」は、カゲロウのこと。
●〈平成28年度･第2回出題,大問㈧,小問５〉
＊『俳諧･世話尽-曳言之話』",フユウ
I0047,【フンケイ】の交わり,◆１,刎頸,刎頚,"👉ふんけいのまじわり。
相手のためなら首を切られて死んでも後悔しないほどの親密な交際。管鮑の交わり。〈漢字ペディア〉
★国、春秋時代、武勇で鳴る趙(ﾁｮｳ)の廉頗(ﾚﾝﾊﾟ)将軍は、藺相如(ﾘﾝｼｮｳｼﾞｮ)が弁舌だけで王の信頼を得ていると反発していた。しかし、藺相如は二人が争えば強国秦(ｼﾝ)がすぐさま攻め入ってくるから個人的な争いを避けており、これを知った廉頗は藺相如に謝罪し、以後親密な交際をするようになったという故事から
＊『史記-廉頗藺相如伝』",フンケイ
I0048,枚挙に【イトマ】がない,◆１,遑,,"👉まいきょにいとまがない。
あまりに多すぎていちいち数えあげることができない。〈漢字ペディア〉
★「遑」は、ひまの意。
＊不明",イトマ
I0049,【モヌケ】の殻,◆１,蛻,,"👉もぬけのから。
ぬけがら。また、目当ての者が抜け出して、空になっている住居や寝所など。〈漢字ペディア〉
＊『別れ霜〈樋口一葉〉一五』",モヌケ
I0050,瑠璃も【ハリ】も照らせば光る,◆１,玻璃,,"👉るりもはりもてらせばひかる。
すぐれた資質や才能のもち主は、どんなところにいても目立つということ。〈漢字ペディア〉
★「玻璃」は、水晶のこと。
★瑠璃や玻璃は他の石のなかに混じっていても、光を当てれば美しく輝いてすぐにそれとわかることから。
＊『翟巣漫筆-二五･文化比北斎のいろはたとへ』",ハリ
I0051,藁にも【スガ】る,◆１,縋,,"👉わらにもすがる。
＝溺れる者は藁をも摑む
非常な危険に直面している者は、およそ頼りにならないものにもすがりついて頼ろうとするたとえ。〈漢字ペディア〉
＊不明",スガ
I0052,【アウン】の呼吸,◆１,阿吽,,"👉あうんのこきゅう。
力を合わせて一つの物事をする時の、互いの微妙な気持ちや調子。また、それがぴったり合うこと。〈新明解故事ことわざ辞典〉
★「阿」は、吐く息の意。
★「吽」は、吸う息の意。
●〈平成20年度･第1回出題,大問㈨,小問４〉
＊『光明真言観誦要門-上』",アウン
I0053,法螺と【ラッパ】は大きく吹け,◆１,喇叭,,"👉ほらとらっぱはおおきくふけ。
どうせ大噓をつくのならば、できるだけ大きな嘘をつくのがよいということ。〈漢字ペディア〉●〈平成28年度･第3回出題,大問㈧,小問４〉
＊『日本俚諺大全』",ラッパ
I0054,【セイコク】を射る,◆１,正鵠,,"👉せいこくをいる。
物事の急所、核心をつく。〈漢字ペディア〉
★「正鵠」は、的の中央にある黒点。
★矢が的をついている意。
＊『内部生命論〈北村透谷〉』",セイコク
I0055,【センベン】を著ける,◆１,先鞭,,"👉せんべんをつける。
他の人よりも先に着手すること。〈漢字ペディア〉
★人より先にウマに鞭(ﾑﾁ)をあてて抜け駆けし、手柄を立てる意から。
＊『晉書-劉琨伝』",センベン
I0056,【ホクソ】笑む,◆１,北叟,,"👉ほくそえむ。
物事が思いどおりにうまくいったとき、満足してひそかに笑う。にやにやする。ほくそわらう。〈漢字ペディア〉
★「人間万事塞翁が馬」の主人公である北叟(ﾎｸｿｳ)が喜憂に対して少し笑ったという故事から。
＊『源平盛衰記-一九』",ホクソ
I0057,【ホゾ】を噬む,◆１,臍,,"👉ほぞをかむ。
事が起こってから後悔しても、取り返しがつかないたとえ。〈漢字ペディア〉
★中国、春秋時代、鄧(ﾄｳ)の祁侯(ｷｺｳ)が楚(ｿ)の文王を泊めてもてなした。その際、祁侯の忠臣三人が、やがて敵対してくる文王を今のうちに殺し、臍をかまぬようにと進言したが、祁侯は無視した。それから十余年後、鄧は楚の文王に滅ぼされた故事から。
＊『春秋左伝-荘公六年』",ホゾ
I0058,昔とった【キネヅカ】,◆１,杵柄,,"👉むかしとったきねづか。
年月がたっても自信のある、昔みがいた芸や技量、技術のこと。〈漢字ペディア〉
＊『雑排･柳多留-二一』",キネヅカ
I0059,【モッケ】の幸い,◆１,勿怪,物怪,"👉もっけのさいわい。
思いがけずに訪れた幸運。〈漢字ペディア〉
＊『黄表紙-莫切自根金生木･下』",モッケ
I0060,【イケス】の鯉,◆１,生簀,,"👉いけすのこい。
いずれ殺される運命にあることのたとえ。また、自由のない束縛された生活のたとえ。籠の鳥。〈漢字ペディア〉
＊『新撰六帖-三』",イケス
I0061,【イダテン】走り,◆１,韋駄天,韋陀天,"👉いだてんばしり。
韋駄天のように、ものすごい速さで走ること。〈漢字ペディア〉
★「韋駄天」は、非常に足が速いとされる仏教の守護神。
＊『浄瑠璃･本朝三国志-一』",イダテン
I0062,一擲【ケンコン】を賭す,◆１,乾坤,,"👉いってきけんこんをとす。
運に天を任せ、大勝負すること。〈新明解故事ことわざ辞典〉
★「一擲」は、ここでは賽(ｻｲ)を一回投げる意。
★「乾」は、天。
★「坤」は、地。
★天下をかけてさいころを一回投げることから。
＊『韓愈-過鴻溝詩』",ケンコン
I0063,一髪【センキン】を引く,◆１,千鈞,,"👉いっぱつせんきんをひく。
きわめて危険なことのたとえ。〈大辞林〉
★ひとすじの髪の毛で千鈞の重さのものを引く。いつ切れるかわからないことから。
＊『韓愈-与孟尚書書』",センキン
I0064,【ウダツ】が上がらぬ,◆１,梲,,"👉うだつがあがらぬ。
それなりの努力はしても運がなく、いつまでたってもよい境遇になれないこと。出世しない。〈漢字ペディア〉
★「梲」は、梁(ﾊﾘ)の上に立てて棟木(ﾑﾅｷﾞ)を支える短い柱。
★家を新築し、棟上げすることを「梲が上がる」といったことから。
＊『俚言集覧』",ウダツ
I0065,【ウンチク】を傾ける,◆１,蘊蓄,薀蓄,"👉うんちくをかたむける。
学問や技芸などについて、日頃たくわえた深い知識を惜しみなく述べること。〈新明解故事ことわざ辞典〉
★「蘊蓄･薀蓄」は、物をたくわえること。転じて、深く研究して身につけた知識。
＊『明治大正見聞史〈生方敏郎〉明治大正凝視の中心と成った女性』",ウンチク
I0066,鬼の【カクラン】,◆１,霍乱,癨乱,"👉おにのかくらん。
ふだん丈夫な人が珍しく病気になることをひやかしていう語。〈漢字ペディア〉
★「霍乱」は、日射病や急性腸炎など、夏に起こりがちな病気の古称。
＊『行人〈夏目漱石〉帰ってから･一二』",カクラン
I0067,【カギュウ】角上の争い,◆１,蝸牛,,"👉かぎゅうかくじょうのあらそい。
きわめてささいなつまらない争いのこと。〈漢字ペディア〉
★カタツムリの左の角に領土をもつ触(ｼｮｸ)氏と右の角の蛮(ﾊﾞﾝ)氏が領土を取り合ったという故事から。カタツムリの角の上の争いの意。
＊『荘子-則陽』",カギュウ
I0068,【カビ】が生える,◆１,黴,,"👉かびがはえる。
古くなって使いものにならなくなること。また、使われないまま古くなって時代遅れになること。〈新明解故事ことわざ辞典〉
★古くなった食べ物にカビが生えて食べられなくなることから。
＊『浄瑠璃･双生隅田川-四』",カビ
I0069,【キュウカツ】を叙する,◆１,久闊,久濶,"👉きゅうかつをじょする。
久しぶりに会った知人と無沙汰をわびる挨拶をすること。久しぶりに会って話す。〈新明解故事ことわざ辞典〉
★「久闊」は、久しく便りをしないこと。
＊『空華日用工夫略集-永和二年･五月二二日』",キュウカツ
I0070,【ケイガイ】に接する,◆１,謦咳,,"👉けいがいにせっする。
尊敬する人物に直接会うこと。また、その人の話を聞くことを敬って言う。〈新明解故事ことわざ辞典〉
★「謦咳」は、せきばらい。
＊『馬骨先生に答ふ〈登張竹風〉』",ケイガイ
I0071,【ケイコ】は春秋を知らず,◆１,蟪蛄,,"👉けいこはしゅんじゅうをしらず。
人生のはかないこと、命の短いことのたとえ。また、見識や経験の狭いたとえ。〈漢字ペディア〉
★「蟪蛄」は、夏ゼミの一種で、夏期の短い間しか生きていないため春秋を知らない意。
＊『荘子-逍遙遊』",ケイコ
I0072,【コウコ】の憂い,◆１,後顧,,"👉こうこのうれい。
のちに心配事を残すこと。また、のちのことを心配すること。〈漢字ペディア〉
＊『妾の半生涯〈福田英子〉一四』",コウコ
I0073,【コウジン】を拝する,◆１,後塵,,"👉こうじんをはいする。
人におくれをとることのたとえ。また、権力者にこびへつらうことのたとえ。〈新明解故事ことわざ辞典〉
★車馬が通り過ぎたあとに立つ土ぼこりを浴びて見送ることから。
＊『真理の春〈細田民樹〉森井コンツェルン･二一』",コウジン
I0074,【コウゼン】の気を養う,◆１,浩然,,"👉こうぜんのきをやしなう。
ひろく豊かで、のびのびとした心持ちになるたとえ。〈漢字ペディア〉
★「浩然」は、水が豊かに流れている様子。また、心などが広くゆったりしている様子。
★「浩然の気」は、道義にかなった行いをしていれば自然と心に生じる何ものにも屈しない道徳的勇気のこと。転じて、物事にとらわれない、ゆったりとした心境。
＊『孟子-公孫丑･上』",コウゼン
I0075,【ココウ】を凌ぐ,◆１,糊口,餬口,"👉ここうをしのぐ。
どうにか暮らしを立てていくこと。〈新明解故事ことわざ辞典〉
★「糊口」の「糊」は、粥のこと。粥をすする。転じて暮らしを立てる意。
★貧しくても粥をすすってなんとか生活していけるということ。
＊『近世紀聞〈染崎延房〉九･三』",ココウ
I0076,子は【カスガイ】,◆１,鎹,,"👉こはかすがい。
鎹が二つの材木をつなぎとめているように、不仲の夫婦でも子どもへの愛情によって夫婦のきずなが保たれること。〈漢字ペディア〉
★「鎹」は、材木をつなぐために打つコの字形の釘(ｸｷﾞ)。物をつなぎ合わせるものの意。
＊『歌舞伎･金看板俠客本店-序幕』",カスガイ
I0077,細工は流流仕上げを【ゴロウ】じろ,◆１,御覧,,"👉さいくはりゅうりゅうしあげをごろうじろ。
物事の方法はいろいろあるのだから、途中でとやかく言わずに結果を見てから批判してくれという、仕事に対する自信を表す言葉。〈漢字ペディア〉
★「流流」は、それぞれの流儀の意。
＊『明暗〈夏目漱石〉一四二』",ゴロウ
I0078,【シガ】にも掛けない,◆１,歯牙,,"👉しがにもかけない。
取り立てて言わないこと。相手にせず取り合わないこと。〈漢字ペディア〉
★「歯牙」は、歯と牙。転じてことばの端、議論の意。
＊『福翁自伝〈福沢諭吉〉幼少の時』",シガ
I0079,十把一【カラ】げ,◆１,絡,紮,"👉じっぱひとからげ。
多くのものを、それぞれの特徴などを認めず、一まとめに扱うこと。〈漢字ペディア〉
＊『滑稽本･風来六部集-放屁論追加』",カラ
I0080,【シノギ】を削る,◆１,鎬,,"👉しのぎをけずる。
はげしく争うことのたとえ。〈漢字ペディア〉
★鎬が削り取られるほど、はげしく斬り合うことから。
＊『曽我物語-九･十郎が打死の事』",シノギ
I0081,【シュウハ】を送る,◆１,秋波,,"👉しゅうはをおくる。
女性が、男性の関心を惹こうとして色目を使うこと。また、男女を問わずこびを売ること。〈新明解故事ことわざ辞典〉
★「秋波」は、秋の澄んだ波。転じて、美人の涼しい目元。また、女性のこびを含んだ目つき。
＊『遠思楼詩鈔-二･下･読捜神記』",シュウハ
I0082,【シュンショウ】一刻直千金,◆１,春宵,,"👉しゅんしょういっこくあたいせんきん。
春の夜はとりわけ趣が深く、そのひとときは何ものにもかえがたい価値があるということ。〈漢字ペディア〉
＊『蘇軾-春夜詩』",シュンショウ
I0083,【ショウジョウ】の差,◆１,霄壌,,"👉しょうじょうのさ。
天と地の差。非常に大きな違い。〈新明解故事ことわざ辞典〉
★「霄」は、天、空。
★「壌」は、地、土。
＊『美術の翫賞〈上田敏〉』",ショウジョウ
I0084,【ソウコウ】の妻,◆１,糟糠,,"👉そうこうのつま。
貧しい時から苦労を共にしてきた妻は、自分が富貴になっても大切にすべきであるということ。〈漢字ペディア〉
★「糟糠」は、酒かすと米ぬか。転じて、粗末な食べ物。貧しい生活。
＊『後漢書-宋弘伝』",ソウコウ
I0085,立てば【シャクヤク】座れば牡丹,◆１,芍薬,,"👉たてばしゃくやくすわればぼたん。
美人の容姿や立ち振る舞いの形容。〈新明解故事ことわざ辞典〉
＊『延享五年小哥しゃうが集』",シャクヤク
I0086,【タナゴコロ】を反す,◆１,掌,,"👉たなごころをかえす。
手のひらを裏返すように、物事が簡単にできること。また、態度や気持ちが簡単に変わること。〈漢字ペディア〉
＊『漢書-枚乗伝』",タナゴコロ
I0087,【チョウビ】の勇を奮う,◆１,掉尾,,"👉ちょうびのゆうをふるう。
最後の勇気を出し、力を振りしぼって頑張ること。〈新明解故事ことわざ辞典〉
★「掉尾」は、尾を振る意。一説に、捕まった魚が最後の力を出して尾を振ること。転じて、結末に至り勢いが加わること。
●〈平成29年度･第2回出題,大問㈧,小問９〉
＊不明",チョウビ
I0088,【ツジツマ】を合わせる,◆１,辻褄,,"👉つじつまをあわせる。
話の前後がきちんと合い、筋道がとおるようにする。〈漢字ペディア〉
＊『人さまざま〈正宗白鳥〉』",ツジツマ
I0089,【カカア】天下に空っ風,◆１,嬶,嚊,"👉かかあでんかにからっかぜ。
上州(群馬県)の名物。〈故事俗信ことわざ大辞典〉
●〈平成29年度･第2回出題,大問㈧,小問１〉
＊『諺語大辞典』",カカア
I0090,酒は天の【ビロク】,◆１,美禄,美祿,"👉さけはてんのびろく。
酒は天から授かったすばらしいものである。酒をほめたたえた言葉。〈漢字ペディア〉
＊『漢書-下』",ビロク
I0091,【ノレン】に腕押し,◆１,暖簾,,"👉のれんにうでおし。
どうやっても、まるで相手に反応が見られず、張り合いがないたとえ。〈漢字ペディア〉
★のれんを押しても、全く手ごたえがないことから。
＊『鶏〈森鷗外〉』",ノレン
I0092,【ハイフ】を衝く,◆１,肺腑,,"👉はいふをつく。
人の心に深い感銘や衝撃を与えること。強く感動させること。〈新明解故事ことわざ辞典〉
★「肺腑」は、肺。心の奥底。
＊『乳姉妹〈菊池幽芳〉前･二三』",ハイフ
I0093,刺の無い【バラ】は無い,◆１,薔薇,薔,"👉とげのないばらはない。
うわべは美しいものでも、裏には恐ろしい一面が隠れていることのたとえ。〈漢字ペディア〉
＊不明",バラ
I0094,【ヒチョ】を失う,◆１,匕箸,,"👉ひちょをうしなう。
非常に驚いたようす。〈新明解故事ことわざ辞典〉
★「匕箸」は、さじと、はし。
★食事中持っていたさじとはしとを取り落とす意。
＊『蜀志-先主伝』",ヒチョ
I0095,【ヒョウソク】が合わない,◆１,平仄,,"👉ひょうそくがあわない。
話のつじつまが合わないこと。〈新明解故事ことわざ辞典〉
★「平仄」は、漢詩を作る際に重んじられる韻の区別。低く平らかな声調(平)とそれ以外の声調(仄)。平仄が規則的な配置になっていない詩は、調子はずれで良くないとされる。
★漢詩が、平仄の法則に合っていないという意から。
＊『雑俳･柳多留拾遺-巻一二下』",ヒョウソク
