ID,問題,指定,語群,難易度,解答,問題熟語の意味,解答熟語の意味
H0047,【喧擾】,⇔,"せいひつ
しんがい
しゅうれん",◆１,静謐,"▼【喧擾／諠擾】ケンジョウ
騒がしく乱れること。やかましく乱すこと。〈漢字ペディア〉
◇漢字ペディア大見出し","▼〔静謐〕セイヒツ
静かで落ち着いていること。世の中が平和に治まっていること。≒平穏、静穏〈漢字ペディア〉
◇漢字ペディア大見出し
●H16-1㈦／●H17-3㈦／●H20-3㈦／●H22-2㈦／●H29-2㈦"
H0048,【喧鬧】,⇔,"べんばく
げきせき
ほうぼう",◆１,闃寂,"▼【喧鬧／諠鬧】ケントウ／ケンドウ
さわがしいこと。さわぎたてること。また、そのさま。喧騒。〈日本国語大辞典〉
◇漢字ペディア下付き","▼〔闃寂〕ゲキセキ
┌ひっそりと静かでさびしいさま。≒静寂〈漢字ペディア〉
┌ひっそりと静まり、さびしいさま。〈大辞泉〉
┌物寂しく静まり返っていること。〈漢字源〉
◇漢字ペディア大見出し
●25-1㈦／●H27-2㈦"
H0049,【顕示】,⇔,"えんえき
ひれき
とうかい",◆１,韜晦,"▼【顕示】ケンジ
人にわかるように明らかに示すこと。はっきりと見せること。≒明示〈漢字ペディア〉
◇漢字ペディア大見出し","▼〔韜晦〕トウカイ
┌1.自分の本心や才能･地位などをつつみ隠すこと。
└2.身を隠すこと。姿をくらますこと。〈大辞泉〉
┌才能･地位･形跡などをつつみ隠すこと。他人の目をくらまし、わからないようにすること。〈漢字ペディア〉
◇漢字ペディア大見出し
●H28-2㈦"
H0050,【顕達】,⇔,"ぎょうき
らくはく
へきれき",◆１,落魄,"▼【顕達】ケンタツ
立身出世すること。顕栄。栄達。〈日本国語大辞典〉","▼〔落魄〕ラクハク／ラクバク／ラクタク
おちぶれること。≒零落〈漢字ペディア〉
◇漢字ペディア大見出し
●H20-2㈦"
H0051,【顕達】,⇔,"りんらく
けんきょう
きけつ",◆１,淪落,"▼【顕達】ケンタツ
立身出世すること。顕栄。栄達。〈日本国語大辞典〉","▼〔淪落〕リンラク
身をもちくずすこと。おちぶれること。≒淪没、零落〈漢字ペディア〉
◇漢字ペディア大見出し
●H24-1㈦"
H0052,【雇傭】,⇔,"かくしゅ
しんじつ
ゆうえき",◆１,馘首,"▼【雇傭／雇用】コヨウ
ある仕事をさせるために、賃金を払い人を雇うこと。⇔解雇〈漢字ペディア〉
◇漢字ペディア大見出し","▼〔馘首〕カクシュ
┌雇い主が雇っている人をやめさせること。首切り。解雇。免職。〈漢字ペディア〉
┌雇い主が使用人を辞めさせること。解雇。免職。〈大辞泉〉
◇漢字ペディア大見出し
●H16-2㈦／●H18-2㈦／●H20-3㈦／●H24-1㈦／●H26-3㈦"
H0053,【宏闊】,⇔,"きょうあい
じょくしょ
ちょくせつ",◆１,狭隘,"▼【宏闊／広闊】コウカツ
ひろびろと見渡すかぎりひらけること。また、そのさま。〈日本国語大辞典〉","▼〔狭隘〕キョウアイ
1.土地などがせまくるしいさま。
2.度量がせまくて窮屈なさま。〈漢字ペディア〉
◇漢字ペディア大見出し
●H16-3㈦／●H19-1㈦／●H23-2㈦"
H0054,【荒蕪】,⇔,"こうゆ
ほうしょ
まつえい",◆１,膏腴,"▼【荒蕪】コウブ
土地が荒れて雑草が生い茂ること。〈漢字ペディア〉
★「蕪」は、雑草が生い茂る意。
◇漢字ペディア大見出し","▼〔膏腴〕コウユ
地味が豊かで肥えていること。また、その土地。≒膏沃、肥沃〈漢字ペディア〉
◇漢字ペディア大見出し
●H21-2㈦／●H23-1㈦／●H30-1㈦"
H0055,【剛毅】,⇔,"こうゆ
きょうだ
しそう",◆１,怯懦,"▼【剛毅／豪毅】ゴウキ
意志がつよくてくじけないこと。〈漢字ペディア〉
◇漢字ペディア大見出し","▼〔怯懦〕キョウダ
┌「怯弱」に同じ。〈漢字ペディア〉
┌臆病で気が弱いこと。いくじのないこと。また、そのさま。〈大辞泉〉
◇漢字ペディア大見出し
●H15-1㈦／●H16-3㈦／●H18-3㈦／●H21-2㈦／●H28-2㈦"
H0056,【劫末】,⇔,"かいびゃく
こっしょ
ひょうりゃく",◆１,開闢,"▼【劫末】ゴウマツ
(仏)この世の終わり。⇔劫初〈漢字ペディア〉
◇漢字ペディア大見出し","▼〔開闢〕カイビャク
1.天地が開いた始まり。この世の始まり。≒創世
2.物事の始まり。〈漢字ペディア〉
◇漢字ペディア大見出し
●H22-2㈦／●H24-3㈦"
H0057,【酷暑】,⇔,"きかん
がんちょう
ばくもんどう",◆１,祁寒,"▼【酷暑】コクショ
非常に暑いこと。きびしい暑さ。≒酷熱、猛暑、⇔酷寒〈漢字ペディア〉
◇漢字ペディア大見出し","▼〔祁寒〕キカン
たいへん寒いこと。きびしい寒さ。≒酷寒〈漢字ペディア〉
◇漢字ペディア大見出し
●H30-2㈦"
H0058,【犀利】,⇔,"どどん
しんがい
いっさん",◆１,駑鈍,"▼【犀利】サイリ
1.武器などがかたく鋭いこと。
2.文章の勢いや頭のはたらきが鋭いさま。〈漢字ペディア〉
◇漢字ペディア大見出し","▼〔駑鈍〕ドドン
鈍くて才能が劣っていること。鈍才。≒愚鈍、魯鈍〈漢字ペディア〉
◇漢字ペディア大見出し
●H19-2㈦／●H21-1㈦／●H24-1㈦"
H0059,【讃歎】,⇔,"ちょうば
そうれき
はいき",◆１,嘲罵,"▼【讃歎／賛嘆／讃嘆】サンタン
非常に感心してほめること。〈大辞林〉","▼〔嘲罵〕チョウバ
あざけりののしること。≒罵倒、⇔称賛、賛嘆〈漢字ペディア〉
◇漢字ペディア大見出し
●H23-3㈦／●H27-2㈦"
H0060,【斬新】,⇔,"ろうしゅう
こうゆ
ちんとう",◆１,陳套,"▼【斬新】ザンシン
それまでにない独創的な考え方であること。きわだって新しいさま。⇔陳腐〈漢字ペディア〉
◇漢字ペディア大見出し","▼〔陳套〕チントウ
ふるくさいこと。ふるめかしいこと。また、そのさま。陳腐。旧套。〈日本国語大辞典〉
●H19-2㈦"
H0061,【仕官】,⇔,"けいかん
じだ
ふしゅう",◆１,挂冠,"▼【仕官】シカン
1.官吏となること。
2.召し抱えられて、武士が主君につかえること。〈漢字ペディア〉
◇漢字ペディア大見出し","▼〔挂冠〕ケイカン／カイカン
┌冠を脱いで、官職を辞する。挂綬。挂冕。後漢の逢萌(ﾎｳﾎﾞｳ)が王莽(ｵｳﾓｳ)に仕えるのを嫌い、城門に冠をかけて去った故事から。〈漢辞海〉
┌冠を脱いで柱などにかける意から、官を去り職を辞すること。〈漢字ペディア〉
●H28-2㈦"
H0062,【四散】,⇔,"かくひつ
いしゅう
おうのう",◆１,蝟集,"▼【四散】シサン
あちこちに散らばること。ちりぢりになること。≒分散〈漢字ペディア〉
◇漢字ペディア大見出し","▼〔蝟集〕イシュウ
ハリネズミの毛のように、多くの物が一か所にあつまること。≒雲集、密集〈漢字ペディア〉
◇漢字ペディア大見出し
●H17-1㈦"
H0063,【児孫】,⇔,"だいそ
のうせき
せんこう",◆１,乃祖,"▼【児孫】ジソン
子と孫。子どもや孫。また、血筋を引いて生まれる人々。子孫。〈日本国語大辞典〉","▼〔乃祖〕ダイソ／ナイソ
なんじの祖先。なんじの祖父。また、祖先。祖父。〈漢字ペディア〉
◇漢字ペディア大見出し
●H30-3㈦"
H0064,【治癒】,⇔,"しきび
りかん
ふえつ",◆１,罹患,"▼【治癒】チユ
病気やけががなおること。≒平癒〈漢字ペディア〉
◇漢字ペディア大見出し","▼〔罹患〕リカン
┌病気にかかること。≒罹病〈漢字ペディア〉
┌病気にかかること。罹病。〈漢辞海〉
◇漢字ペディア大見出し
●H16-2㈦"
H0065,【質倹】,⇔,"えんべん
るいじゃく
ぜいたく",◆１,贅沢,"▼【質倹】シッケン
義未詳。
★質素倹約の略か。","▼〔贅沢〕ゼイタク
1.必要を超えて費用をかけたりものを使ったりすること。
2.身の程や立場を超えておごっていること。〈漢字ペディア〉
◇漢字ペディア大見出し
●H27-1㈦"
