ID,難易度,四字熟語,読み,別読み,問題,問題読み,解答,別答,解答読み,出典,意味
D0011,◆１,蛙鳴蟬噪,あめいせんそう,,蛙鳴,あめい,蟬噪,蝉噪,せんそう,＊『韓愈-平淮西碑儲欣評』,"➡蛙鳴蟬噪／蛙鳴蝉噪（あめいせんそう）
役に立たない議論や、内容に乏しく下手な文章。〈漢検四字熟語辞典〉
★蛙や蟬がやかましく鳴き噪(ｻﾜ)ぐように、うるさいばかりでなんの役にも立たないという意味が転じたもの。
類：蛙鳴雀噪（あめいじゃくそう）／類：驢鳴犬吠（ろめいけんばい）／類：蟬噪蛙鳴（せんそうあめい）
●H04-1㈣書／●H12-3㈣書／●H15-2㈣書"
D0012,◆１,罵詈讒謗,ばりざんぼう,,讒謗,ざんぼう,罵詈,,ばり,＊『当世書生気質･一〇』,"➡罵詈讒謗（ばりざんぼう）
ありとあらゆる悪口をいうこと。〈漢検四字熟語辞典〉
★「罵詈」は、口汚く相手をののしること。
★「讒謗」は、そしる意。
類：悪口雑言（あっこうぞうごん）／類：讒謗罵詈（ざんぼうばり）／類：罵詈雑言（ばりぞうごん）／類：悪口罵詈（あっこうばり）
●H14-3㈣書"
D0013,◆１,横行闊歩,おうこうかっぽ,,横行,おうこう,闊歩,濶歩,かっぽ,＊『夏目漱石-吾輩は猫である』,"➡横行闊歩／横行濶歩（おうこうかっぽ）
威張って気ままに歩き回ること。多く悪人に対していう。〈漢検四字熟語辞典〉
★「横行」は、我が物顔にふるまうこと。
★「闊歩」は、堂々と歩くこと、威張って行動すること。
類：横行覇道（おうこうはどう）／類：横行跋扈（おうこうばっこ）／類：跳梁跋扈（ちょうりょうばっこ）／類：飛揚跋扈（ひようばっこ）
●H15-3㈣書／●H21-1㈣書"
D0014,◆１,豪華絢爛,ごうかけんらん,,豪華,ごうか,絢爛,,けんらん,＊『火野葦平-赤い国の旅人･四月三〇日』,"➡豪華絢爛（ごうかけんらん）
まばゆいほど美しく、華やかで贅沢なさま。〈漢検四字熟語辞典〉
★「豪華」は、贅沢で華やかなこと。
★「絢爛」は、目がくらむほど美しい意。
類：絢爛豪華（けんらんごうか）／類：絢爛華麗（けんらんかれい）／類：錦繡綾羅（きんしゅうりょうら）
●H21-2㈣書"
D0015,◆１,造次顚沛,ぞうじてんぱい,,造次,ぞうじ,顚沛,顛沛,てんぱい,＊『論語-里仁』,"➡造次顚沛／造次顛沛（ぞうじてんぱい）
あわただしいとき。とっさのとき。〈漢検四字熟語辞典〉
★「造次」は、あわただしい時。
★「顚沛」は、つまずき倒れることの異で、それくらい短い時間のこと。
●H09-3㈣書／●H13-3㈣書／●H16-1㈣書／●H17-3㈣書／●H20-1㈣書／●H23-1㈣書／●H25-1㈣書／●H28-3㈣書"
D0016,◆１,百花繚乱,ひゃっかりょうらん,,百花,ひゃっか,繚乱,撩乱,りょうらん,＊『再昌草-永正四年･九月九日』,"➡百花繚乱／百花撩乱（ひゃっかりょうらん）
すぐれた人物や業績が、一時期にたくさん現れること。〈漢検四字熟語辞典〉
★「繚乱」は、花が咲き乱れる意。
★様々な花が、艶やかに咲き乱れることをいう。
類：百花斉放（ひゃっかせいほう）／類：百家争鳴（ひゃっかそうめい）／類：千紫万紅（せんしばんこう）／類：千紅万紫（せんこうばんし）
●H05-1㈣書"
D0017,◆１,明眸皓歯,めいぼうこうし,,皓歯,こうし,明眸,,めいぼう,＊『曹植-洛神賦』,"➡明眸皓歯（めいぼうこうし）
美人のたとえ。〈漢検四字熟語辞典〉
★美しく澄んだ眸(ﾋﾄﾐ)と、皓(ｼﾛ)く美しい歯の意。
類：蛾眉皓歯（がびこうし）／類：朱唇皓歯（しゅしんこうし）／類：仙姿玉質（せんしぎょくしつ）／類：氷肌玉骨（ひょうきぎょっこつ）／類：曲眉豊頰（きょくびほうきょう）／類：羞花閉月（しゅうかへいげつ）／類：沈魚落雁（ちんぎょらくがん）
●H16-2㈣書"
D0018,◆１,苛斂誅求,かれんちゅうきゅう,,誅求,ちゅうきゅう,苛斂,,かれん,＊『矢田挿雲-江戸から東京へ･六』,"➡苛斂誅求（かれんちゅうきゅう）
税金などを情け容赦なく取り立てること。〈漢検四字熟語辞典〉
★「苛斂」「誅求」は、厳しく責めつけて取り立てること。
類：頭会箕斂（とうかいきれん）
●H10-2㈣書／●H13-2㈣書／●H16-3㈣書／●H20-1㈣書／●H21-3㈣書／●H30-1㈣書"
D0019,◆１,精励恪勤,せいれいかっきん,,精励,せいれい,恪勤,,かっきん,＊『谷崎潤一郎-痴人の愛』,"➡精励恪勤（せいれいかっきん）
力を尽くして学業や仕事に励むこと。〈漢検四字熟語辞典〉
★「精励」は、励み努めること。
★「恪勤」は、真面目に勤めること。
類：精励勤勉（せいれいきんべん）／類：刻苦勉励（こっくべんれい）／類：奮励努力（ふんれいどりょく）／類：昼耕夜誦（ちゅうこうやしょう）／類：恪勤精励（かっきんせいれい）
●H16-2㈣書"
D0020,◆１,砥礪切磋,しれいせっさ,,砥礪,しれい,切磋,切瑳,せっさ,＊『言志録』,"➡砥礪切磋／砥砺切磋／砥礪切瑳／砥砺切瑳（しれいせっさ）
つとめみがく。学問や品性をはげみ修養して大成を期すること。〈漢検四字熟語辞典〉
★「砥」「礪」「磋」は、とぎ磨く意。
★「切」は、骨などを断ち切る意。
類：切磋琢磨（せっさたくま）
●H13-2㈣書／●H28-2㈣書"
D0021,◆１,毀誉褒貶,きよほうへん,,毀誉,きよ,褒貶,,ほうへん,＊『町人囊･三』,"➡毀誉褒貶（きよほうへん）
褒めたりけなしたりすること。〈漢検四字熟語辞典〉
★「毀」と「貶」は、そしる、または、けなすこと。
★「誉」と「褒」は、ほめることの意。
★ほめることとそしること。称賛と非難。
●H07-2㈣書"
D0022,◆１,拈華微笑,ねんげみしょう,,微笑,みしょう,拈華,拈花,ねんげ,＊『五灯会元』,"➡拈華微笑／拈花微笑（ねんげみしょう）
言葉によらず、心から心へ伝えること。〈漢検四字熟語辞典〉
★釈迦が弟子に説法している時、ハスの花を拈(ﾋﾈ)って見せたが、弟子たちはその意味が分からずただ一人迦葉(ｶｼｮｳ)だけが悟ってにっこりと笑った。そこで釈迦は彼に仏法の奥義を授けたという故事から。
類：破顔微笑（はがんみしょう）／類：以心伝心（いしんでんしん）／類：教外別伝（きょうげべつでん）／類：不立文字（ふりゅうもんじ）／類：維摩一黙（ゆいまいちもく）
●H09-1㈣書／●H24-1㈣書／●H29-2㈣書"
D0023,◆１,戦戦兢兢,せんせんきょうきょう,,戦戦,せんせん,兢兢,恐恐,きょうきょう,＊『詩経-小雅･小旻』,"➡戦戦兢兢／戦戦恐恐（せんせんきょうきょう）
恐れてびっくりするさま。〈漢検四字熟語辞典〉
★「戦戦」は、恐れおののくこと。
★「兢兢」は、恐れおののいて戒めつつしむ意。
★略して「戦兢」ともいう。
類：戦戦慄慄（せんせんりつりつ）
●H08-2㈣書"
D0024,◆１,万目睚眥,まんもくがいさい,ばんもくがいさい,万目,まんもく,睚眥,睚眦,がいさい,＊『紅楼夢-五回』,"➡万目睚眥／万目睚眦（まんもくがいさい／ばんもくがいさい）
たくさんの人ににらまれること。〈漢検四字熟語辞典〉
★「万目」は、多くの人の目。転じて、多くの人。
★「睚眥」は、目をかどに立ててにらむこと。
類：百口嘲謗（ひゃっこうちょうぼう）
●H10-1㈣書／●H17-1㈣書"
D0025,◆１,顔厚忸怩,がんこうじくじ,,顔厚,がんこう,忸怩,,じくじ,＊『書経-五子之歌』,"➡顔厚忸怩（がんこうじくじ）
非常に恥じ入ること。恥ずかしくて堪えられないさま。〈漢字ペディア〉
★「忸怩」は、心中で恥ずかしく思うこと。
★厚かましい者の顔にさえ、恥じる色が出ている意から。
「顔厚(ｶﾞﾝｺｳ)にして忸怩(ｼﾞｸｼﾞ)たる有り」
●H12-3㈣書"
D0026,◆１,依怙贔屭,えこひいき,,贔屭,ひいき,依怙,,えこ,＊『信長記-一上』,"➡依怙贔屭／依怙贔屓／依怙贔負（えこひいき）
片方に心をかたむけ助けること。好きなほうだけ肩入れすること。〈漢検四字熟語辞典〉
★「依怙」は、もと頼りにする意であるが、わが国では不公平の意にも使われる。
★「贔屭」は、もとヒキと読み、力を出し努力するさま。転じて、人に目をかけて引き立てること。
●H11-3㈣書／●H16-1㈣書／●H19-1㈣書／●H30-1㈣書"
D0027,◆１,苛斂誅求,かれんちゅうきゅう,,苛斂,かれん,誅求,,ちゅうきゅう,＊『矢田挿雲-江戸から東京へ･六』,"➡苛斂誅求（かれんちゅうきゅう）
税金などを情け容赦なく取り立てること。〈漢検四字熟語辞典〉
★「苛斂」「誅求」は、厳しく責めつけて取り立てること。
類：頭会箕斂（とうかいきれん）
●H10-2㈣書／●H13-2㈣書／●H16-3㈣書／●H20-1㈣書／●H21-3㈣書／●H30-1㈣書"
D0028,◆１,暴虎馮河,ぼうこひょうが,,暴虎,ぼうこ,馮河,憑河,ひょうが,＊『論語-術而』,"➡暴虎馮河／暴虎憑河（ぼうこひょうが）
向こう見ずのたとえ。血気に任せた無謀な行動のこと。孔子が、弟子の子路(ｼﾛ)の粗野な言動を戒めた言葉。〈漢検四字熟語辞典〉
★「暴虎」は、虎を素手で殴ること。
★「馮河」は、大河を徒歩で渡る意。
★暴虎も馮河も無謀な行為を指す。
類：血気之勇（けっきのゆう）／類：匹夫之勇（ひっぷのゆう）
●H07-2㈣書／●H13-1㈣書／●H15-1㈣書／●H18-2㈣書／●H20-2㈣書／●R01-2㈣書"
D0029,◆１,天地開闢,てんちかいびゃく,,天地,てんち,開闢,,かいびゃく,＊『天照座伊勢二所皇太神宮御鎮座次第記』,"➡天地開闢（てんちかいびゃく）
天地のはじまり。世界のはじまり。天地創造。〈漢検四字熟語辞典〉
★「開闢」は、天地の開け初めのこと。
類：開天闢地（かいてんへきち）／類：天地創造（てんちそうぞう）
●H07-1㈣書"
D0030,◆１,輾転反側,てんてんはんそく,,反側,はんそく,輾転,展転,てんてん,＊『詩経-周南･関雎』,"➡輾転反側／展転反側（てんてんはんそく）
心配したり思い悩んだりして眠れず何度も寝返りを打つこと。〈漢検四字熟語辞典〉
★「輾転」と「反側」ともに、寝返りを打つ意。
●H05-1㈣書"
D0031,◆１,槃根錯節,ばんこんさくせつ,,錯節,さくせつ,槃根,盤根,ばんこん,＊『後漢書-虞詡伝』,"➡槃根錯節／盤根錯節（ばんこんさくせつ）
事柄が入り組んで、解決が困難なこと。〈漢検四字熟語辞典〉
★「槃根」は、地中で曲がりくねっている木の根のこと。
★「錯節」は、入り組んだ木の節の意。
類：紆余曲折（うよきょくせつ）／類：複雑多岐（ふくざつたき）
●H24-3㈣書／●H29-1㈣書"
D0032,◆１,夢幻泡影,むげんほうよう,,夢幻,むげん,泡影,,ほうよう,＊『金剛経』,"➡夢幻泡影（むげんほうよう）
人生がはかないことのたとえ。〈漢検四字熟語辞典〉
★夢と幻と泡と影で、いずれも儚いもののたとえ。
類：泡沫夢幻（ほうまつむげん）
●H09-3㈣書／●H14-2㈣書"
D0033,◆１,河図洛書,かとらくしょ,,河図,かと,洛書,,らくしょ,＊『易経-繫辞･上』,"➡河図洛書（かとらくしょ）
滅多に手に入れることができない図書のこと。得難い図書の意。〈漢検四字熟語辞典〉
★「河図」は、中国古代の伝説で、伏羲(ﾌｯｷ)の世に、黄河から現れた竜馬(ﾘｮｳﾊﾞ)の背の旋毛(渦巻いた毛)の形を写したという図のことで、易の八卦のもととなったという。
★「洛書」は、夏(ｶ)の禹王(ｳｵｳ)のとき、洛水から現れた神亀(ｼﾝｷ)の背の文字を写したという図のことで、「書経」の「洪範」のもとになったという。
●H11-2㈣書"
D0034,◆１,海底撈月,かいていろうげつ,,海底,かいてい,撈月,,ろうげつ,＊『不明』,"➡海底撈月（かいていろうげつ）
実現不可能なことをやろうとして、余分な労力を費やすこと。〈漢検四字熟語辞典〉
★「撈月」は、月をすくいあげる意。
★海面に映った月を見て、本物の月だと思い込み、海底から月をすくいあげようとする意から。
類：猿猴取月（えんこうしゅげつ）／類：海中撈月（かいちゅうろうげつ）／類：海底撈針（かいていろうしん）／類：水中撈月（すいちゅうろうげつ）
「海底に月を撈(ｽｸ)う」
●H19-1㈣書／●H24-1㈣書"
D0035,◆１,融通無礙,ゆうずうむげ,,融通,ゆうずう,無礙,無碍,むげ,＊『島村抱月-審美的意識の性質を論ず･二』,"➡融通無礙／融通無碍（ゆうずうむげ）
行動や思考が物にとらわれずのびのびしていること。〈漢検四字熟語辞典〉
★「融通」は、滞りなく通る意。
★「無礙」は、妨げのないこと。
類：融通自在（ゆうずうじざい）／類：無礙自在（むげじざい）／類：異類無礙（いるいむげ）
●H15-3㈣書"
D0036,◆１,協心戮力,きょうしんりくりょく,,協心,きょうしん,戮力,,りくりょく,＊『報徳記･一』,"➡協心戮力（きょうしんりくりょく）
物事を一致協力して行うこと。〈漢検四字熟語辞典〉
★「協心」は、心を一つにすること。
★「戮力」は、力を戮(ｱﾜ)せること。
類：戮力同心（りくりょくどうしん）／類：戮力一心（りくりょくいっしん）／類：戮力斉心（りくりょくせいしん）／類：同心協力（どうしんきょうりょく）／類：一致団結（いっちだんけつ）／類：上下一心（しょうかいっしん）／類：戮力協心（りくりょくきょうしん）
●H11-2㈣書"
D0037,◆１,三面六臂,さんめんろっぴ,,三面,さんめん,六臂,,ろっぴ,＊『虎明本狂言･夷大黒』,"➡三面六臂（さんめんろっぴ）
一人で数人分の働きをしたり、多方面で活躍したりすること。〈漢検四字熟語辞典〉
★三つの顔（三面）と、六本の腕（六臂）を持つ仏像があることからいう語。
類：八面六臂（はちめんろっぴ）／類：縦横無尽（じゅうおうむじん）
●H05-1㈣書"
D0038,◆１,飛耳長目,ひじちょうもく,,飛耳,ひじ,長目,,ちょうもく,＊『太平策』,"➡飛耳長目（ひじちょうもく）
物事の観察が鋭く世情にも精通していること。〈漢字ペディア〉
★「飛耳」は、遠くのことを聞くことができる耳。
★「長目」は、遠方まで見通せる目。
類：長目飛耳（ちょうもくひじ）／類：鳶目兎耳（えんもくとじ）
●H20-2㈣書／●H28-2㈣書"
D0039,◆１,光風霽月,こうふうせいげつ,,光風,こうふう,霽月,,せいげつ,＊『黄庭堅-濂渓詩序』,"➡光風霽月（こうふうせいげつ）
心が清らかでわだかまりがなく、爽快であること。〈漢検四字熟語辞典〉
★「霽」は、晴れる意。
★太陽の光の中を爽やかに吹く風と、雨上がりの澄み切った空に出る月のこと。
類：明鏡止水（めいきょうしすい）／類：虚心坦懐（きょしんたんかい）
●H10-3㈣書／●H19-2㈣書／●H22-2㈣書"
D0040,◆１,春風駘蕩,しゅんぷうたいとう,,春風,しゅんぷう,駘蕩,,たいとう,＊『恋慕ながし･二三』,"➡春風駘蕩（しゅんぷうたいとう）
何事もなく平穏なさま。また、穏和でのんびりとした人柄のこと。〈漢検四字熟語辞典〉
★「駘蕩」は、のんびりと落ち着いている様子。
●H08-1㈣書／●H14-3㈣書／●H16-2㈣書／●H22-3㈣書"
D0041,◆１,侃侃諤諤,かんかんがくがく,,侃侃,かんかん,諤諤,,がくがく,＊『中江兆民-兆民文集』,"➡侃侃諤諤（かんかんがくがく）
遠慮することなく盛んに議論をするさま。また、遠慮せず直言すること。〈漢検四字熟語辞典〉
★「侃侃」は、剛直なさま。
★「諤諤」は、はばかることなく直言する意。
★略して「侃諤」ともいう。
類：百家争鳴（ひゃっかそうめい）／類：議論百出（ぎろんひゃくしゅつ）
●H10-3㈣書／●H15-1㈣書"
D0042,◆１,意匠惨澹,いしょうさんたん,,意匠,いしょう,惨澹,惨憺,さんたん,＊『杜甫-丹青引』,"➡意匠惨澹／意匠惨憺（いしょうさんたん）
工夫を凝らすのに苦心すること。〈漢検四字熟語辞典〉
★「意匠」は、工夫、また、工夫を凝らすこと。
★「惨澹」は、心を悩まし苦心するさま。
類：苦心惨憺（くしんさんたん）／類：焦唇乾舌（しょうしんかんぜつ）／類：粒粒辛苦（りゅうりゅうしんく）
●H09-1㈣書"
D0043,◆１,櫛風沐雨,しっぷうもくう,,櫛風,しっぷう,沐雨,,もくう,＊『晋書-文帝綱』,"➡櫛風沐雨（しっぷうもくう）
非常に苦労することのたとえ。風雨にもめげずよく働くこと。〈漢検四字熟語辞典〉
★「櫛風」は、風が髪をくしけずる。
★「沐雨」は、雨が体を洗うこと。
★雨や風にさらされながら苦労して働くという意味から。
類：櫛風浴雨（しっぷうよくう）
「風に櫛(ｸｼｹｽﾞ)り雨に沐(ﾓｸ)す」
●H05-2㈣書／●H11-3㈣書／●H17-2㈣書／●H22-2㈣書／●H26-2㈣書／●H29-2㈣書"
D0044,◆１,八面六臂,はちめんろっぴ,,八面,はちめん,六臂,,ろっぴ,＊『獅子文六-自由学校･彼女がそう叫ぶには』,"➡八面六臂（はちめんろっぴ）
一人で何人分もの働きをすること。また、多方面で目覚ましく活躍すること。〈漢検四字熟語辞典〉
★一つの体に八つの顔と六本の腕を持っているということ。
類：三面六臂（さんめんろっぴ）
●H21-3㈣書"
D0045,◆１,跼天蹐地,きょくてんせきち,,跼天,きょくてん,蹐地,,せきち,＊『詩経-小雅･正月』,"➡跼天蹐地／局天蹐地（きょくてんせきち）
非常に恐れて身の置き所のない形容。また、肩身を狭くして世をはばかって暮らすこと。〈漢検四字熟語辞典〉
★天は高いのに背を跼(ｶｶﾞ)め、大地は広く厚いのに忍び足でそっと歩く（蹐）こと。
「天に跼(ｾｸﾞｸﾏ)り地に蹐(ﾇｷｱｼ)す」
●H05-2㈣書／●H10-2㈣書／●H15-2㈣書／●H27-1㈣書"
D0046,◆１,韋編三絶,いへんさんぜつ,,三絶,さんぜつ,韋編,,いへん,＊『史記-孔子世家』,"➡韋編三絶（いへんさんぜつ）
書物を繰り返し読むこと。読書や学問に熱心なたとえ。〈漢検四字熟語辞典〉
★「韋編」は、木簡や竹簡をなめし革のひもで綴った昔の書物。
★「三絶」は、何度も断ち切れる意。
★孔子が易経を何度も読んだため、その書を綴ったなめし革のひもが幾度となく断ち切れたという故事から。
「韋編(ｲﾍﾝ)三(ﾐ)たび絶(ﾀ)つ」
●H07-3㈣書／●H14-2㈣書／●H16-1㈣書／●H22-2㈣書"
D0047,◆１,桃李成蹊,とうりせいけい,,桃李,とうり,成蹊,,せいけい,＊『史記-李将軍伝･賛』,"➡桃李成蹊（とうりせいけい）
徳がある人のもとには黙っていても自然に人が集まってくるということ。〈漢検四字熟語辞典〉
★花が美しく実がうまい桃や李（ｽﾓﾓ）の木の下には、それに惹かれて人が集まってくるために、自然に小道（蹊）ができるという意。
類：李広成蹊（りこうせいけい）
「桃李言わざれども下自(ｵﾉ)ずから蹊(ｹｲ)を成(ﾅ)す」㈣書／●H11-1㈣書／●H15-1㈣書／●H17-3㈣書／●H19-2㈣書／●H21-3㈣書"
D0048,◆１,紆余曲折,うよきょくせつ,,曲折,きょくせつ,紆余,,うよ,＊『久米邦武-米欧回覧実記･三』,"➡紆余曲折（うよきょくせつ）
曲がりくねること。また、事情が込み入り複雑なこと。〈漢検四字熟語辞典〉
★「紆余」は、道がくねくね曲がること。
★「曲折」は、折れ曲がること。
類：曲折浮沈（きょくせつふちん）
●H07-1㈣書"
D0049,◆１,慇懃無礼,いんぎんぶれい,,無礼,ぶれい,慇懃,,いんぎん,＊『加賀乙彦-くさびら譚･二』,"➡慇懃無礼（いんぎんぶれい）
表面はきわめて礼儀正しく丁寧であるが、実はひどく尊大であること。また、言葉遣いや態度などが丁寧過ぎるのは、かえって無礼であること。〈漢検四字熟語辞典〉
★「慇懃」は、きわめて丁寧なこと。非常に礼儀正しいこと。
類：慇懃尾籠（いんぎんびろう）
●H10-1㈣書／●H13-2㈣書"
D0050,◆１,無余涅槃,むよねはん,,無余,むよ,涅槃,,ねはん,＊『法華経-序品』,"➡無余涅槃（むよねはん）
肉体など形の制約から解放された悟りの境地。心だけでなく肉体のわずらいからも開放された悟りの世界。〈漢検四字熟語辞典〉
★「無余」は、残っていないこと。すべて。
★「涅槃」は、煩悩を脱し悟りの境地に入ること。
●H10-2㈣書"
D0051,◆１,喧喧囂囂,けんけんごうごう,,喧喧,けんけん,囂囂,,ごうごう,＊『木下尚江-火の柱･一四』,"➡喧喧囂囂（けんけんごうごう）
多くの人がやかましく騒ぐさま。〈漢検四字熟語辞典〉
★「喧喧」と「囂囂」は、やかましい･騒がしい意。
●H08-1㈣書"
D0052,◆１,勇往邁進,ゆうおうまいしん,,勇往,ゆうおう,邁進,,まいしん,＊『東京朝日新聞-明治三六年･八月一〇日』,"➡勇往邁進（ゆうおうまいしん）
目的を目指しまっしぐらに突き進むこと。〈漢検四字熟語辞典〉
★「邁進」は、ひるまず勇ましく進むこと。
類：勇往猛進（ゆうおうもうしん）／類：直往邁進（ちょくおうまいしん）／類：猪突猛進（ちょとつもうしん）
●H20-2㈣書"
D0053,◆１,明眸皓歯,めいぼうこうし,,明眸,めいぼう,皓歯,,こうし,＊『曹植-洛神賦』,"➡明眸皓歯（めいぼうこうし）
美人のたとえ。〈漢検四字熟語辞典〉
★美しく澄んだ眸(ﾋﾄﾐ)と、皓(ｼﾛ)く美しい歯の意。
類：蛾眉皓歯（がびこうし）／類：朱唇皓歯（しゅしんこうし）／類：仙姿玉質（せんしぎょくしつ）／類：氷肌玉骨（ひょうきぎょっこつ）／類：曲眉豊頰（きょくびほうきょう）／類：羞花閉月（しゅうかへいげつ）／類：沈魚落雁（ちんぎょらくがん）
●H16-2㈣書"
D0054,◆１,阿諛追従,あゆついしょう,,追従,ついしょう,阿諛,,あゆ,＊『漢書-匡衡伝』,"➡阿諛追従（あゆついしょう）
相手に気に入られようと、こびへつらうこと。〈漢検四字熟語辞典〉
★「阿諛」は、おもねりへつらう意。
★「追従」は、他人にこびへつらうこと。また、その言葉。
類：阿諛曲従（あゆきょくしょう）／類：阿諛便佞（あゆべんねい）／類：阿諛追随（あゆついずい）／類：世辞追従（せじついしょう）
●H09-2㈣書／●H09-3㈣書／●H14-1㈣書／●H17-2㈣書／●H23-3㈣書／●H28-1㈣書"
D0055,◆１,八面玲瓏,はちめんれいろう,,八面,はちめん,玲瓏,,れいろう,＊『馬熙-開窓看雨･詩』,"➡八面玲瓏（はちめんれいろう）
四方八方が透き通って明らかなこと。また、心にわだかまりがなく、すっきりと澄みきっていること。また、誰とでも円満･巧妙に交際すること。〈漢検四字熟語辞典〉
★「八面」は、あらゆる方面のこと。
★「玲瓏」は、美しく輝くさま、美しく透き通るさま。
★どこから見ても曇りがなく鮮やかで美しい意。
類：八方美人（はっぽうびじん）
●H16-2㈣書／●H18-1㈣書／●H22-3㈣書"
