ID,問題,語群,難易度,解答,別答,出典,意味,四字熟語,ハイライト
E0011,大金持ち。,"[断薺]画粥
嫗伏[孕鬻]
[棣華]増映
陶朱[猗頓]",◆１,いとん,,＊『賈誼-過秦論･上』,"陶朱猗頓（とうしゅいとん）
★陶朱猗頓の富(ﾄﾐ)…莫大な富。また、富豪。〈大辞泉〉
★「陶朱」は金満家として知られ、「猗頓」は、魯国の富豪であったところから。
類：猗頓之富（いとんのとみ）
類：陶朱之富（とうしゅのとみ）
●H28-3㈣意",陶朱猗頓,猗頓
E0012,無用なもの、つまらないもの。,"[牛溲]馬勃
瓶墜[簪折]
[醯鶏]甕裡
無根[無蔕]",◆１,ぎゅうしゅう,ぎゅうそう,＊『韓愈-進学解』,"牛溲馬勃（ぎゅうしゅうばぼつ／ぎゅうそうばぼつ）
★「牛溲」は、おおばこで、「馬勃」は、ほこりたけの意。どちらも一般的でありふれた薬草。
★一説に「牛溲」は牛の小便、「馬勃」は馬の糞。
類：牛糞馬涎（ぎゅうふんばせん）
●H28-3㈣意",牛溲馬勃,牛溲
E0013,生きものを表す提喩。,"跂行[喙息]
万物[殷富]
[円顱]方趾
[跛立]箕坐",◆１,かいそく,,＊『漢書-公孫弘伝』,"跂行喙息（きこうかいそく）
★「跂行」は、虫などが這い歩くこと。また、足で歩くこと。
★「喙息」は、口で息をするものの意。
●H28-3㈣意",跂行喙息,喙息
E0014,鳥や獣が子を産み育てること。,"[蓴羹]鱸膾
華亭[鶴唳]
吹毛[求疵]
嫗伏[孕鬻]",◆１,よういく,,＊『礼記-楽記』,"嫗伏孕鬻（うふうよういく／おうふうよういく）
★「嫗伏」は、鳥が翼で卵を覆い温めること。
★「孕鬻」は、獣が子を孕み産み育てること。
●H28-3㈣意",嫗伏孕鬻,孕鬻
E0015,故郷を懐かしく思う情。,"竜頭[鷁首]
陶朱[猗頓]
[断薺]画粥
[蓴羹]鱸膾",◆１,じゅんこう,,＊『晋書-張翰伝』,"蓴羹鱸膾（じゅんこうろかい）
★蓴菜(ｼﾞｭﾝｻｲ)の吸い物(羹:ｱﾂﾓﾉ)と、鱸(ｽｽﾞｷ)の切り身料理(膾:ﾅﾏｽ)。
★中国晋の張翰が故郷の料理である蓴菜のお吸い物と鱸の膾が恋しくなり、官を辞して洛陽から帰郷したという故事から。
類：狐死首丘（こししゅきゅう）
類：胡馬北風（こばほくふう）
類：池魚故淵（ちぎょこえん）
●H28-3㈣意／●R1-2㈣意",蓴羹鱸膾,蓴羹
E0016,丸のみにして味得しない。,"鳳凰[銜書]
鼓舌[揺脣]
渾崙[吞棗]
[孔翊]絶書",◆１,どんそう,,＊『碧巌録』,"渾崙吞棗（こんろんどんそう）
★「渾崙」は、黒色･頭･円形などにたとえ、ひとまとめにひっくるめての意。
★「吞棗」は、棗(ﾅﾂﾒ)の実を呑むこと。棗の実をかまずに丸呑みしても、その味はわからないということから。本来、仏の教えについていった語。
故事：「渾崙(ｺﾝﾛﾝ)、棗(ﾅﾂﾒ)を呑む」
●H29-1㈣意",渾崙吞棗,吞棗
E0017,政治に私情を差し挟まないこと。,"南橘[北枳]
洪範[九疇]
[和羹]塩梅
[孔翊]絶書",◆１,こうよく,,＊『蒙求-孔翊絶書』,"孔翊絶書（こうよくぜっしょ）
★「絶書」は、手紙を絶つ。ここでは手紙を開けて見ずに捨てること。
★中国晋の人孔翊は、洛陽の長官のとき地位を頼んでの人の依頼の手紙はみな水中に捨てて一通も開いてみることはなかったという故事から。
●H29-1㈣意",孔翊絶書,孔翊
E0018,天子の使者が勅状を携える。,"跂行[喙息]
鳳凰[銜書]
金枝[花萼]
鑿歯[尺牘]",◆１,がんしょ,,＊『易林･三』,"鳳凰銜書（ほうおうがんしょ）
★鳳凰が文書を口に銜(ｸﾜ)えているという意。
故事：「鳳凰書を銜(ﾌｸ)む」
●H29-1㈣意",鳳凰銜書,銜書
E0019,遠く離れた夫婦が思い合う。,"鳳凰[銜書]
南橘[北枳]
[巫雲]蜀雨
金枝[花萼]",◆１,ふうん,,＊『李賀-琴曲歌辞』,"巫雲蜀雨（ふうんしょくう）
★中国の巫山という山の雲と、中国の蜀という国の雨の意。
●H29-1㈣意",巫雲蜀雨,巫雲
E0020,強欲で残酷な人。,"[兢兢]業業
[封豕]長蛇
[眥裂]髪指
桃弧[棘矢]",◆１,ほうし,,＊『春秋左氏伝-定公四年』,"封豕長蛇（ほうしちょうだ）
★大きな豚（封豕）と、長い蛇の意。
故事：「封豕長蛇を為(ﾅ)す」
●H29-1㈣意",封豕長蛇,封豕
E0021,耳障りで意味不明のことば。,"喋喋[喃喃]
[蹈節]死義
南蛮[鴃舌]
[倚馬]七紙",◆１,げきぜつ,,＊『孟子-滕文公･上』,"南蛮鴃舌（なんばんげきぜつ）
★「鴃舌」は、百舌のさえずりで、わけのわからない言葉にたとえる。
★南方の蛮人が話すわからない言葉の意。
●H29-2㈣意",南蛮鴃舌,鴃舌
E0022,天然の美質をいう。,"[輪奐]一新
重熙[累洽]
[璞玉]渾金
[竹苞]松茂",◆１,はくぎょく,,＊『世説新語-賞誉』,"璞玉渾金（はくぎょくこんきん）
★まだ精錬されていない鉱石(渾金)と、磨かれていない玉(璞玉)の意で、天然の美質をいう。
類：渾金璞玉（こんきんはくぎょく）
●H29-2㈣意",璞玉渾金,璞玉
E0023,苦境に耐えて事業を起こすたとえ。,"[北轅]適楚
[篳路]藍縷
[俛首]帖耳
傾側[偃仰]",◆１,ひつろ,,＊『春秋左氏伝-昭公一二年』,"篳路藍縷（ひつろらんる）
★柴で作った粗末な車（篳路）と、ぼろの着物（藍縷）の意。
●H29-2㈣意",篳路藍縷,篳路
E0024,文武二様の舞。,"[文恬]武嬉
一箭[双雕]
干戚[羽旄]
[三槐]九棘",◆１,うぼう,,＊『礼記-楽記』,"干戚羽旄（かんせきうぼう）
★「干戚」は、盾と鉞(ﾏｻｶﾘ)を持って舞う、武の舞のこと。
★「羽旄」は、雉(ｷｼﾞ)の羽と旄牛(ｶﾗｳｼ)の尾で作った飾りを持って舞う、文の舞の意。
●H29-2㈣意／●R1-2㈣意",干戚羽旄,羽旄
E0025,それとなく相手に注意する。,"優柔[厭飫]
[俛首]帖耳
[咄嗟]𠮟咤
[躡足]附耳",◆１,じょうそく,,＊『史記-淮陰侯伝』,"躡足附耳（じょうそくふじ）
★「躡足」は、足をふむこと。
★「附耳」は、耳に口をつけてそっと言うこと。
故事：「足を躡(ﾌ)み耳に附(ﾂ)く」
●H29-2㈣意",躡足附耳,躡足
E0026,男女の情交。,"[噬指]棄薪
[衍曼]流爛
雲雨[巫山]
[和羹]塩梅",◆１,ふざん,,＊『高唐賦』,"雲雨巫山（うんうふざん）
★「巫山」は、一説に中国、湖北省の山の名。ここに神女が住んでいたとされる。
★戦国時代、楚の懐王が高唐に遊び昼寝していたとき、その夢の中で巫山の神女と情を交わし、別れるときに神女が「朝には雲となり夕には雨になってここに参りましょう」といった故事から。
類：朝雲暮雨（ちょううんぼう）
類：巫山雲雨（ふざんうんう）
類：巫山之夢（ふざんのゆめ）
類：巫山之雨（ふざんのあめ）
類：雲雨之夢（うんうのゆめ）
●H29-3㈣意",雲雨巫山,巫山
E0027,一所不在の境涯。,"孤独[鰥寡]
無余[涅槃]
優游[涵泳]
浮家[泛宅]",◆１,はんたく,,＊『顔真卿-浪跡先生玄真子張志和碑銘』,"浮家泛宅（ふかはんたく）
★「泛」は、浮かぶ、浮かべる意。
●H29-3㈣意／●R1-2㈣意",浮家泛宅,泛宅
E0028,互いの心が和すること。,"束髪[封帛]
[和羹]塩梅
[笙磬]同音
心広[体胖]",◆１,しょうけい,,＊『詩経-小雅･鼓鐘』,"笙磬同音（しょうけいどうおん）
★管楽器の「笙」と、打楽器の「磬」を一斉に演奏して調和する意。
●H29-3㈣意",笙磬同音,笙磬
E0029,大望のために身を落とす。,"[伊尹]負鼎
[鼎鐺]玉石
筆力[扛鼎]
大名[鼎鼎]",◆１,いいん,,＊『蒙求-伊尹負鼎』,"伊尹負鼎（いいんふてい）
★「伊尹」は、中国殷代の賢宰相。
★伊尹は、殷の湯王(ﾄｳｵｳ)に仕えるため鼎を背負い（負鼎）料理人として近づき、ついに志を果たして宰相になったという故事から。
●H29-3㈣意",伊尹負鼎,伊尹
E0030,賢人たちが相伴って朝廷に出る。,"一箭[双雕]
[三釁]三浴
衆賢[茅茹]
[廷諍]面折",◆１,ぼうじょ,,＊『易経-泰』,"衆賢茅茹（しゅうけんぼうじょ）
★「衆賢」は、たくさんの賢者のこと。
★「茅茹」は、茅(ﾁｶﾞﾔ)の根が連なっているさまをいう語。
★賢人は自分だけが重用されればよいというような考え方はしないということ。
●H29-3㈣意",衆賢茅茹,茅茹
E0031,苦しむ者を更に苦しめる。,"[白荼]赤火
銘肌[鏤骨]
[落穽]下石
崎嶇[坎軻]",◆１,らくせい,,＊『韓愈-柳子厚墓誌銘』,"落穽下石（らくせいかせき）
★「穽」は、落とし穴の意。
★人が落とし穴に落ちたのに、上から石を落とす意。
類：落井下石（らくせいかせき）
類：下井落石（かせいらくせき）
故事：「穽(ｾｲ)に落ちて石を下(ｸﾀﾞ)す」
●H30-1㈣意",落穽下石,落穽
E0032,長い時を無駄に過ごす。,"呉牛[喘月]
[馮異]大樹
曠日[弥久]
厭聞[飫聴]",◆１,びきゅう,,＊『戦国策-燕策』,"曠日弥久（こうじつびきゅう）
★「曠日」は、何もしないで日をむなしく送ること。
★「弥久」は、長引くこと。
類：曠日持久（こうじつじきゅう）
故事：「日(ﾋ)を曠(ﾑﾅ)しくして久しきに弥(ﾜﾀ)る」
●H30-1㈣意",曠日弥久,弥久
E0033,老人のこと。,"竹頭[木屑]
頭童[歯豁]
[井渫]不食
[束皙]竹簡",◆１,しかつ,,＊『韓愈-進学解』,"頭童歯豁（とうどうしかつ）
★「頭童」は、子供の坊主頭から転じて、頭髪がなくなること。
★「歯豁」は、歯と歯の間がひらいてまばらになる意。
類：歯豁頭童（しかつとうどう）
●H30-1㈣意",頭童歯豁,歯豁
E0034,比類ない碩学をいう。,"[束皙]竹簡
[緇林]杏壇
軽妙[洒脱]
[麤枝]大葉",◆１,そくせき,,＊『蒙求-束皙竹簡』,"束皙竹簡（そくせきちくかん）
★「束皙」は、晋の人で博学をうたわれた。
★「竹簡」は、竹のふだで、紙のない昔はこれに文字を書き付けた。
★中国晋の束皙は、汲郡(ｷｭｳｸﾞﾝ)の古い墓から出土した竹簡など古い文字をよく解読してその博学多聞を称されたという故事から。
●H30-1㈣意",束皙竹簡,束皙
E0035,地方官の退任を惜しむ民情。,"崎嶇[坎軻]
[影駭]響震
[攀轅]臥轍
雷陳[膠漆]",◆１,はんえん,,＊『白孔六帖-刺史』,"攀轅臥轍（はんえんがてつ）
★「攀轅」は、車の轅(ﾅｶﾞｴ:車の前に出した二本の棒)に攀(ｽｶﾞ)りつくこと。
★「臥轍」は、車の轍に臥(ﾌ)せる意。
★立派な地方長官が転任したり退任したりするのを人民が惜しむことを言う。
類：攀轅扣馬（はんえんこうば）
故事：「轅(ﾅｶﾞｴ)に攀(ｽｶﾞ)りて轍(ﾜﾀﾞﾁ)に臥(ﾌ)す」
●H30-1㈣意",攀轅臥轍,攀轅
E0036,遅くに官を得ること。また、無位の者。,"万寿[無疆]
日月[逾邁]
[布韈]青鞋
白髪[青袗]",◆１,せいしん,,＊『侯鯖録』,"白髪青袗（はくはつせいしん）
★「白髪」は、しらが。
★「青袗」は、浅黄色のひとえの短い衣服の意。
●H30-2㈣意",白髪青袗,青袗
E0037,庇護者に盲目的に忠実である。,"蛙鳴[蟬噪]
韓信[匍匐]
[跖狗]吠尭
狐裘[羔袖]",◆１,せきく,,＊『戦国策-斉策』,"跖狗吠尭（せきくはいぎょう）
★盗跖(ﾄｳｾｷ:中国春秋時代の大盗賊)に飼われている犬(狗)が、尭帝(ｷﾞｮｳﾃｲ:中国の古代の聖天子)に吠えつくという意から。
故事：「跖(ｾｷ)の狗(ｲﾇ)尭に吠(ﾎ)ゆ」
●H30-2㈣意",跖狗吠尭,跖狗
E0038,軍勢の盛んに展開するさま。,"[白荼]赤火
稲麻[竹葦]
[狐裘]蒙戎
[紆余]委蛇",◆１,はくと,,＊『国語-呉語』,"白荼赤火（はくとせきか）
★兵が一面の白い花(荼:ﾁｶﾞﾔ)のように散り、赤い火が燃え盛るように展開すること。
●H30-2㈣意",白荼赤火,白荼
E0039,はてしなく広いこと。,"一縷[千鈞]
秋風[索寞]
万寿[無疆]
一望[無垠]",◆１,むぎん,,＊『不明』,"一望無垠（いちぼうむぎん）
★「無垠」は、果てしないこと。「垠」は地の果て。
類：一望千頃（いちぼうせんけい）
類：天涯一望（てんがいいちぼう）
類：一望千里（いちぼうせんり）
故事：「一望(ｲﾁﾎﾞｳ)垠(ﾊﾃ)無し」
●H30-2㈣意",一望無垠,無垠
E0040,旅の出で立ち。,"[布韈]青鞋
抱関[撃柝]
[一裘]一葛
[羊裘]垂釣",◆１,ふべつ,,＊『杜甫-奉先劉少府新画山水障歌』,"布韈青鞋／布襪青鞋（ふべつせいあい）
★「布韈」は、布で作った脚絆のこと。
★「青鞋」は、わらじの意。
類：青鞋布韈（せいあいふべつ）
●H30-2㈣意",布韈青鞋,布韈
E0041,議論や文章が煩わしく拙いこと。,"物論[囂囂]
無根[無蔕]
蛙鳴[蟬噪]
談天[雕竜]",◆１,せんそう,,＊『韓愈-平淮西碑儲欣評』,"蛙鳴蟬噪（あめいせんそう）
★蛙や蟬がやかましく鳴き噪(ｻﾜ)ぐように、うるさいばかりでなんの役にも立たないという意味が転じたもの。
類：蛙鳴雀噪（あめいじゃくそう）
類：驢鳴犬吠（ろめいけんばい）
類：蟬噪蛙鳴（せんそうあめい）
類：蛙鳴雀噪（あめいじゃくそう）
類：驢鳴犬吠（ろめいけんばい）",蛙鳴蟬噪,蟬噪
E0042,お世辞を連ねて人に取り入る。,"南蛮[鴃舌]
邪智[奸佞]
[媚眼]秋波
[阿諛]追従",◆１,あゆ,,＊『漢書-匡衝伝』,"阿諛追従（あゆついしょう）
★「阿諛」は、おもねりへつらう意。
★「追従」は、他人にこびへつらうこと。また、その言葉。
類：阿諛曲従（あゆきょくしょう）
類：阿諛便佞（あゆべんねい）
類：阿諛追随（あゆついずい）
類：世辞追従（せじついしょう）",阿諛追従,阿諛
E0043,美徳や功労をわざわざ誇示しない。,"[山藪]蔵疾
[朦朧]模糊
煮豆[燃萁]
衣錦[尚絅]",◆１,しょうけい,,＊『中庸-三三』,"衣錦尚絅（いきんしょうけい）
★「尚」は、加える、添え着すること。
★錦を衣(ｷ)てその上に薄絹（絅）をかける意。
「錦(ﾆｼｷ)を衣(ｷ)て絅(ｹｲ)を尚(ｸﾜ)う」",衣錦尚絅,尚絅
E0044,元々強い者が、一層強くなること。,"豺狼[当路]
攀竜[附驥]
彩鳳[随鴉]
為虎[傅翼]",◆１,ふよく,,＊『韓非子-難勢』,"為虎傅翼（いこふよく）
★強い虎に翼をつけて空を自由に飛ぶ能力も与えるということから。
類：為虎添翼（いこてんよく）
類：傅虎以翼（ふこいよく）
「虎の為(ﾀﾒ)に翼(ﾖｸ)を傅(ﾂ)く」",為虎傅翼,傅翼
E0045,仕事をひと息にやり遂げること。,"昏定[晨省]
画竜[点睛]
一気[呵成]
倍日[幷行]",◆１,かせい,,＊『詩藪-内編･近体中』,"一気呵成（いっきかせい）
★「呵」は、ハッと息を吹きかける擬音語。",一気呵成,呵成
E0046,失敗をして再起不能となるたとえ。,"一髪[千鈞]
[一蹶]不振
[魚爛]土崩
[亢竜]有悔",◆１,いっけつ,,＊『説苑-談叢』,"一蹶不振（いっけつふしん）
★「蹶」は、つまずく意。
「一蹶(ｲｯｹﾂ)して振(ﾌﾙ)わず」",一蹶不振,一蹶
E0047,達弁のたとえ。,"摩頂[放踵]
[狂瀾]怒濤
[倚馬]七紙
[一瀉]千里",◆１,いっしゃ,,＊『韓愈-貞女峡詩』,"一瀉千里（いっしゃせんり）
★「瀉」は、傾斜地を水が勢いよく流れ出すこと。
★水が傾斜地を流れ出すと一気に千里もの距離を流れ下る意。
類：一瀉百里（いっしゃひゃくり）",一瀉千里,一瀉
E0048,読書や学問に熱心なたとえ。,"鳳凰[銜書]
夜雨[対牀]
[琴棊]書画
[韋編]三絶",◆１,いへん,,＊『史記-孔子世家』,"韋編三絶（いへんさんぜつ）
★「韋編」は、木簡や竹簡をなめし革のひもで綴った昔の書物。
★「三絶」は、何度も断ち切れる意。
★孔子が易経を何度も読んだため、その書を綴ったなめし革のひもが幾度となく断ち切れたという故事から。
「韋編(ｲﾍﾝ)三(ﾐ)たび絶(ﾀ)つ」",韋編三絶,韋編
E0049,表向き丁寧で実は尊大であること。,"[慇懃]無礼
繁文[縟礼]
跼天[蹐地]
尽歓[竭忠]",◆１,いんぎん,,＊『くさびら譚･二』,"慇懃無礼（いんぎんぶれい）
★「慇懃」は、きわめて丁寧なこと。非常に礼儀正しいこと。
類：慇懃尾籠（いんぎんびろう）",慇懃無礼,慇懃
E0050,旧慣に固執しその場しのぎをする。,"[黝堊]丹漆
因循[苟且]
古人[糟粕]
融通[無礙]",◆１,こうしょ,,＊『不明』,"因循苟且（いんじゅんこうしょ）
★「因循」は、因(ﾖ)り循(ｼﾀｶﾞ)うで、古いしきたりに従っているだけで、改めようとしないこと。ぐずぐずして煮え切らないさま。
★「苟且」は、かりそめ、間に合わせ、一時逃れの意。
類：因循姑息（いんじゅんこそく）",因循苟且,苟且
E0051,文字の書き誤り。,"恍恍[忽忽]
[烏焉]魯魚
咬文[嚼字]
一筆[勾銷]",◆１,うえん,,＊『事物異名録-二〇』,"烏焉魯魚（うえんろぎょ）
★烏と焉、魯と魚がそれぞれ字形が似ていて誤りやすいことからいう。
類：魯魚之謬（ろぎょのあやまり）
類：魯魚亥豕（ろぎょがいし）
類：魯魚陶陰（ろぎょとういん）
類：魯魚帝虎（ろぎょていこ）
類：烏焉成馬（うえんせいば）
類：魯魚章草（ろぎょしょうそう）
類：亥豕之譌（がいしのか）
類：焉馬之誤（えんばのあやまり）
類：三豕渡河（さんしとか）",烏焉魯魚,烏焉
E0052,文字の書き誤り。,"魯魚[亥豕]
[夏鑪]冬扇
烏兎[匆匆]
[禹行]舜趨",◆１,がいし,,＊『蘭説弁惑･跋』,"魯魚亥豕（ろぎょがいし）
★「魯」と「魚」、「亥」と「豕」とが、それぞれ字画が似ていて書き誤りやすいということ。
類：魯魚章草（ろぎょしょうそう）
類：魯魚帝虎（ろぎょていこ）
類：魯魚陶陰（ろぎょとういん）
類：烏焉魯魚（うえんろぎょ）
類：三豕渡河（さんしとか）",魯魚亥豕,亥豕
E0053,文字を間違えること。,"管窺[蠡測]
[孔翊]絶書
[渾渾]沌沌
[三豕]渉河",◆１,さんし,,＊『呂氏春秋-察伝』,"三豕渉河（さんししょうか）
★昔、ある史官が「己亥渉河（己亥(ﾂﾁﾉﾄｲ)の年、河を渉(ﾜﾀ)る）」と書いてあるのを、己を三、亥を豕(ﾌﾞﾀ)と読み、その誤りを子夏(ｼｶ)が「三匹の豚などという年号はない」と指摘した故事から。
類：三豕渡河（さんしとか）
類：三豕己亥（さんしきがい）
類：魯魚亥豕（ろぎょがいし）
類：三豕金根（さんしきんこん）",三豕渉河,三豕
E0054,本質を考えず聖人の猿真似をする。,"[禹行]舜趨
[殷鑑]不遠
[三豕]渉河
[禹湯]文武",◆１,うこう,,＊『荀子-非十二子』,"禹行舜趨（うこうしゅんすう）
★「禹」は、舜から位を禅譲されて夏(ｶ)王朝を開いたとされ、「舜」は、尭から位の禅譲をうけたとされる人で、いずれも中国古代の伝説上の聖天子。
★禹の歩き方や舜の走り方などは表面上の動作であり、真似をしても何の意味もないことから。
類：禹歩舜趨（うほしゅんすう）",禹行舜趨,禹行
E0055,情勢を気にして決断できないこと。,"左提[右挈]
右顧[左眄]
[鄒衍]降霜
傾側[偃仰]",◆１,さべん,,＊『不明』,"右顧左眄（うこさべん）
★「顧」は、見回す、気に掛ける意。
★「眄」は、横目でちらちら見ること。
類：右顧左顧（うこさこ）
類：左右傾側（さゆうけいそく）
類：首鼠両端（しゅそりょうたん）
類：左眄右顧（さべんうこ）
類：左顧右眄（さこうべん）",右顧左眄,左眄
E0056,こじつけること。,"厭聞[飫聴]
[魯魚]陶陰
[史籒]大篆
[郢書]燕説",◆１,えいしょ,,＊『韓非子-外儲説･左上』,"郢書燕説（えいしょえんせつ）
★昔、郢の人が燕国の大臣に手紙を書いたとき、灯火が暗かったので「燭を挙げよ」と命じたところ、誤ってこの言葉を手紙に書きこんでしまった。ところが、これ読んだ燕の大臣は、これを「賢人を登用せよ」という意味にとって実行し、その結果国がよく治まったという故事から。",郢書燕説,郢書
E0057,自分の好きな方にだけ肩入れする。,"[偏袒]搤腕
雲遊[萍寄]
[伊尹]負鼎
[依怙]贔屭",◆１,えこ,,＊『信長記-一上』,"依怙贔屭／依怙贔負（えこひいき）
★「依怙」は、もと頼りにする意であるが、わが国では不公平の意にも使われる。
★「贔屭」は、もとヒキと読み、力を出し努力するさま。転じて、人に目をかけて引き立てること。",依怙贔屭,依怙
E0058,高位高官となるべき貴人の人相。,"[燕頷]虎頸
攀竜[附驥]
[鴟目]虎吻
長頸[烏喙]",◆１,えんがん,,＊『後漢書-班超伝』,"燕頷虎頸（えんがんこけい）
★「燕頷」は、武力に秀でた人物の骨相。
★中国後漢の班超(ﾊﾝﾁｮｳ)は生まれながらに燕のようなあごと虎のような頸をしており、はじめ官に雇われ筆書の仕事をしていた。あるとき筆を投じて異域で戦功を立てた張騫(ﾁｮｳｹﾝ)のようにありたいと志し、占い師に見せた所、遠方で侯に封ぜられる人相という。果たしてのち万里の外に遠征し戦勝して定遠侯(ﾃｲｴﾝｺｳ)に封ぜられた故事から。
類：燕頷虎頭（えんがんことう）
類：燕頷投筆（えんがんとうひつ）",燕頷虎頸,燕頷
