ID,難易度,熟語,意味,読み,文章
A0040,◆１,襤褸,"襤褸（らんる）
┌使い古した布きれ。また、古くなって破れた衣服。〈漢字ペディア〉
┌ぼろの衣服。〈漢字源〉
┌破れた衣服。ぼろぼろの衣服。また、ぼろきれ。ぼろ。つづれ。〈大辞泉〉
★｢襤褸｣で｢ぼろ｣とも読む。",らんる,使い古した布きれ。また、古くなって破れた衣服。
A0041,◆１,爛熟,"爛熟（らんじゅく）
┌1.果実などが熟しすぎること。
└2.物事が極限まで発達すること。〈漢字ペディア〉
┌1.果物などが十分に熟して柔らかになること。
├2.その事柄を詳しく知りつくしていること。
└3.物事が十分に発達して盛りを過ぎ、やがて衰勢に赴くような状態。〈漢字源〉",らんじゅく,果実などが熟しすぎること。物事が極限まで発達すること。
A0042,◆１,流謫,"流謫（るたく、りゅうたく）
┌罪によって遠方へ流されること。≒遠流〈漢字ペディア〉
┌罪によって遠い地方に流すこと。〈漢字源〉",るたく、りゅうたく,罪によって遠方へ流されること。
A0043,◆１,均霑,"均霑（きんてん）
┌平等に恩恵や利益を受けること。〈大辞泉〉
┌利益や恩恵をみんながひとしく受けること。恩恵が均等にいきわたること。≒均沾〈漢字ペディア〉",きんてん,平等に恩恵や利益を受けること。
A0044,◆１,蜉蝣,"蜉蝣（ふゆう）
┌かげろう。はかないもの、無力なものにたとえる。〈字通〉
┌カゲロウ目の昆虫の総称。成虫の生存期間はきわめて短い。カゲロウ。浮游(ﾌﾕｳ)。〈漢辞海〉",ふゆう,かげろう。はかないもの、無力なものにたとえる。
A0045,◆１,炊爨,"炊爨（すいさん）
┌飯をたくこと。また、食事の仕度をすること。〈漢字ペディア〉
┌飯を炊くこと。炊飯。炊事。〈大辞泉〉
┌1.飯をたく。
└2.炊事夫。〈漢辞海〉",すいさん,飯をたくこと。また、食事の仕度をすること。
A0046,◆１,結紮,"結紮（けっさつ）
┌糸などで結ぶこと。特に、止血などのために血管などを縛って結ぶこと。〈大辞泉〉
┌主として止血のために、血管や組織のある部分を糸などでかたくしばること。〈日本国語大辞典〉",けっさつ,糸などで結ぶこと。特に、止血などのために血管などを縛って結ぶこと。
A0047,◆１,証憑,"証憑（しょうひょう）
┌1.事実を証明する根拠となるもの。≒証拠
└2.裁判所や捜査機関が刑罰を判断するのに必要な一切の資料。証拠物件でなく、証人や参考人なども含む。〈大辞泉〉
┌証拠。〈字通〉
┌ある事実を証明するよりどころ。≒根拠、証拠、証左〈漢字ペディア〉",しょうひょう,事実を証明する根拠となるもの。裁判所や捜査機関が刑罰を判断するのに必要な一切の資料。証拠物件でなく、証人や参考人なども含む。
A0048,◆１,千仞,"千仞（せんじん）
┌非常に高いこと。また、非常に深いこと。〈漢字源〉
┌山などが非常に高いこと。また、海や谷が非常に深いこと。≒千尋〈漢字ペディア〉",せんじん,非常に高いこと。また、非常に深いこと。
A0049,◆１,挂冠,"挂冠（けいかん、かいかん）
┌官職をやめること。辞職すること。致仕。〈大辞泉〉
┌官を去る。〈字通〉
┌冠を脱いで、官職を辞する。挂綬。挂冕。後漢の逢萌(ﾎｳﾎﾞｳ)が王莽(ｵｳﾓｳ)に仕えるのを嫌い、城門に冠をかけて去った故事から。〈漢辞海〉
┌冠を脱いで柱などにかける意から、官を去り職を辞すること。〈漢字ペディア〉",けいかん、かいかん,官職をやめること。辞職すること。致仕。
A0050,◆１,憔悴,"憔悴（しょうすい）
┌心痛や病気のため、やせておとろえること。やつれること。〈漢字ペディア〉
┌悩みや病気のためやせ衰える。また、疲れ苦しむ。〈漢字源〉",しょうすい,心痛や病気のため、やせておとろえること。やつれること。
A0051,◆１,鏤刻,"鏤刻（ろうこく、るこく）
┌1.金属や木の表面に模様を彫りきざむこと。
└2.文章などの技巧をこらすこと。〈漢字ペディア〉
┌1.金属や木などに文字や絵を彫り刻むこと。るこく。
└2.文章や詩句を推敲(ｽｲｺｳ)すること。るこく。〈大辞泉〉",ろうこく、るこく,金属や木の表面に模様を彫りきざむこと。文章などの技巧をこらすこと。
A0052,◆１,霊柩,"霊柩（れいきゅう）
┌死者のなきがらを納めた棺。ひつぎ。〈漢字源〉
┌死者の亡骸を治めた棺。ひつぎ。〈漢辞海〉",れいきゅう,死者のなきがらを納めた棺。ひつぎ。
A0053,◆１,騏驥,"騏驥（きき）
┌1.よく走るすぐれた馬。駿馬。
└2.すぐれた人物。〈大辞泉〉
┌千里を走る名馬。よく走るすぐれた馬のこと。駿馬。〈漢字源〉",きき,よく走るすぐれた馬。駿馬。すぐれた人物。
A0054,◆１,脚絆,"脚絆（きゃはん）
┌(国)徒歩旅行をするとき、歩きやすくするために脛(ｽﾈ)に巻きつける布。はばき。≒脚半〈漢字源〉
┌昔、旅行や作業のとき、あしを守り動きやすくするためにすねに当てたり巻きつけたりした布。ゲートル。≒脚半〈漢字ペディア〉",きゃはん,徒歩旅行をするとき、歩きやすくするために脛に巻きつける布。はばき。
A0055,◆１,浚渫,"浚渫（しゅんせつ）
┌水底の泥をさらって深くすること。〈漢字源〉
┌底さらえ。〈字通〉
┌水底の泥をさらって深くすること。〈漢字ペディア〉",しゅんせつ,水底の泥をさらって深くすること。
A0056,◆１,服膺,"服膺（ふくよう）
┌心にしっかりとどめて、片時も忘れないこと。〈漢字ペディア〉
┌他人の戒め･命令などをしっかりと心にとめて忘れないこと。忘れずに守ること。相手のことばを受け入れて実行すること。〈日本国語大辞典〉",ふくよう,心にしっかりとどめて、片時も忘れないこと。
A0057,◆１,霹靂,"霹靂（へきれき）
┌1.かみなり。いかずち。雷鳴。
└2.雷が激しく鳴ること。落雷すること。また、大きな音が響き渡ること。〈大辞泉〉
┌1.引き裂くような激しい雷。また、雷鳴。
└2.激しい音が響くさま。〈漢字ペディア〉

★青天の霹靂…急に起きる変動･大事件。また、突然うけた衝撃。〈大辞泉〉",へきれき,かみなり。いかずち。雷鳴。雷が激しく鳴ること。落雷すること。また、大きな音が響き渡ること。
A0058,◆１,瀰漫,"瀰漫（びまん）
┌広がりはびこる。≒弥漫〈漢字源〉
┌風潮などが広がりはびこること。≒弥漫〈漢字ペディア〉",びまん,広がりはびこる。
A0059,◆１,焙煎,"焙煎（ばいせん）
┌コーヒー豆などを焙じて煎ること。〈大辞泉〉
┌火で煎(ｲ)ること。特に、コーヒー豆や茶の葉を焙(ﾎｳ)じて煎ること。〈漢字ペディア〉",ばいせん,コーヒー豆などを焙じて煎ること。
A0060,◆１,蹂躪,"蹂躪（じゅうりん）
┌ふみにじること。暴力･強権などをもって他を侵害すること。〈大辞泉〉
┌1.ふみにじって荒らす。
├2.侵入して荒らす。
└3.人の名誉などを傷つけて台無しにする。〈漢字源〉
┌権力や腕力で相手の権利などをふみにじること。〈漢字ペディア〉",じゅうりん,ふみにじること。暴力･強権などをもって他を侵害すること。
A0061,◆１,刮目,"刮目（かつもく）
┌目をかっと見開いてよく見る。特に期待し、注意して見る。〈漢字源〉
┌目をこすってよく見ること。注意してよく見ること。注目すること。〈漢字ペディア〉",かつもく,目をかっと見開いてよく見る。特に期待し、注意して見る。
A0062,◆１,剴切,"剴切（がいせつ）
┌非常によく当てはまること。また、そのさま。〈大辞林〉
┌ぴたりとあうこと。適切なこと。本来は地面すれすれに草を切る意。〈漢字ペディア〉",がいせつ,非常によく当てはまること。また、そのさま。
A0063,◆１,膺懲,"膺懲（ようちょう）
┌外敵を征伐すること。討ちこらしめること。〈漢字ペディア〉
┌うちこらすこと。征伐してこらしめること。〈日本国語大辞典〉",ようちょう,外敵を征伐すること。討ちこらしめること。
A0064,◆１,哄笑,"哄笑（こうしょう）
┌大勢の人が大声で笑うこと。どよめき笑うこと。〈漢字ペディア〉
┌大きな声でどっと笑うこと。≒高笑〈漢字源〉",こうしょう,大勢の人が大声で笑うこと。どよめき笑うこと。
A0065,◆１,喀血,"喀血（かっけつ）
┌肺･気管支などから血を吐くこと。〈漢字源〉
┌肺などから血を吐く。〈漢辞海〉
┌血をはくこと。特に肺や気管支の血をはくこと。〈漢字ペディア〉",かっけつ,肺･気管支などから血を吐くこと。
A0066,◆１,縲絏,"縲絏（るいせつ）
┌罪人として獄に入れられること。縄目にかかること。≒縲紲〈漢字ペディア〉
┌罪人をしばる長いなわ。また、転じて牢屋。〈漢字源〉",るいせつ,罪人として獄に入れられること。縄目にかかること。
A0067,◆１,靄靄,"靄靄（あいあい）
┌1.雲やもやが集まり、たなびくさま。
└2.なごやかな気が満ちているさま。藹藹。〈大辞泉〉
┌1.靄(ﾓﾔ)や雲が集まり、たなびくさま。
└2.打ちとけてなごやかな気分が満ちているさま。≒藹藹〈漢字ペディア〉",あいあい,雲やもやが集まり、たなびくさま。なごやかな気が満ちているさま。藹藹。
A0068,◆１,嚥下,"嚥下（えんげ、えんか）
┌のみこむこと。〈漢字ペディア〉
┌のみこむ。〈漢字源〉",えんげ、えんか,のみこむこと。
A0069,◆１,靉靆,"靉靆（あいたい）
┌1.雲や霞(ｶｽﾐ)などがたなびいているさま。
└2.気持ちや表情などの晴れ晴れしないさま。陰気なさま。〈大辞泉〉
┌1.雲がたなびくさま。
└2.老人の眼鏡のこと。〈新漢和大字典〉
┌1.雲がたなびいているさま。
├2.雲が空をおおって暗いさま。
└3.暗く陰気なさま。〈漢字ペディア〉",あいたい,雲や霞などがたなびいているさま。気持ちや表情などの晴れ晴れしないさま。陰気なさま。
A0070,◆１,屛風,"屛風（びょうぶ、へいふう）
┌室内に立てて、風よけや仕切りなどに使う道具。ついたて。〈漢字源〉
┌室内に置いて風をさえぎったり、仕切りや装飾などに用いたりする道具。木の枠に絵や書がかいてある布や紙などを張って、折りたためるようにしたものが多い。≒衝立(ついたて)〈漢字ペディア〉",びょうぶ、へいふう,室内に立てて、風よけや仕切りなどに使う道具。ついたて。
A0071,◆１,譴責,"譴責（けんせき）
┌1.しかり責めること。不正や過失などを厳しくとがめること。
└2.懲戒処分のうち最も軽いもの。職務上の義務違反について警告し、将来を戒めること。現在、法令上では戒告という。〈大辞泉〉
┌1.あやまちや不正などをとがめ責めること。
└2.かつて公務員の職務上の過失に対して与えられた懲戒処分の一つ。現在は「戒告」という。〈漢字ペディア〉",けんせき,しかり責めること。不正や過失などを厳しくとがめること。懲戒処分のうち最も軽いもの。職務上の義務違反について警告し、将来を戒めること。現在、法令上では戒告という。
A0072,◆１,旗幟,"旗幟（きし）
┌旗と、のぼり。旗じるしのこと。特に、軍旗。〈漢字源〉
┌1.昔、戦場で自分の存在をはっきりさせるために立てた、はたとのぼり。はたじるし。
└2.態度。主義主張。〈漢字ペディア〉",きし,旗と、のぼり。旗じるしのこと。特に、軍旗。
A0073,◆１,恫喝,"恫喝（どうかつ）
┌大声で、ぎょっとさせる。おどしつける。恐喝。〈漢字源〉
┌おどして、怖がらせること。おどかし。≒脅迫、恫愒〈漢字ペディア〉",どうかつ,大声で、ぎょっとさせる。おどしつける。恐喝。
A0074,◆１,危惧,"危惧（きぐ）
┌あやぶみ、おそれること。危懼。〈大辞泉〉
┌心配し恐れること。気がかり。≒懸念、危懼〈漢字ペディア〉",きぐ,あやぶみ、おそれること。危懼。
