ID,難易度,問題,解答,別答,意味
F0058,1,木天蓼,またたび,,マタタビ科のつる性落葉低木。山地に自生。夏、ウメに似た白い花を開く。果実は先のとがった長楕円（ダエン）形で、黄熟し食用・薬用。茎・葉・実ともネコが好む。ナツウメ。〈漢字ペディア〉
F0059,1,翻車魚,まんぼう,うき,マンボウ科の海魚。暖海にすむ。全長約四（メートル）。卵形で縦に平たく、胴が途中で切れたような形をしている。食用。ウキギ。〈漢字ペディア〉
F0060,1,木乃伊,みいら,,死体が、腐らず原形に近い形を保って乾燥し固まったもの。天然のものと人工のものとがある。〈漢字ペディア〉
F0061,1,蚯蚓,みみず,,貧毛類の環形動物の総称。細長い円筒形で、地中にすむ。釣り餌（え）や生薬に用いる。＝蚓〈漢字ペディア〉
F0062,1,木槿,むくげ,もくげ,アオイ科の落葉低木。もくげ。＝槿、舜、蕣〈漢字ペディア〉
F0063,1,水雲,もずく,,褐藻類モズク科の海藻。内海でホンダワラなどの海藻に付着して生育。茶褐色の糸状で、やわらかくぬるぬるしている。食用。モクズ。＝海蘊、海雲〈漢字ペディア〉
F0064,1,馬陸,やすで,,ヤスデ目の節足動物の総称。陰湿地にすむ。体はムカデに似る。触れるとまるくなり、臭気を放つ。ゼニムシ。エンザムシ。オサムシ。〈漢字ペディア〉
F0065,1,海驢,あしか,,アシカ科の哺乳（ホニュウ）動物の総称。太平洋に広く分布。足はひれ状で、オットセイに似る。一夫多妻で群れをなしてすむ。＝葦鹿、海馬〈漢字ペディア〉
F0066,1,翌檜,あすなろ,,ヒノキ科の常緑高木。日本特産で、山地に自生。葉はヒノキに似るが、やや大きくうろこ状に重なる。材は建築や家具などに利用。ヒバ。アテ。＝羅漢柏〈漢字ペディア〉
F0067,1,玉筋魚,いかなご,,イカナゴ科の海魚。浅海にすむ。体長は約二〇（センチメートル）で、細長く、銀白色。幼魚はつくだ煮にする。コウナゴ。＝梭魚子〈漢字ペディア〉
F0068,1,鶏魚,いさき,いさぎ,イサキ科の海魚。本州中部以南の沿岸に分布。全体に暗緑褐色で、幼魚は黄褐色の縦線が三本ある。釣り魚として人気があり、夏に美味。＝伊佐木〈漢字ペディア〉
F0069,1,虎杖,いたどり,,タデ科の多年草。山野に自生。葉は先のとがった卵形。若芽は酸味があり、食用になる。スカンポ。〈漢字ペディア〉
F0070,1,映日果,いちじく,,クワ科の落葉小高木。＝無花果〈漢字ペディア〉
F0071,1,鴨脚樹,いちょう,,イチョウ科の落葉高木。＝公孫樹、銀杏〈漢字ペディア〉
F0072,1,豆娘,いととんぼ,,イトトンボ科のトンボの総称。＝糸蜻蛉〈漢字ペディア〉
F0073,1,嘉魚,いわな,,サケ科の淡水魚。＝岩魚、鮇〈漢字ペディア〉
F0074,1,蠎蛇,うわばみ,,"#＝蠎
1.巨大なヘビの俗称。大蛇。おろち。
2.大蛇は物を多量にのみこむことから、大酒飲みのたとえ。〈漢字ペディア〉"
F0075,1,車前草,おおばこ,,オオバコ科の多年草。道端に自生。葉は大きな卵形で根生する。夏、白い小花を穂状につける。葉と種子は薬用。カエルバ。＝車前、大葉子〈漢字ペディア〉
F0076,1,沢瀉,おもだか,,オモダカ科の多年草。水田や池沼に自生。葉はやじり形で長い柄がある。夏、白色の三弁花をつける。塊茎は薬用。ハナグワイ。＝面高〈漢字ペディア〉
F0077,1,梅花皮,かいらぎ,,"#＝鰄
1.ウメの花形の粒状の突起がある魚の皮。刀の柄（つか）や鞘（さや）の装飾用。
2.表面が①のような陶磁器。〈漢字ペディア〉"
F0078,1,杜若,かきつばた,,アヤメ科の多年草。湿地に自生。アヤメに似るが、葉は幅広く脈は目立たない。初夏、濃紫色の美しい花をつける。カオヨバナ。＝燕子花〈漢字ペディア〉
F0079,1,飛白,かすり,,かすったような模様をところどころに入れた織物や染物。また、その模様。＝絣、綛、纃〈漢字ペディア〉
F0080,1,酢漿草,かたばみ,,カタバミ科の多年草。道端に自生。葉はハートを三個合わせたような複葉。春から秋、黄色の花が咲く。＝鳩酸草、酸漿草〈漢字ペディア〉
F0081,1,金糸雀,かなりあ,,アトリ科の小鳥。大西洋カナリア諸島原産。ふつう黄色で、姿・声とも美しい。観賞用に飼育。＝時戻雀〈漢字ペディア〉
F0082,1,椿象,かめむし,,カメムシ科の昆虫の総称。体は平たく、カメの甲に似る。触ると悪臭を放つ。農作物の害虫。クサガメ。ヘッピリムシ。＝亀虫〈漢字ペディア〉
F0083,1,縹緻,きりょう,,顔だち。みめ。容姿。＝器量〈漢字ペディア〉
F0084,1,水鶏,くいな,,クイナ科の鳥の総称。世界中に分布。日本にはヒクイナ・ヒメクイナ・ヤンバルクイナなどがいる。鳴き声を古来詩歌に「たたく」と形容されたのはヒクイナ。＝秧鶏〈漢字ペディア〉
F0085,1,罌粟,けし,,ケシ科の二年草。＝芥子、罌子粟〈漢字ペディア〉
F0086,1,螻蛄,けら,,ケラ科の昆虫。地中にすむ。体長は三（センチメートル）ほどで、黒褐色。前あしは大きく、土を掘るのに適す。おけら。「ジー」と鳴く。＝螻〈漢字ペディア〉
F0087,1,二合半,こなから,,半分の半分。四分の一。また、特に一升の四分の一、二合五勺（シャク）をいう。＝小半〈漢字ペディア〉
F0088,1,辛夷,こぶし,,モクレン科の落葉高木。山野に自生。早春、葉より先に芳香のある大きな白色の六弁花が咲く。ヤマアララギ。＝拳〈漢字ペディア〉
F0089,1,皁莢,さいかち,,"1.マメ科の落葉高木。山野に自生。幹や枝にとげがある。夏、黄緑色の小花を穂状につけ、少しねじれたさやを結ぶ。豆果はせっけんの代用とした。
2.「皁莢虫」の略。①の樹液を好むことから、カブトムシの別称。〈漢字ペディア〉"
F0090,1,拳螺,さざえ,,リュウテンサザエ科の巻貝。＝栄螺、蠑螺〈漢字ペディア〉
F0091,1,朱欒,ざぼん,,ミカン科の常緑小高木。インドシナ半島原産。暖地で栽培。果皮は黄色で厚く、砂糖漬けにする。食用。ボンタン。ブンタン。ザンボア。＝香欒〈漢字ペディア〉
F0092,1,細魚,さより,,サヨリ科の海魚。近海にすむ。体は細長く青緑色で、下あごが長く突き出ている。肉は淡泊で美味。＝針魚〈漢字ペディア〉
F0093,1,香蕈,しいたけ,,シメジ科のキノコ。＝椎茸〈漢字ペディア〉
F0094,1,蝦蛄,しゃこ,,シャコ科の甲殻類。浅い海の底に穴を掘ってすむ。形はエビに似る。食用。＝青竜蝦〈漢字ペディア〉
F0095,1,生絹,すずし,,練らないままの生糸で織った布。薄くて軽く、夏の衣服に用いる。⇔練絹（ねりぎぬ）〈漢字ペディア〉
F0096,1,掏摸,すり,,人ごみなどで人が身につけている金品を、本人に気づかれずに抜き取ること。また、その者。巾着（キンチャク）切り。＝掏児〈漢字ペディア〉
F0097,1,大口魚,たら,,タラ科の海魚の総称。＝鱈〈漢字ペディア〉
F0098,1,縮緬,ちりめん,,絹織物の一種。縦糸によりのない生糸、横糸によりの強い生糸を使い平織りにした後、ソーダをまぜたせっけん液で煮沸し縮ませたもの。〈漢字ペディア〉
F0099,1,天蚕糸,てぐす,てぐすいと,テグスサンの幼虫の分泌物で作った透明な糸。多く、釣り糸に用いる。〈漢字ペディア〉
F0100,1,蕃椒,とうがらし,,ナス科の一年草。＝唐辛子、唐芥子〈漢字ペディア〉
F0101,1,木賊,とくさ,,トクサ科の多年草。山中の湿地に自生。茎は円柱形で直立し、縦に多数のみぞがありざらつく。夏、ツクシに似た胞子穂（ホウシスイ）をつける。物をみがくのに用いる。＝砥草〈漢字ペディア〉
F0102,1,瓊脂,ところてん,,海藻のテングサを煮て型に流しこんだ食品。酢醬油（すジョウユ）などで食べる。＝心太〈漢字ペディア〉
F0103,1,合歓,ねむ,"ねぶ
ねむのき",マメ科の落葉高木。山野に自生。葉は羽状複葉。夏、枝先に頭花をつけ、紅色の雄しべが美しい。ネム。ネブ。＝合歓木〈漢字ペディア〉
F0104,1,黄櫨,はぜ,"はじ
はぜのき",ウルシ科の落葉高木。暖地に自生。初夏、黄緑色の花を多数つけ、楕円（ダエン）形の実を結ぶ。実から（ロウ）をとる。紅葉が美しい。ハゼ。リュウキュウハゼ。〈漢字ペディア〉
F0105,1,鹿尾菜,ひじき,,褐藻類ホンダワラ科の海藻。各地の沿岸の岩上に付着して生育。茎状部は円柱形で、羽状に枝分かれしている。乾燥させて食用とする。＝鹿角菜、羊栖菜〈漢字ペディア〉
F0106,1,告天子,ひばり,,ヒバリ科の小鳥。＝雲雀、叫天子、叫天雀〈漢字ペディア〉
F0107,1,金翅雀,ひわ,,アトリ科の小鳥の総称。＝鶸〈漢字ペディア〉
F0108,1,孑孒,ぼうふら,ぼうふり,カの幼虫。水たまりにすむ。体長は約五（ミリメートル）。棒状でくねくねと動きながら上下する。ぼうふり。＝孑孑、棒振〈漢字ペディア〉
F0109,1,鬼灯,ほおずき,,ナス科の多年草。＝酸漿〈漢字ペディア〉
F0110,1,海鞘,ほや,,ホヤ類の原索（ゲンサク）動物の総称。海中の岩などに固着。赤茶色の厚い皮でおおわれ、食用になるものもある。＝老海鼠〈漢字ペディア〉
F0111,1,驀地,まっしぐら,,勢いよく目的に向かって進むさま。〈漢字ペディア〉
F0112,1,鷦鷯,みそさざい,,ミソサザイ科の小鳥。渓流沿いにすむ。日本の鳥の中で最小で、全長約七（センチメートル）。全体に濃い茶色。短い尾を立てて飛び、クモなどを捕食。＝溝三歳、巧婦鳥〈漢字ペディア〉
F0113,1,木菟,みみずく,ずく,フクロウ科の鳥のうち、頭に耳状の羽毛をもつものの総称。ふつう、オオコノハズクを指す。夜間活動し、小動物を捕食。ツクトリ。＝角鴟〈漢字ペディア〉
F0114,1,水蠆,やご,やまめ,トンボ類の幼虫。田や池などにすみ、小動物を捕食。羽化まで一～三年かかる。〈漢字ペディア〉
F0115,1,赤楝蛇,やまかがし,,ヤマカガシ科のヘビ。水辺や水田の周辺に多くすむ。背は褐色に黒斑（コクハン）が散在し、側面には紅色の斑点がある。有毒。＝山楝蛇〈漢字ペディア〉
F0116,1,虎耳草,ゆきのした,,ユキノシタ科の多年草。湿地に自生。全体に細毛があり、葉は厚く腎臓形。初夏、白色の五弁花をつける。葉は腫物（はれもの）や火傷（やけど）などの民間薬となる。＝雪の下〈漢字ペディア〉
F0117,1,羊駝,らま,,ラクダ科の哺乳（ホニュウ）動物。南米のアンデス山地で家畜として飼育。背にこぶはなく、体高は一・二（メートル）ほど。荷物の運搬に用いる。肉は食用。アメリカラクダ。リャマ。〈漢字ペディア〉
F0118,1,檸檬,れもん,,ミカン科の常緑低木。インド原産。果実は楕円（ダエン）形で、緑色から淡黄色に熟す。香りが高く、酸味が強い。果汁はビタミンＣなどに富む。〈漢字ペディア〉
F0119,1,公魚,わかさぎ,,キュウリウオ科の淡水魚。全長約一五（センチメートル）。背は淡青色で、腹は銀白色。結氷した湖での穴釣りは有名。食用。＝若鷺、鰙〈漢字ペディア〉
F0120,1,華盛頓,わしんとん,,アメリカ合衆国の首都。州に入らず、コロンビア特別区をつくる。国会議事堂・ホワイトハウスなどがある。＝華府〈漢字ペディア〉
F0121,1,白地,あからさま,,隠さずありのまま。はっきり。おおっぴら。〈漢字ペディア〉
F0122,1,牽牛花,あさがお,,ヒルガオ科のつる性一年草。＝朝顔〈漢字ペディア〉
F0123,1,海豹,あざらし,,アザラシ科の哺乳（ホニュウ）動物の総称。寒帯の海にすむ。足はひれ状で、オットセイに似る。皮と脂肪を利用。＝水豹〈漢字ペディア〉
F0124,1,蛤仔,あさり,,マルスダレガイ科の二枚貝。＝浅蜊〈漢字ペディア〉
F0125,1,八仙花,あじさい,,ユキノシタ科の落葉低木。＝紫陽花〈漢字ペディア〉
F0126,1,四阿,あずまや,,四方の柱と屋根だけで壁のない小屋。庭園などの休憩所。＝亭（チン）、東屋〈漢字ペディア〉
F0127,1,牛膝,いのこずち,,ヒユ科の多年草。山野に自生。夏から秋、緑色の花穂をつける。実は人の衣服や動物の毛にくっつく。漢方では根を利尿や強精薬にする。〈漢字ペディア〉
F0128,1,洋墨,いんく,いんき,文字を書いたり印刷したりするときに用いる色のついた液体。インキ。〈漢字ペディア〉
F0129,1,泛子,うき,,"#＝浮子
1.釣り糸につけて水面にうかべ、魚がかかったことを知る目印。
2.魚網につけて浮かせ、網の場所を知るためのもの。〈漢字ペディア〉"
F0130,1,海胆,うに,,ウニ類の棘皮（キョクヒ）動物の総称。海底の岩の間にすみ、クリ（栗）のいがのようなとげをもつ。卵巣は食用。＝海栗〈漢字ペディア〉
F0131,1,海鷂魚,えい,,エイ目の軟骨魚の総称。体はひし形で平たく、長い尾をもつ。＝鱏〈漢字ペディア〉
F0132,1,埃及,えじぷと,,アフリカ北東部の共和国。古代エジプト文明発祥の地で、ピラミッドやスフィンクスなどの遺跡が多い。首都はカイロ。〈漢字ペディア〉
F0133,1,狗母魚,えそ,,エソ科の海魚の総称。ふつうエソを指す。南日本の浅海に分布。体は細長く、鋭い歯がある。背面は黄褐色。上等なかまぼこの原料。＝鱛〈漢字ペディア〉
F0134,1,金雀児,えにしだ,,マメ科の落葉低木。ヨーロッパ原産。枝は緑色でしだれる。初夏、黄色の蝶（チョウ）形花を多数つける。＝金雀枝〈漢字ペディア〉
F0135,1,雪花菜,おから,きらず,豆腐を作るときのしぼりかす。うのはな。〈漢字ペディア〉
F0136,1,蝌蚪,おたまじゃくし,,カエルの幼生。卵からかえってカエルになるまでの間。足はなく、尾だけで泳ぐ。＝御玉杓子〈漢字ペディア〉
F0137,1,自鳴琴,おるごーる,,ぜんまい仕掛けで、自動的に一定の旋律を繰り返し奏（かな）でる装置。〈漢字ペディア〉
F0138,1,水手,かこ,,船を操る人。船乗り。＝水夫〈漢字ペディア〉
F0139,1,型録,かたろぐ,,商品などの目録や説明書。〈漢字ペディア〉
F0140,1,松魚,かつお,,サバ科の海魚。＝鰹、堅魚〈漢字ペディア〉
F0141,1,蛇舅母,かなへび,,カナヘビ科のトカゲ。日本特産で、草地にすむ。尾が長く全体に灰褐色。動きが素早く、昆虫などを捕食。カナチョロ。＝金蛇〈漢字ペディア〉
F0142,1,連枷,からざお,からさお,イネ・麦・豆類を脱穀する農具。長い柄の先につけた打ち棒を回転させながら、打ち下ろして殻を取る。＝殻竿〈漢字ペディア〉
F0143,1,鱲子,からすみ,,ボラやサワラなどの卵巣を塩漬けにして圧搾・乾燥させた食品。＝鱲〈漢字ペディア〉
F0144,1,枸橘,からたち,からたちばな,からたち…ミカン科の落葉低木。＝枳殻、枳〈漢字ペディア〉
F0145,1,魚狗,かわせみ,,カワセミ科の鳥。＝翡翠、魚虎、水狗、川蟬〈漢字ペディア〉
F0146,1,長尾驢,かんがるー,,カンガルー科の獣。〈当て字･難読語の辞典〉＝袋鼠
F0147,1,肌理,きめ,,"1.皮膚や物の表面の細かいあや。
2.心くばりの行き届く度合。
3.もくめ。〈漢字ペディア〉"
F0148,1,山梔子,くちなし,,アカネ科の常緑低木。＝梔子、卮子、梔〈漢字ペディア〉
F0149,1,海月,くらげ,,腔腸（コウチョウ）動物のうち浮遊生活をするものの一群の総称。＝水母、海舌〈漢字ペディア〉
F0150,1,蚰蜒,げじげじ,げじ,ゲジ目の節足動物の総称。暗い湿った所にすむ。ムカデに似るが、あしが長く、とれやすい。家屋内の小さな害虫を捕食する益虫。ゲジゲジ。〈漢字ペディア〉
F0151,1,沙蚕,ごかい,,ゴカイ科の環形動物。河口付近の泥底にすむ。体はムカデに似る。釣りのえさにする。〈漢字ペディア〉
F0152,1,秋桜,こすもす,,キク科の一年草。メキシコ原産。葉は細かく羽状に裂ける。秋、白・淡紅・深紅などの頭花をつける。観賞用。〈漢字ペディア〉
F0153,1,月代,さかやき,,"#＝月額
1.平安時代、成人男子が冠の当たる額ぎわの頭髪を半月形にそり落としたこと。また、その部分。つきしろ。
2.江戸時代、成人男子が額から頭の中央にかけて髪をそり落としたこと。また、その部分。〈漢字ペディア〉"
F0154,1,栄螺,さざえ,,リュウテンサザエ科の巻貝。日本近海の岩礁にすむ。こぶし状で、太いとげのような突起をもつものが多い。食用。＝拳螺、蠑螺〈漢字ペディア〉
F0155,1,大角豆,ささげ,ささぎ,マメ科の一年草。中央アフリカ原産。夏、淡紫色の蝶（チョウ）形の花が咲き、長いさやをつける。種子と若いさやは食用。〈漢字ペディア〉
F0156,1,青花魚,さば,,サバ科の海魚。＝青魚、鯖〈漢字ペディア〉
F0157,1,蝲蛄,ざりがに,,ザリガニ科のエビ。日本特産で、北海道や東北の川や沼にすみ、一対の大きなはさみをもつ。エビガニ。〈漢字ペディア〉
F0158,1,紫薇,さるすべり,,ミソハギ科の落葉高木。＝百日紅、猿滑、怕痒樹〈漢字ペディア〉
F0159,1,胡孫眼,さるのこしかけ,,サルノコシカケ科のキノコの総称。木の幹に水平に寄生する。半円形で、乾くと非常にかたい。細工用・薬用。＝猿の腰掛〈漢字ペディア〉
F0160,1,鬼頭魚,しいら,,シイラ科の海魚。暖海に分布。体長は二（メートル）近くになる。体は青緑色で黒く小さな斑点（ハンテン）があり、大きな背びれをもつ。夏に美味。＝勒魚〈漢字ペディア〉
F0161,1,望潮,しおまねき,,スナガニ科のカニ。有明海に多くすむ。雄のはさみは片方がきわめて大きい。砕いて塩辛にする。＝潮招き〈漢字ペディア〉
F0162,1,羊歯,しだ,,シダ植物の総称。正月の飾りに用いるウラジロを指すことが多い。シノブ・ワラビ・ゼンマイなどを含め、世界に約一万種。＝歯朶〈漢字ペディア〉
F0163,1,雪特尼,しどにー,,オーストラリア南東部の港湾都市。ニューサウスウェールズ州の州都で、同国最大の商工業都市。羊毛・小麦・石炭などを輸出。世界三大美港の一。〈大辞林〉
F0164,1,紙魚,しみ,,シミ科の昆虫の総称。＝衣魚、蠹魚〈漢字ペディア〉
F0165,1,青竜蝦,しゃこ,,シャコ科の甲殻類。＝蝦蛄〈漢字ペディア〉
F0166,1,耶悉茗,じゃすみん,,モクセイ科ソケイ属の植物の総称。＝素馨〈漢字ペディア〉
F0167,1,軍鶏,しゃも,,ニワトリの一種。くちばしが鋭く、首が長い。あしは太く大きな蹴爪（けづめ）をもつ。闘鶏（トウケイ）用。食用にもする。〈漢字ペディア〉
F0168,1,三鞭酒,しゃんぱん,しゃんぺん,炭酸の入った白ブドウ酒。祝い事などに飲む。シャンペン。〈漢字ペディア〉
