ID,難易度,問題,解答,意味
B0014,1,【首縊】りの足を引く,くびくく,"関連熟語：縊死（イシ）
▼首縊りの足(ｱｼ)を引(ﾋ)く…窮地に陥っている人に、さらに追い討ちをかけること。首をつろうとする人を助けるどころか、逆に足を引っ張って死なせてしまう意から。〈漢字ペディア〉"
B0015,1,【醜】の益荒男なお恋いにけり,しこ,"関連熟語：--
★醜（しこ）
1.みにくいものをののしっていう語。
2.自分を卑下するときに用いる語。〈漢字ペディア〉"
B0016,1,【縦】に心を自然の中に遊ばせる,ほしいまま,"関連熟語：放縦（ホウショウ）
★縦（ほしいまま）
気の向くまま。かって気ままにすること。〈漢字ペディア〉"
B0017,1,【縦】んば雨でも心配はない,よし,"関連熟語：--
★縦んば（よし-んば）
たとえそうだとしても。かりに。〈漢字ペディア〉"
B0018,1,【熟】み柿が熟柿を弔う,う,"関連熟語：未熟（ミジュク）
★熟み柿（う-み-がき）
熟した柿の実。
▼熟み柿が熟柿(ｼﾞｭｸｼ)を弔(ﾄﾑﾗ)う…似た境遇のものが相手の身の不幸を慰めることのたとえ。〈日本国語大辞典〉"
B0019,1,【出涸】らしのお茶を飲む,でが,"関連熟語：--
★出涸らし（でが-らし）
茶などを何回も入れたり煎じたりして、味や香りが薄くなってしまうこと。また、そのもの。〈漢字ペディア〉"
B0020,1,【樟】は虫害に強く建築家具材に用いる,"くすのき
くす","関連熟語：樟脳（ショウノウ）
★樟／楠（くすのき）クスノキ科の常緑高木。暖地に自生。初夏、黄白色の小花を多数つけ、球形で黒色の実を結ぶ。材は堅く芳香があり、家具・細工物とするほか、幹・根・葉からは樟脳をとる。〈漢字ペディア〉"
B0021,1,【蒸】かしたての甘藷を二本やった,ふ,"関連熟語：--
★蒸かす（ふ-かす）
湯気を当てて柔らかくする。〈漢字ペディア〉"
B0022,1,【尻紮】げして一散に逃げた,しりから,"関連熟語：--
★尻紮げ／尻絡げ（しりから-げ）
着物の裾を外側に折り上げて、その端を帯にはさむこと。しりっぱしょり。〈漢字ペディア〉"
B0023,1,【辛酉】の年に皇位に即く,かのととり,"関連熟語：辛酉（シンユウ）
★十干十二支。"
B0024,1,【壬戌】の年血腥い事件が続発した,みずのえいぬ,"関連熟語：壬戌（ジンジュツ）
★十干十二支。"
B0025,1,【甚】く感服された御様子である,いた,"関連熟語：甚大（ジンダイ）
★甚く（いた-く）
たいそう。非常に。ひどく。ふかく。〈漢字ペディア〉"
B0026,1,【尽】れた晩秋の野に佇む,すが,"関連熟語：--
★尽れる／末枯れる（すが-れる）
盛りを過ぎて勢いが衰え始める。〈漢字ペディア〉"
B0027,1,【雛霰】を買ってきた,ひなあられ,"関連熟語：鳳雛（ホウスウ）・雹霰（ハクセン／ハクサン）
★雛霰（ひなあられ）
三月三日の桃の節句に、ひな人形に供える紅白のあられ。〈漢字ペディア〉"
B0028,1,【裾捌】きの音とともに家元が現れる,すそさば,"関連熟語：--
★裾捌き（すそさば-き）
和服をはじめ丈の長い衣服のすそを上手に扱うこと。また、その身のこなし。〈漢字ペディア〉"
B0029,1,【節榑】を使って小屋を作る,ふしくれ,"関連熟語：--
★節榑（ふしくれ）
1.材木に節が多く、でこぼこしている。
2.腕や指の骨や関節が、堅く盛り上がってごつごつしている。〈漢字ペディア〉"
B0030,1,【岨道】を足にまかせて追っかける,"そばみち
そわみち","関連熟語：--
★岨道（そばみち／そわみち）
切り立った山のけわしい道。〈漢字ペディア〉"
B0031,1,【燥】ぎすぎの気味がある,はしゃ,"関連熟語：--
★燥ぐ（はしゃ-ぐ）
1.調子にのってさわぐ。うかれさわぐ。
2.水分がなくなり、乾燥しきる。〈漢字ペディア〉"
B0032,1,【陳】ねて後矯めんとすれば枝折れ枯れ凋む,ひ,"関連熟語：--
★陳ねる（ひ-ねる）
1.古くなる。年を経て古びる。
2.大人びる。ませる。〈漢字ペディア〉"
B0033,1,【椴松】の自生状態を調査する,とどまつ,"関連熟語：--
★椴松（とどまつ）
マツ科の常緑高木。北海道以北に自生。松かさは直立してつく。材は建築・家具・製紙原料などに用いる。〈漢字ペディア〉"
B0034,1,【熱】り立って不満をぶつけた,いき,"関連熟語：--
★熱る立つ（いき-り-た-つ）
激しく怒って興奮する。いきまく。〈漢字ペディア〉"
B0035,1,【戊午】の年に居を隣国に移した,つちのえうま,"関連熟語：戊午（ボゴ）
★十干十二支。"
B0036,1,【偖】夕餉は何にいたしましょうか,さて,"関連熟語：--
★偖／扠／扨
1.話題を変えるときに用いる語。ところで。
2.何かを始めるときに用いる語。さあ。〈漢字ペディア〉"
B0037,1,【刳】り貫きの菓子皿に盛る,く,"関連熟語：刳木（コボク）
★刳り貫き／刳り抜き（く-り-ぬ-き）
1.くりぬくこと。えぐって穴をあけること。また、くりぬいたところや、くりぬいてつくったもの。
2.船具の一つ。船が停泊しているときに使う替水縄(ｶｴﾐﾅﾜ)。〈日本国語大辞典〉"
B0038,1,【嗄】れた声でゆっくり語った,"か
しわが","関連熟語：嗄声（サセイ）
★嗄れる（か-れる）
声がかすれる。声がしわがれる。〈漢字ペディア〉
★嗄れる（しわが-れる）
声がかすれる。しゃがれる。〈漢字ペディア〉"
B0039,1,【嘸】大変であったろう,さぞ,"関連熟語：--
★嘸（さぞ）
さだめし。きっと。さぞかし。〈漢字ペディア〉"
B0040,1,【嚔】る時は則ち人の我を道う,はなひ,"関連熟語：噴嚔（フンテイ）
★嚔る（はなひ-る）
くしゃみをする。〈漢字ペディア〉"
B0041,1,【埃】がたちこめている,ほこり,"関連熟語：塵埃（ジンアイ）
★埃（ほこり）
空中を舞う細かいちり。〈漢字ペディア〉"
B0042,1,【悴】む手を擦り合わせる,かじか,"関連熟語：--
★悴む（かじか-む）
手足が寒さでこごえて、思うように動かなくなる。〈漢字ペディア〉"
B0043,1,【憖】情けをかけるのは良くない,"なまじ
なまじい","関連熟語：--
★憖（なまじ／なまじい）
1.中途半端なさま。
2.できもしないのに。無理に。しないほうがかえってよいさま。なまじっか。〈漢字ペディア〉"
B0044,1,【撓垂】るる柳はほそき目もとかな,しなだ,"関連熟語：枉撓（オウドウ）
★撓垂れる（しなだ-れる）
1.人にこびたり甘えたりして寄りかかる。しなだれかかる。
2.枝などがしなって垂れ下がる。〈漢字ペディア〉"
B0045,1,【暈】のかかった春の夜の月を眺める,かさ,"関連熟語：日暈（ニチウン）
★暈（かさ）
太陽や月の周りに現れる光の輪。ウン。≒光環〈漢字ペディア〉"
B0046,1,【朮】を焚く匂いが漂ってくる,"おけら
うけら","関連熟語：白朮（ビャクジュツ）
★朮／蒼朮／白朮（おけら／うけら）
キク科の多年草。山地に自生。夏から秋、白や淡紅色の頭花をつける。若芽は食用、根は薬用。〈漢字ペディア〉"
B0047,1,【楮】の繊維は紙の原料となる,こうぞ,"関連熟語：楮紙（チョシ）
★楮（こうぞ）
クワ科の落葉低木。山野に自生。葉・実ともにクワに似る。樹皮から和紙の原料をとる。カゾ。〈漢字ペディア〉"
B0048,1,【榻】の端書きも九十九夜を迎えた,しじ,"関連熟語：--
★榻（しじ）
牛車からウシを外したとき、轅(ﾅｶﾞｴ)の軛(ｸﾋﾞｷ)の支えや、乗り降りの踏み台にした台。〈漢字ペディア〉
▼榻の端書(ﾊｼｶﾞ／ﾂﾏｶﾞ)き…昔、女が、言い寄る男の誠意を確かめるために、百夜通って榻に寝たら会おうといったので、男は九九夜まで毎夜来て、榻の端に証拠を書きつけておいたが、百夜めに支障があって行くことができず、思いを遂げえなかった、という伝説。男の恋の熱烈さ、また、恋愛の思うようにならないことのたとえとされる。〈日本国語大辞典〉"
B0049,1,【榧】の木に観世音菩薩を彫る,かや,"関連熟語：榧檜（ヒカイ）
★榧（かや）
イチイ科の常緑高木。山野に自生。葉は平たい線形で、先がとがる。種子は油の原料、また食用・薬用とする。材は高級な碁盤や将棋盤の材料に用いる。〈漢字ペディア〉
★「茅／萱(ｶﾔ)」とは同訓異義語。"
B0050,1,【櫂】は三年櫓は三月,かい,"関連熟語：櫂歌（トウカ）
▼櫂は三年(ｻﾝﾈﾝ)櫓(ﾛ)は三月(ﾐﾂｷ)…何事も一人前になるのは容易でないたとえ。櫓は三月で使えるようになるが、櫂(ｶｲ:水をかき、舟を進ませる木製の棒。オール。)を使いこなすまでには三年かかるという意から。〈漢字ペディア〉"
B0051,1,【毬栗】も内から割れる,いがぐり,"関連熟語：--
▼毬栗も内(ｳﾁ)から割(ﾜ)れる…だれでも年ごろになれば、自然と色気づくことのたとえ。特に女性についていう。毬栗も時期がくれば自然と内側からはじけ割れる意から。〈漢字ペディア〉"
B0052,1,【澪筋】を伝って舟を進めた,みおすじ,"関連熟語：澪標（レイヒョウ）
★澪筋／水脈筋（みおすじ）
船の通行する水路の通り。みおどおり。〈日本国語大辞典〉"
B0053,1,【甍】破れて霧不断の香を焚く,いらか,"関連熟語：連甍（レンボウ）
▼甍破(ﾔﾌﾞ)れて霧(ｷﾘ)不断(ﾌﾀﾞﾝ)の香(ｺｳ)を焚(ﾀ)く…屋根がこわれてそこから霧が入り、あたかも香をたいた煙がたえず立ちこめているようである。隠棲した人間の住み家としてふさわしいさま。〈故事俗信ことわざ大辞典〉"
B0054,1,【甕】に一房の藤をさす,"かめ
もたい
みか","関連熟語：甕天（オウテン）
★甕／瓮（かめ／もたい）
水や酒などを入れる大きな器。〈漢字ペディア〉
★甕（みか）
大きなかめ。水や酒をたくわえたり、酒を醸したりするのに用いた。もたい。みかわ。〈日本国語大辞典〉●H05-2㈠"
B0055,1,【疚】しいところがあるらしい,やま,"関連熟語：内疚（ナイキュウ）
★疚しい（やま-しい）
良心に恥じるところがあり、うしろめたい。気がとがめる。〈漢字ペディア〉"
B0056,1,【痞】えに悩む上臈を思わせる,つか,"関連熟語：痞塞（ヒソク）
★痞え（つか-え）
胸や心などがつまるようで苦しいこと。〈漢字ペディア〉"
B0057,1,【瘧】が落ちたように呼び鈴に応じた,おこり,"関連熟語：瘧疾（ギャクシツ）
▼瘧が落ちる…瘧(ｵｺﾘ:マラリア性の熱病)にかかったように物事に夢中になっていたのが、何かのはずみで急にさめる。〈故事俗信ことわざ大辞典〉"
B0058,1,【癸亥】の歳に上洛した,みずのとい,"関連熟語：癸亥（キガイ）
★十干十二支。"
B0059,1,【睨】むように天を見上げた,にら,"関連熟語：睨視（ゲイシ）
★睨む（にら-む）
1.鋭い目つきでじっと見つめる。下からや横目でにらみつける。
2.監視する。〈漢字ペディア〉"
B0060,1,【礑】と思い当たった,"はた
はった","関連熟語：--
★礑と（はた-と／はった-と）
1.強く打つようす。
2.険しくにらむさま。
3.胸にこたえたさま。〈漢字ペディア〉"
B0061,1,【笊】で水を汲む,ざる,"関連熟語：笊籬（ソウリ）
★笊（ざる）
1.細く裂いた竹ひごなどで編んだ器。
2.「笊碁(ざるゴ)」の略。
2.「笊蕎麦(ざるそば)」の略。
4.編んだ目からこぼれることから、抜けや落ちの多いたとえ。〈漢字ペディア〉"
B0062,1,【筬】の音が響く山村を訪れた,おさ,"関連熟語：--
★筬（おさ）
機(はた)織りの道具。縦糸の位置をととのえるもの。〈漢字ペディア〉"
B0063,1,【箙】に梅枝を指した風流を見とがめる,えびら,"関連熟語：箭箙（センプク）
★箙（えびら）
矢を入れて携帯する武具。ふつう背負う。〈漢字ペディア〉"
B0064,1,【篝火】であたりを照らす,かがりび,"関連熟語：篝火（コウカ）
★篝火（かがりび）
夜間の警備や漁猟に照明としてたく火。かがり。〈漢字ペディア〉"
B0065,1,【篩】った黄粉を餅に付ける,ふる,"関連熟語：--
★篩う（ふる-う）
1.ふるいに掛けてより分ける。
2.選抜する。〈漢字ペディア〉"
B0066,1,【籬】に耳、壁の話する世の中,"まがき
ませがき","関連熟語：藩籬（ハンリ）
★籬（まがき）
竹や柴(しば)などで、目をあらく編んで作った垣。ませがき。ませ。〈漢字ペディア〉"
B0067,1,【粳】を常食の米とする,"うるち
うる","関連熟語：粳稲（コウトウ）
★粳（うるち）
粘り気の少ない、ふつうに炊いて食べる米。うるちの米。うるちまい。うるしね。〈漢字ペディア〉"
B0068,1,【蓼酢】でもいけぬ奴,"たです
たでず","関連熟語：--
★蓼酢（たです）
1.タデの葉をすって酢ですりのばした調味料。夏、アユなどの塩焼きに用いる。
2.濃茶(ｺｲﾁｬ)。色が似ているところから。〈日本国語大辞典〉
▼蓼酢でもいけぬ奴(ﾔﾂ)…鮎の塩焼きなどに用いる蓼酢をかけても食えないやつ。どうにも扱いに困る人。煮ても焼いても食えないやつ。〈故事俗信ことわざ大辞典〉"
B0069,1,【薺】花咲く垣根かな,なずな,"関連熟語：荼薺（トセイ）
★薺（なずな）
アブラナ科の二年草。道端に自生。春、白い小さな四弁花をつけ、三味線のばちのような形の実を結ぶ。春の七草の一つ。ペンペングサ。〈漢字ペディア〉"
B0070,1,【薺粥】を啜り邪気をはらう,なずながゆ,"関連熟語：荼薺（トセイ）・麋粥（ビシュク）
★薺粥（なずながゆ）
陰暦正月七日に食べる、薺などの春の七草を刻み入れた粥。〈日本国語大辞典〉"
B0071,1,【蝗】の大群が発生した,いなご,"関連熟語：蝗害（コウガイ）
★蝗／螽／稲子（いなご）
イナゴ科の昆虫の総称。緑色の体に淡褐色のはねをもつ。イネの害虫。食用になる。〈漢字ペディア〉"
B0072,1,【衵】姿の童女が現れた,あこめ,"関連熟語：--
★衵（あこめ）
昔、宮廷に仕える男女が用いた丈の短い中着。〈漢字ペディア〉"
B0073,1,【褻】にも晴れにも歌一首,け,"関連熟語：--
▼褻にも晴れにも歌一首(ｳﾀｲｯｼｭ)…ふだん（褻）でも晴れの席の時でも同じ歌一首しかよめない。芸の少ないこと、無能無芸であることのたとえ。〈故事俗信ことわざ大辞典〉"
B0074,1,【謗】れば影指す,そし,"関連熟語：誹謗（ヒボウ）
▼謗れば影(ｶｹﾞ)さす…人の悪口を言っていると、そこに当人がやって来るものだということ。〈漢字ペディア〉"
B0075,1,【貂】なき森の鼬,てん,"関連熟語：貂裘（チョウキュウ）
▼貂なき森(ﾓﾘ)の鼬(ｲﾀﾁ)…権力者がいない所では、つまらない人間が幅をきかせるたとえ。テンのいない森では、イタチが身勝手な振る舞いをする意から。〈漢字ペディア〉"
B0076,1,【踝】を強く打った,"くるぶし
かかと
くびす","関連熟語：--
★踝（くるぶし）
足首の内･外両側にある骨の突起。くろぶし。つぶぶし。つぶなぎ。〈漢字ペディア〉"
B0077,1,【踵】を接して来る,"くびす
きびす","関連熟語：旋踵（センショウ）
★踵（くびす／きびす）
足の裏の後ろの部分。かかと。〈漢字ペディア〉
▼踵を接(ｾｯ)す…隙間なく並んだり続いたりしていることのたとえ。人々が次々と　来たり、物事が、次々に起こってくる。〈日本国語大辞典〉"
B0078,1,【躪】り書きの置き手紙を読んだ,にじ,"関連熟語：--
★躪り書き（にじ-り-が-き）
筆で紙を押えつけてにじるようにして拙劣な文字を書くこと。また、その書いたもの。〈漢字ペディア〉"
B0079,1,【轅】を北にして楚にゆく,ながえ,"関連熟語：轅下（エンカ）
★轅（ながえ）
牛車(ｷﾞｯｼｬ)などの前に、長くさし出した二本の棒。その先に軛(ｸﾋﾞｷ:ウシやウマの首にあてる横木)を渡してウシなどに車を引かせた。〈漢字ペディア〉"
B0080,1,【遉】に横綱の相撲は見応えがあった,さすが,"関連熟語：--
★遉／流石（さすが）
1.予想や評判どおり。やはり。思っていたとおり。
2.そうはいうものの、やはり。
3.いくら…でも、やはり。あれほどの。〈漢字ペディア〉"
B0081,1,【鄙】びた一軒家に辿り着く,ひな,"関連熟語：鄙俚（ヒリ）
★鄙びる（ひな-びる）
田舎風で、素朴な感じがする。田舎めく。〈漢字ペディア〉"
B0082,1,【鉋屑】へ火が付いたように喋る,かんなくず,"関連熟語：--
★鉋屑（かんなくず）
鉋(かんな)で材木を削るときにできる薄い木くず。〈漢字ペディア〉"
B0083,1,【鋺】に欠き氷を盛る,"かなまり
まり","関連熟語：--
★鋺／金鋺（かなまり）
金属製のわん。酒や水などを盛る器。〈漢字ペディア〉"
B0084,1,【鐚】銭を選ぶ,びた,"関連熟語：--
★鐚銭（びたセン／びたぜに）
1.室町中期から明治初期にかけて使われた粗悪な銭貨。びた。
2.使い古した硬貨。〈漢字ペディア〉"
B0085,1,【霤】は三途の川,あまだれ,"関連熟語：霤槽（リュウソウ）
★霤（あまだれ）
軒などから垂れ落ちる雨のしずく。〈漢字ペディア〉"
B0086,1,【饐】えた臭気が鼻を突く,す,"関連熟語：--
★饐えた（す-えた）
食物が腐ってすっぱくなる。〈漢字ペディア〉"
B0087,1,【髻】を切って聖に随った,"もとどり
たぶさ","関連熟語：椎髻（ツイケイ／スイケイ）
★髻（もとどり）
髪の毛を集めて束ねた部分。〈漢字ペディア〉"
B0088,1,【鬆】が立った飯は食われぬ,す,"関連熟語：--
★鬆（す）
1.時期が過ぎたダイコン･ゴボウや煮過ぎた豆腐などの内側にできる、細かい穴。
2.鋳物の内側にできる空洞。〈漢字ペディア〉"
B0089,1,【鮠】の群れが涼しげに川底を行き来した,"はや
はえ","関連熟語：--
★鮠（はや／はえ）
コイ科の淡水魚。おもに関東ではウグイ、関西ではオイカワの別称に用いる。〈漢字ペディア〉"
B0090,1,【鯔背】な法被姿で練り歩く,いなせ,"関連熟語：--
★鯔背（いなせ）
粋で威勢のよいこと。また、そのさま。さっぱりした気風。いさみ肌。江戸時代、江戸の日本橋魚河岸の粋で威勢のよい若者が結った、鯔背銀杏(いなせいちょう)の髪形から。〈漢字ペディア〉"
B0091,1,【鱶】ほど寝る,ふか,"関連熟語：--
▼鱶ほど寝る…鼾(ｲﾋﾞｷ)をかいてよく寝入る。〈故事俗信ことわざ大辞典〉"
B0092,1,【鸛】は高木の樹頂に営巣する,こうのとり,"関連熟語：--
★鸛（こうのとり）
1.コウノトリ科の鳥。羽毛は白く翼の大部分は黒色。形はツルに似る。アジア東部にすむ。日本では特別天然記念物に指定されたが絶滅。コウヅル。
2.ベニハシコウノトリの略。くちばしが紅色の西洋のコウノトリのこと。〈漢字ペディア〉"
B0093,1,【麩】を飼料にする,ふすま,"関連熟語：--
★麩（ふすま）
コムギをひいて粉にするときに残る皮のくず。洗い粉や家畜のえさにする。〈漢字ペディア〉"
B0094,1,あしひきの山橘を【苞】に摘み来な,つと,"関連熟語：苞苴（ホウショ）
★苞苴／苞（つと）
1.食品を、わらなどを束ねて包んだもの。わらづと。あらまき。
2.携えていく土産。〈漢字ペディア〉"
B0095,1,いささか【訝】しい点がある,いぶか,"関連熟語：怪訝（ケゲン／カイガ）
★訝しい（いぶかしい）
あやしい。うたがわしい。不審なさま。〈漢字ペディア〉"
B0096,1,いたり飲めば【輒】ち尽くす,すなわ,"関連熟語：--
★輒ち（すなわ-ち）
1.そのたびごとに。いつも。
2.たやすく。すぐに。〈漢字ペディア〉"
B0097,1,かなり【踵】の高い靴をはいている,かかと,"関連熟語：踵骨（ショウコツ）
★踵（かかと）
1.足の裏の後ろの部分。くびす。
2.履物の後ろ、また、裏の後ろの部分。〈漢字ペディア〉"
B0098,1,ことづてもなく【宛】ら春になりぬ,さなが,"関連熟語：宛然（エンゼン）
★宛ら（さなが-ら）
まるで。ちょうど。あたかも。〈漢字ペディア〉"
B0099,1,しきりに隠元豆を【挘】っている,むし,"関連熟語：--
★毟る／挘る（むし-る）
1.物の本体に密着しているものを、むりやりに引きちぎったり、引き抜いたりする。
2.綿などをつまみ広げて、ふっくらとさせる。つばなかす。
3.身を引きちぎって細かくする。また、肉や魚の身を骨からはがしてほぐす。
4.むりやりに奪い取る。
5. (多く「口をむしる」の形で用いて) かまをかけて尋ねる。〈日本国語大辞典〉"
B0100,1,すでに【蛻】の殻だった,もぬけ,"関連熟語：蟬蛻（センゼイ）
★蛻の殻（もぬけ-の-から）
ぬけがら。また、目当ての者が抜け出して、空になっている住居や寝所など。〈漢字ペディア〉"
B0101,1,その後【恙】なくお過ごしでしょうか,つつが,"関連熟語：無恙（ムヨウ）
★恙無い（つつがな-い）
病気がない。事故などの災難や心配事がない。〈漢字ペディア〉"
B0102,1,その処断を【肯】わぬ蒙昧な人々,うべな,"関連熟語：首肯（シュコウ）
★肯う（うべな-う）
もっともだと思って承知する。よいとしてうなずく。〈漢字ペディア〉"
B0103,1,その場の誰もが口を【噤】んでいた,つぐ,"関連熟語：噤口（キンコウ）
★噤む（つぐ-む）
口を閉じてものを言わない。黙る。〈漢字ペディア〉"
B0104,1,それは【夥】しく存在する,おびただ,"関連熟語：夥多（カタ）
★夥しい（おびただ-しい）
1.非常に多い。
2.はなはだしい。はげしい。〈漢字ペディア〉"
B0105,1,それは【迚】もできない,とて,"関連熟語：--
★迚も（とて-も）
1.（あとに打消しの表現を伴って用いる）どのようにしても実現しない気持ちを表す。どうしても。とうてい。
2.程度のはなはだしいさま。非常に。たいへん。とっても。
3.結局は否定的な結果になるという投げやりな気持ちを表す。どうせ。しょせん。
4.よりよい内容を望む気持ちを表す。どうせ…なら。〈大辞泉〉"
B0106,1,それは濃緑の葉の間に【赫】いていた,かがや,"関連熟語：赫灼（カクシャク）
★赫く（かがや-く）
あかあかと光る。あかく光り輝く。〈漢字ペディア〉"
B0107,1,それも【序】でに言って置く,つい,"関連熟語：順序（ジュンジョ）
★序で（つい-で）
1.あることを行うとき、同時に他のこともするよい機会。
2.順序。次第。〈漢字ペディア〉"
B0108,1,それを言っては【縺】れてしまう,もつ,"関連熟語：--
★縺れる（もつ-れる）
1.糸など線状のものがからみ合う。
2.言語や動作が自由にならない。
3.物事が混乱してこじれる。〈漢字ペディア〉"
B0109,1,とらつぐみを【鵺】ともいう,ぬえ,"関連熟語：--
★鵺（ぬえ）
1.伝説上の怪獣。頭はサル、手足はトラ、体はタヌキ、尾はヘビ、声はトラツグミに似るという。
2.得体の知れない人物やはっきりしない態度。
3.トラツグミの別称。〈漢字ペディア〉"
B0110,1,どうやら【秕】ばっかし摑まされたらしい,しいな,"関連熟語：秕糠（ヒコウ）
★秕（しいな）
1.殻ばかりで中身のない、もみ。
2.実らないまましなびた、草木の実。〈漢字ペディア〉"
B0111,1,なかなか【強】かな人物である,したた,"関連熟語：--
★強か（したた-か）
1.ひとすじなわではいかないさま。
2.ひどく。つよく。大いに。〈漢字ペディア〉"
B0112,1,はて【扠】運の甲斐ない男だ,さて,"関連熟語：--
★扠／扨／偖
ところで。続けてきた話の話題を変えるときに用いる語。〈漢字ペディア〉"
B0113,1,ひどく打ち【萎】れた様子だ,しお,"関連熟語：萎靡（イビ）
★打ち萎れる（う-ち-しお-れる）
1.しょんぼりする。生気を失ってぐったりする。
2.衣服などがぬれて萎(ﾅ)える。転じて、ぬれる。
3.草木や花などが風雨、陽光などによってしぼむ。ぐったりする。〈日本国語大辞典〉"
B0114,1,まことに【忝】く存じます,かたじけな,"関連熟語：虚忝（キョテン）
★忝い（かたじけな-い）
1.おそれ多い。もったいない。
2.身にしみてありがたい。〈漢字ペディア〉"
B0115,1,もみじ葉は風の【被】くる錦なりけり,かず,"関連熟語：被服（ヒフク）
★被ける（かず-ける）
1.責任を負わせる。
2.かこつける。
3.頭にかぶらせる。また、ご祝儀や褒美として衣類を肩に掛ける。〈漢字ペディア〉"
B0116,1,もらうものなら【藜】でも,あかざ,"関連熟語：藜羹（レイコウ）
★藜（あかざ）
アカザ科の一年草。中国原産。空き地や道端に自生。高さは一メートル以上になり、茎はかたい。葉はひし形に近い卵形。夏、小花を穂状につける。若葉は赤紫色で、食べられる。〈漢字ペディア〉"
B0117,1,ゆかしさよ【樒】花咲く雨の中,しきみ,"関連熟語：--
★樒／梻（しきみ）
モクレン科の常緑小高木。暖地の山林に自生。春、淡黄色の花を開く。葉は長い楕円(ダエン)形で光沢と香気があり、抹香をとる。また、枝を仏前に供える。果実は有毒。シキビ。〈漢字ペディア〉"
B0118,1,よく【鞣】してある菖蒲色の革紐,なめ,"関連熟語：鞣皮（ジュウヒ）
★鞣す（なめ-す）
動物の毛皮の毛と脂肪を取り除き、薬品で処理して柔らかくする。〈漢字ペディア〉"
B0119,1,わざと要点を【暈】して話した,ぼか,"関連熟語：暈繝（ウンゲン）
★暈す（ぼか-す）
1.色合いや線などを次第に薄くぼんやりとさせる。
2.話の内容をはっきりさせずにあいまいにする。〈漢字ペディア〉"
B0120,1,ミネルヴァの【梟】は知恵の象徴とされる,ふくろう,"関連熟語：鴟梟（シキョウ）
★梟（ふくろう）
フクロウ科の鳥。森林にすむ。頭は丸くて、目は大きく、くちばしが鋭い。多くは夜行性でネズミやモグラなどの小動物を捕食する。〈漢字ペディア〉"
B0121,1,悪魔主義と【看做】されている,みな,"関連熟語：--
★見做す／看做す（みな-す）
みて、そうときめる。それと判定したり仮定したりする。〈漢字ペディア〉"
B0122,1,葦辺に舟が【舫】ってある,もや,"関連熟語：舫船（ホウセン）
★舫う（もや-う）
1.船と船とを互いにつなぎ合わせる。
2.杭(ｸｲ)などに船をつなぎとめる。〈漢字ペディア〉"
B0123,1,胃が【凭】れて困る,もた,"関連熟語：凭几（ヒョウキ）
★凭れる（もた-れる）
1.ものを支えにして体重をかける。よりかかる。
2.食べた物がよく消化されず、胃がすっきりとしない。〈漢字ペディア〉"
B0124,1,医師の忠告を【肯】じなかった,がえん,"関連熟語：肯定（コウテイ）
★肯じる（がえん-じる）
受け入れる。承知する。肯定する。〈漢字ペディア〉"
