ID,難易度,問題,指定,語群,解答,問題熟語の意味,解答熟語の意味
H0018,1,【雅語】,対義語,"りご
きご
なんご",俚語,"▼【雅語】ガゴ
1.みやびやかで正しい言葉。≒雅言、⇔俗語、俗言、俚言
2.和歌などに使われた、奈良･平安時代の言葉。≒歌語、雅言、⇔俗語、俗言、俚言〈漢字ペディア〉","▼〔俚語〕リゴ
1.俗間に用いられる言葉。また、ある地域の方言の語彙。俗言。俚言。
2.民間に言い伝えられてきたことわざ。俚諺。〈日本国語大辞典〉"
H0019,1,【恢復】,対義語,"ちゅうそ
びよう
りかん",罹患,"▼【恢復／回復】カイフク
1.失ったり悪くなったりした状態がもとどおりになること。
2.病気がよくなること。≒快復〈漢字ペディア〉","▼〔罹患〕リカン
病気にかかること。≒罹病〈漢字ペディア〉
病気にかかること。罹病。〈漢辞海〉"
H0020,1,【開豁】,対義語,"ふへい
はじ
きょうあい",狭隘,"▼【開豁】カイカツ
1.広々とひらけて、眺めのよいようす。
2.心が広く、さっぱりしているようす。〈漢字ペディア〉","▼〔狭隘〕キョウアイ
1.土地などがせまくるしいさま。
2.度量がせまくて窮屈なさま。〈漢字ペディア〉"
H0021,1,【拡散】,対義語,"しゅうれん
びまん
かくはん",収斂,"▼【拡散】カクサン
1.広く散らばること。
2.濃度の異なる物質が混じり合って、全体が均一の濃度になる現象。〈漢字ペディア〉","▼〔収斂〕シュウレン
1.引きしまって縮まること。≒収縮
2.税を取り立てること。
3.穀物などを取り入れること。収穫。
4.数学で、変数の値がある一定の数に限りなく近づくこと。≒〈漢字ペディア〉"
H0022,1,【岳麓】,対義語,"せいざん
ろうほ
さんてん","山巓
山顚
山顛","▼【岳麓】ガクロク
山のふもと。裾野(ｽｿﾉ)。特に、富士山のふもと。〈漢字ペディア〉","▼〔山巓／山顚〕サンテン
山のいただき。てっぺん。頂上。山頂。〈漢字ペディア〉"
H0023,1,【岳麓】,対義語,"ぜってん
ぼあい
そうこしゃ","絶巓
絶顚
絶顛","▼【岳麓】ガクロク
山のふもと。裾野(ｽｿﾉ)。特に、富士山のふもと。〈漢字ペディア〉","▼〔絶巓／絶顚〕ゼッテン
山の絶頂。いただき。てっぺん。〈日本国語大辞典〉"
H0024,1,【感謝】,対義語,"えんさ
ろくめい
はんじょく",怨嗟,"▼【感謝】カンシャ
自分が受けた行為を、ありがたく思うこと。また、その意を表して礼を言うこと。〈漢字ペディア〉","▼〔怨嗟〕エンサ
うらんでなげき悲しむこと。〈漢字ペディア〉"
H0025,1,【頑健】,対義語,"るいじゃく
きょたん
そうゆ",羸弱,"▼【頑健】ガンケン
体型ががっしりとして丈夫なさま。〈漢字ペディア〉","▼〔羸弱〕ルイジャク
体が弱いこと。また、疲労で衰弱すること。〈漢字ペディア〉"
H0026,1,【奇禍】,対義語,"ぎょうこう
きこう
せつな",僥倖,"▼【奇禍】キカ
思いがけない災難。思わぬ不幸。〈漢字ペディア〉","▼〔僥倖〕ギョウコウ
1.思いもかけない、身分不相応な幸い。
2.どこまでも利益や幸福を求めること。〈漢字源〉
思いがけない幸運。こぼれざいわい。〈漢字ペディア〉"
H0027,1,【帰納】,対義語,"しゅつろ
えんえき
せきりょう",演繹,"▼【帰納】キノウ
具体的事実から共通点を求めて、一般的な原理や法則を導き出すこと。⇔演繹(ｴﾝｴｷ)〈漢字ペディア〉","▼〔演繹〕エンエキ
⇔帰納
1.一つのことから他のことへおし広げて述べること。
2.一般的な原理から特殊な原理を論理によって導き出すこと。〈漢字ペディア〉
1.一つの事柄から他の事柄へ押しひろめて述べること。
2.与えられた命題から、論理的形式に頼って推論を重ね、結論を導き出すこと。一般的な理論によって、特殊なものを推論し、説明すること。⇔帰納〈大辞泉〉"
H0028,1,【稀有】,対義語,"つうず
きょうじゃく
へんたん","通途
通塗","▼【稀有／希有】ケウ
まれで珍しいこと。めったにないこと。〈漢字ペディア〉","▼〔通途／通塗〕ツウズ
ありふれたこと。どこにでも転がっていること。また、そのものやそのさま。普通。通常。〈日本国語大辞典〉"
H0029,1,【起筆】,対義語,"かくひつ
ばんさん
こうさ",擱筆,"▼【起筆】キヒツ
文章などを書き始めること。書き起こし。⇔擱筆〈漢字ペディア〉","▼〔擱筆〕カクヒツ
筆をおく。特に、文章を書き終えて筆を下におく。⇔起筆〈漢字ペディア〉"
H0030,1,【巨大】,対義語,"わいしょう
しんせい
えんじゃく",矮小,"▼【巨大】キョダイ
きわめて大きいこと。また、そのもの。⇔微小〈漢字ペディア〉","▼〔矮小〕ワイショウ
1.背が低く、小さいこと。
2.つまらないこと。規模の小さいこと。〈漢字ペディア〉"
H0031,1,【強壮】,対義語,"しゃこう
るいじゃく
ちんどく",羸弱,"▼【強壮】キョウソウ
体がたくましく勢いのあるさま。≒強健、壮健〈漢字ペディア〉
★中国で古く、三十歳を壮、四十歳を強といい、もと、三、四十歳の心身盛んな年代の意。","▼〔羸弱〕ルイジャク
体が弱いこと。また、疲労で衰弱すること。〈漢字ペディア〉"
H0032,1,【恭謙】,対義語,"けごう
おんじゃく
きょうだい",矜大,"▼【恭謙】キョウケン
つつしみ深くへりくだること。〈漢字ペディア〉","▼〔矜大〕キョウダイ
おごりたかぶること。また、そのさま。尊大。〈日本国語大辞典〉"
H0033,1,【興隆】,対義語,"けつけつ
りょうち
せいち",陵遅,"▼【興隆】コウリュウ
物事がおこり、盛んになること。≒興起、⇔衰亡、衰退〈漢字ペディア〉","▼〔陵遅〕リョウチ
1.山地や丘陵が次第に低くなること。陵夷。
2.物事が次第に衰えすたれること。また、道義がうすれて行くこと。
3.昔の中国の刑罰の一つ。身体を切りきざみながら死に至らしめるもの。〈日本国語大辞典〉"
H0034,1,【興隆】,対義語,"りょうい
ほうたい
えいげつ",陵夷,"▼【興隆】コウリュウ
物事がおこり、盛んになること。≒興起、⇔衰亡、衰退〈漢字ペディア〉","▼〔陵夷〕リョウイ
1.丘と平地。
2.丘陵が次第に低く平らになること。陵遅。
3.物事が次第に衰えすたること。〈日本国語大辞典〉"
H0035,1,【仰視】,対義語,"ふかん
ひせき
りゅうべん",俯瞰,"▼【仰視】ギョウシ
あおぎ見ること。見上げること。≒仰瞻〈漢字ペディア〉","▼〔俯瞰〕フカン
高い所から見おろすこと。≒鳥瞰〈漢字ペディア〉"
H0036,1,【仰瞻】,対義語,"りゅうりょう
ふかん
けいけん",俯瞰,"▼【仰瞻】ギョウセン
あおぎ見ること。また、尊敬すること。見上げること。〈日本国語大辞典〉","▼〔俯瞰〕フカン
高い所から見おろすこと。≒鳥瞰〈漢字ペディア〉"
H0037,1,【凝寒】,対義語,"かいきえん
しょうかん
けんだん",暄暖,"▼【凝寒】ギョウカン
きびしい寒さ。〈漢辞海〉","▼〔暄暖〕ケンダン
あたたかなこと。また、そのさま。温暖。〈日本国語大辞典〉"
H0038,1,【謹厳】,対義語,"いんぎん
ふくへき
ほうらつ","放埒
放埓","▼【謹厳】キンゲン
うわついたところがなく、非常にまじめなこと。〈漢字ペディア〉","▼〔放埒〕ホウラツ
1.「放逸」に同じ。≒放縦
2.酒や色欲にふけること。≒放蕩(ﾎｳﾄｳ)〈漢字ペディア〉
★馬が柵(ｻｸ)である埒(ﾗﾁ)から放れ出る意から。"
H0039,1,【愚昧】,対義語,"ゆまい
えいまい
けんべつ",英邁,"▼【愚昧】グマイ
おろかで道理のわからないこと。また、その人。≒愚蒙〈漢字ペディア〉","▼〔英邁〕エイマイ
才能･知識が非常にすぐれていること。≒英明〈漢字ペディア〉"
H0040,1,【桑楡】,対義語,"こうこん
けいしん
からく",鶏晨,"▼【桑楡】ソウユ
桑(ｸﾜ)と楡(ﾆﾚ)の木。また、一般に樹木をさしていう。
2.西日の影が樹木の上にかかっていること。夕方の日影。夕方。夕暮。
3.転じて、人生の晩年や死期をたとえていう。〈日本国語大辞典〉","▼〔鶏晨〕ケイシン
にわとりの鳴く朝。夜明け。あけがた。早朝。鶏旦。〈日本国語大辞典〉"
H0041,1,【契合】,対義語,"せっけい
ぼっかん
かんかく","扞格
捍格","▼【契合】ケイゴウ
割符を合わせたように、ぴたりと二つのものが一致すること。〈漢字ペディア〉","▼〔扞格／捍格〕カンカク
互いに相手をこばみ、受け入れないこと。〈漢字ペディア〉"
H0042,1,【慶福】,対義語,"おうか
きょうだい
ぼんさい",殃禍,"▼【慶福】ケイフク
めでたいこと。いわいごと。めでたいしあわせ。さいわい。〈日本国語大辞典〉","▼〔殃禍〕オウカ
わざわい。災難。災厄。≒災禍〈漢字ペディア〉"
H0043,1,【敬信】,対義語,"がいせつ
とうちょ
さいぎ",猜疑,"▼【敬信】ケイシン
尊敬し、信頼すること。また、神仏などを、うやまい信じること。〈日本国語大辞典〉","▼〔猜疑〕サイギ
人の行いなどを素直に受け取れず、ねたんだり、うたがったりすること。〈漢字ペディア〉"
H0044,1,【決断】,対義語,"ちゅうちょ
ちょくせつ
ちゅっちょく",躊躇,"▼【決断】ケツダン
1.きっぱり決めること。
2.事の善し悪しを裁くこと。〈漢字ペディア〉","▼〔躊躇〕チュウチョ
1.ためらって、行きなやむ。また、物事を進めかねてためらう。
2.あわてない。ゆったりとする。〈新漢和大字典〉
あれこれ迷って決心できないこと。ためらうこと。〈大辞泉〉
決心がつかず迷うこと。ぐずぐずと、ためらうこと。〈漢字ペディア〉"
H0045,1,【潔浄】,対義語,"おわい
けいし
ごうごう",汚穢,"▼【潔浄】ケツジョウ
 清らかで、けがれのないこと。清潔清浄なこと。また、そのさま。〈日本国語大辞典〉","▼〔汚穢〕オワイ／オアイ
1.よごれていること。けがれていること。
2.大小便。糞尿。〈漢字ペディア〉
1.けがる。けがれ。
2.けがす。〈字源〉"
H0046,1,【倹素】,対義語,"しゃし
きょうだ
せいちゅう",奢侈,"▼【倹素】ケンソ
地味でつましいこと。質素で飾りけがないこと。≒倹朴〈漢字ペディア〉","▼〔奢侈〕シャシ
おごり。ぜいたく。〈漢字源〉
身分不相応なぜいたく。度を超えて金をつかうこと。〈漢字ペディア〉"
H0047,1,【喧擾】,対義語,"せいひつ
しんがい
しゅうれん",静謐,"▼【喧擾／諠擾】ケンジョウ
騒がしく乱れること。やかましく乱すこと。〈漢字ペディア〉","▼〔静謐〕セイヒツ
静かで落ち着いていること。世の中が平和に治まっていること。≒平穏、静穏〈漢字ペディア〉"
H0048,1,【喧鬧】,対義語,"べんばく
げきせき
ほうぼう",闃寂,"▼【喧鬧／諠鬧】ケントウ／ケンドウ
さわがしいこと。さわぎたてること。また、そのさま。喧騒。〈日本国語大辞典〉","▼〔闃寂〕ゲキセキ
ひっそりと静かでさびしいさま。≒静寂〈漢字ペディア〉
ひっそりと静まり、さびしいさま。〈大辞泉〉
物寂しく静まり返っていること。〈漢字源〉"
H0049,1,【顕示】,対義語,"えんえき
ひれき
とうかい",韜晦,"▼【顕示】ケンジ
人にわかるように明らかに示すこと。はっきりと見せること。≒明示〈漢字ペディア〉","▼〔韜晦〕トウカイ
1.自分の本心や才能･地位などをつつみ隠すこと。
2.身を隠すこと。姿をくらますこと。〈大辞泉〉
才能･地位･形跡などをつつみ隠すこと。他人の目をくらまし、わからないようにすること。〈漢字ペディア〉"
H0050,1,【顕達】,対義語,"ぎょうき
らくはく
へきれき",落魄,"▼【顕達】ケンタツ
立身出世すること。顕栄。栄達。〈日本国語大辞典〉","▼〔落魄〕ラクハク／ラクバク／ラクタク
おちぶれること。≒零落〈漢字ペディア〉"
H0051,1,【顕達】,対義語,"りんらく
けんきょう
きけつ",淪落,"▼【顕達】ケンタツ
立身出世すること。顕栄。栄達。〈日本国語大辞典〉","▼〔淪落〕リンラク
身をもちくずすこと。おちぶれること。≒淪没、零落〈漢字ペディア〉"
H0052,1,【雇傭】,対義語,"かくしゅ
しんじつ
ゆうえき",馘首,"▼【雇傭／雇用】コヨウ
ある仕事をさせるために、賃金を払い人を雇うこと。⇔解雇〈漢字ペディア〉","▼〔馘首〕カクシュ
雇い主が雇っている人をやめさせること。首切り。解雇。免職。〈漢字ペディア〉
雇い主が使用人を辞めさせること。解雇。免職。〈大辞泉〉"
H0053,1,【宏闊】,対義語,"きょうあい
じょくしょ
ちょくせつ",狭隘,"▼【宏闊／広闊】コウカツ
ひろびろと見渡すかぎりひらけること。また、そのさま。〈日本国語大辞典〉","▼〔狭隘〕キョウアイ
1.土地などがせまくるしいさま。
2.度量がせまくて窮屈なさま。〈漢字ペディア〉"
H0054,1,【荒蕪】,対義語,"こうゆ
ほうしょ
まつえい",膏腴,"▼【荒蕪】コウブ
土地が荒れて雑草が生い茂ること。〈漢字ペディア〉
★「蕪」は、雑草が生い茂る意。","▼〔膏腴〕コウユ
地味が豊かで肥えていること。また、その土地。≒膏沃、肥沃〈漢字ペディア〉"
H0055,1,【剛毅】,対義語,"こうゆ
きょうだ
しそう",怯懦,"▼【剛毅／豪毅】ゴウキ
意志がつよくてくじけないこと。〈漢字ペディア〉","▼〔怯懦〕キョウダ
「怯弱」に同じ。〈漢字ペディア〉
臆病で気が弱いこと。いくじのないこと。また、そのさま。〈大辞泉〉"
H0056,1,【劫末】,対義語,"かいびゃく
こっしょ
ひょうりゃく",開闢,"▼【劫末】ゴウマツ
(仏)この世の終わり。⇔劫初〈漢字ペディア〉","▼〔開闢〕カイビャク
1.天地が開いた始まり。この世の始まり。≒創世
2.物事の始まり。〈漢字ペディア〉"
H0057,1,【酷暑】,対義語,"きかん
がんちょう
ばくもんどう",祁寒,"▼【酷暑】コクショ
非常に暑いこと。きびしい暑さ。≒酷熱、猛暑、⇔酷寒〈漢字ペディア〉","▼〔祁寒〕キカン
たいへん寒いこと。きびしい寒さ。≒酷寒〈漢字ペディア〉"
H0058,1,【犀利】,対義語,"どどん
しんがい
いっさん",駑鈍,"▼【犀利】サイリ
1.武器などがかたく鋭いこと。
2.文章の勢いや頭のはたらきが鋭いさま。〈漢字ペディア〉","▼〔駑鈍〕ドドン
鈍くて才能が劣っていること。鈍才。≒愚鈍、魯鈍〈漢字ペディア〉"
H0059,1,【讃歎】,対義語,"ちょうば
そうれき
はいき",嘲罵,"▼【讃歎／賛嘆／讃嘆】サンタン
非常に感心してほめること。〈大辞林〉","▼〔嘲罵〕チョウバ
あざけりののしること。≒罵倒、⇔称賛、賛嘆〈漢字ペディア〉"
H0060,1,【斬新】,対義語,"ろうしゅう
こうゆ
ちんとう",陳套,"▼【斬新】ザンシン
それまでにない独創的な考え方であること。きわだって新しいさま。⇔陳腐〈漢字ペディア〉","▼〔陳套〕チントウ
ふるくさいこと。ふるめかしいこと。また、そのさま。陳腐。旧套。〈日本国語大辞典〉"
H0061,1,【仕官】,対義語,"けいかん
じだ
ふしゅう",挂冠,"▼【仕官】シカン
1.官吏となること。
2.召し抱えられて、武士が主君につかえること。〈漢字ペディア〉","▼〔挂冠〕ケイカン／カイカン
冠を脱いで、官職を辞する。挂綬。挂冕。後漢の逢萌(ﾎｳﾎﾞｳ)が王莽(ｵｳﾓｳ)に仕えるのを嫌い、城門に冠をかけて去った故事から。〈漢辞海〉
冠を脱いで柱などにかける意から、官を去り職を辞すること。〈漢字ペディア〉"
H0062,1,【四散】,対義語,"かくひつ
いしゅう
おうのう",蝟集,"▼【四散】シサン
あちこちに散らばること。ちりぢりになること。≒分散〈漢字ペディア〉","▼〔蝟集〕イシュウ
ハリネズミの毛のように、多くの物が一か所にあつまること。≒雲集、密集〈漢字ペディア〉"
H0063,1,【児孫】,対義語,"だいそ
のうせき
せんこう",乃祖,"▼【児孫】ジソン
子と孫。子どもや孫。また、血筋を引いて生まれる人々。子孫。〈日本国語大辞典〉","▼〔乃祖〕ダイソ／ナイソ
なんじの祖先。なんじの祖父。また、祖先。祖父。〈漢字ペディア〉"
H0064,1,【治癒】,対義語,"しきび
りかん
ふえつ",罹患,"▼【治癒】チユ
病気やけががなおること。≒平癒〈漢字ペディア〉","▼〔罹患〕リカン
病気にかかること。≒罹病〈漢字ペディア〉
病気にかかること。罹病。〈漢辞海〉"
H0065,1,【質倹】,対義語,"えんべん
るいじゃく
ぜいたく",贅沢,"▼【質倹】シッケン
義未詳。
★質素倹約の略か。","▼〔贅沢〕ゼイタク
1.必要を超えて費用をかけたりものを使ったりすること。
2.身の程や立場を超えておごっていること。〈漢字ペディア〉"
H0066,1,【実正】,対義語,"きっそう
ばつご
きょたん",虚誕,"▼【実正】ジッショウ
1.偽りのないこと。まちがいのないこと。たしかなこと。また、そのさま。真実。
2.本当に。まことに。〈漢字ペディア〉","▼〔虚誕〕キョタン
まったくのでたらめ。おおげさなつくりごと。≒虚言〈漢字ペディア〉"
H0067,1,【受禅】,対義語,"えきさく
さんだつ
せんそ","簒奪
篡奪","▼【受禅】ジュゼン
前帝の位を譲り受けること。新帝が即位すること。〈漢字ペディア〉
★「禅」は、譲る意。","▼〔簒奪〕サンダツ
君主を滅ぼして地位や権力を手に入れること。〈漢字ペディア〉"
H0068,1,【周到】,対義語,"はつらつ
ちし
うかつ","迂闊
迂濶","▼【周到】シュウトウ
準備や用意がすみずみまで行きとどき、不備のないさま。≒綿密、周密〈漢字ペディア〉","▼〔迂闊〕ウカツ
1.間が抜けて実際の役に立たない。
2.(国)うっかりする。不注意である。〈漢字源〉
1.うっかりしていて心の行き届かないこと。また、そのさま。
2.回り遠くて実情にそぐわないこと。実際の役に立たないこと。また、そのさま。〈大辞泉〉
注意力が足りずに、うっかりしているさま。〈漢字ペディア〉"
H0069,1,【終末】,対義語,"わいしょう
かいびゃく
しい",開闢,"▼【終末】シュウマツ
物事の終わり。最後。≒終尾、結末⇔発端〈漢字ペディア〉","▼〔開闢〕カイビャク
1.天地が開いた始まり。この世の始まり。≒創世
2.物事の始まり。〈漢字ペディア〉"
H0070,1,【重痾】,対義語,"びよう
けいそう
びんしょう",微恙,"▼【重痾】ジュウア
重い病気。重病。大病。〈漢字ペディア〉","▼〔微恙〕ビヨウ
軽い病気。〈漢字源〉
軽い病気。気分が少しすぐれないこと。〈漢字ペディア〉"
H0071,1,【駿馬】,対義語,"いっそく
りょうち
どたい",駑駘,"▼【駿馬】シュンメ／シュンバ
足の速いすぐれた馬。≒駿足〈漢字ペディア〉","▼〔駑駘〕ドタイ
1.のろい馬。
2.転じて、才能が劣っていること。また、その人。〈大辞林〉
駄馬。〈字通〉
≒駑馬
1.のろい馬。鈍い馬。
2.鈍才。劣った人。〈漢字ペディア〉"
H0072,1,【醇厚】,対義語,"りんらく
ぎょうはく
かくせい",澆薄,"▼【醇厚／淳厚】ジュンコウ
まごころがあり手厚いこと。〈漢字ペディア〉","▼〔澆薄〕ギョウハク
人に対して薄情なこと。人情が薄いこと。≒澆漓〈漢字ペディア〉"
H0073,1,【醇篤】,対義語,"ぎょうはく
えんかん
じゅうあ",澆薄,"▼【醇篤】ジュントク
手厚くねんごろ。≒醇厚〈字源〉","▼〔澆薄〕ギョウハク
人に対して薄情なこと。人情が薄いこと。≒澆漓〈漢字ペディア〉"
H0074,1,【醇朴】,対義語,"ろうかい
あつれき
だくろう",老獪,"▼【醇朴】ジュンボク
人情があつく素朴なこと。≒純朴、淳朴〈漢字ペディア〉","▼〔老獪〕ロウカイ
長い経験から世間慣れして、ずる賢いこと。〈漢字ペディア〉"
H0075,1,【緒言】,対義語,"ばつご
るじゅつ
ねいげん",跋語,"▼【緒言】ショゲン／チョゲン
1.論説のいとぐち。
2.前書き。はし書き。 ≒序文、序言〈漢字ペディア〉","▼〔跋語〕バツゴ
書物のあとがきとしてしるす言葉。跋文。跋。〈大辞泉〉"
H0076,1,【少壮】,対義語,"だいてん
ろうもう
しゅっき",老耄,"▼【少壮】ショウソウ
年が若く、勢いの盛んなこと。また、その人。〈漢字ペディア〉","▼〔老耄〕ロウモウ／ロウボウ
おいぼれること。年老いてほうけた人。おいぼれ。〈漢字ペディア〉"
H0077,1,【称讃】,対義語,"せんよ
ばり
かいご",罵詈,"▼【称讃／称賛／賞讃／賞賛】ショウサン
ほめたたえること。ほめそやすこと。≒称揚〈漢字ペディア〉","▼〔罵詈〕バリ
口汚くののしること。また、その言葉。ののしり。〈大辞泉〉
ののしること。悪口を言うこと。〈漢字ペディア〉"
H0078,1,【信憑】,対義語,"きゅうせき
さいぎ
ろうぜき",猜疑,"▼【信憑】シンピョウ
信頼してよりどころとすること。〈漢字ペディア〉","▼〔猜疑〕サイギ
人の行いなどを素直に受け取れず、ねたんだり、うたがったりすること。〈漢字ペディア〉"
H0079,1,【進捗】,対義語,"けいかん
げきたい
こうちゃく","膠着
膠著","▼【進捗／進陟】シンチョク
1.進みはかどること。はかがゆくこと。進行。進展。
2.官位などをすすめのぼすこと。〈日本国語大辞典〉","▼〔膠着／膠著〕コウチャク
1.にかわでつけたように、しっかりとつくこと。
2.状況が固定して進展しないこと。〈漢字ペディア〉"
H0080,1,【進陟】,対義語,"たいじ
けいちゅう
へんちゅつ",貶黜,"▼【進陟／進捗】シンチョク
1.進みはかどること。はかがゆくこと。進行。進展。
2.官位などをすすめのぼすこと。〈日本国語大辞典〉","▼〔貶黜〕ヘンチュツ／ヘンチツ
官位を下げて、しりぞけること。貶斥(ﾍﾝｾｷ)。へんちつ。〈大辞泉〉
官職を取りあげ、官界から追い出す。≒貶斥〈漢辞海〉
官位を下げ、しりぞけること。≒貶退、貶斥〈漢字ペディア〉"
H0081,1,【清浄】,対義語,"たんい
げきせき
おわい",汚穢,"▼【清浄】セイジョウ／ショウジョウ
清らかで汚れのないこと。≒清潔、⇔不浄〈漢字ペディア〉","▼〔汚穢〕オワイ／オアイ
1.よごれていること。けがれていること。
2.大小便。糞尿。〈漢字ペディア〉
1.けがる。けがれ。
2.けがす。〈字源〉"
