ID,難易度,問題,読み,解答,別答,意味,出典
D0011,1,蛙鳴____,あめいせんそう,蟬噪,蝉噪,"➡蛙鳴蟬噪／蛙鳴蝉噪（あめいせんそう）
役に立たない議論や、内容に乏しく下手な文章。〈漢検四字熟語辞典〉
★蛙や蟬がやかましく鳴き噪(ｻﾜ)ぐように、うるさいばかりでなんの役にも立たないという意味が転じたもの。
類：蛙鳴雀噪（あめいじゃくそう）／類：驢鳴犬吠（ろめいけんばい）／類：蟬噪蛙鳴（せんそうあめい）",＊『韓愈-平淮西碑儲欣評』
D0012,1,____讒謗,ばりざんぼう,罵詈,,"➡罵詈讒謗（ばりざんぼう）
ありとあらゆる悪口をいうこと。〈漢検四字熟語辞典〉
★「罵詈」は、口汚く相手をののしること。
★「讒謗」は、そしる意。
類：悪口雑言（あっこうぞうごん）／類：讒謗罵詈（ざんぼうばり）／類：罵詈雑言（ばりぞうごん）／類：悪口罵詈（あっこうばり）",＊『当世書生気質･一〇』
D0013,1,横行____,おうこうかっぽ,闊歩,濶歩,"➡横行闊歩／横行濶歩（おうこうかっぽ）
威張って気ままに歩き回ること。多く悪人に対していう。〈漢検四字熟語辞典〉
★「横行」は、我が物顔にふるまうこと。
★「闊歩」は、堂々と歩くこと、威張って行動すること。
類：横行覇道（おうこうはどう）／類：横行跋扈（おうこうばっこ）／類：跳梁跋扈（ちょうりょうばっこ）／類：飛揚跋扈（ひようばっこ）",＊『夏目漱石-吾輩は猫である』
D0014,1,豪華____,ごうかけんらん,絢爛,,"➡豪華絢爛（ごうかけんらん）
まばゆいほど美しく、華やかで贅沢なさま。〈漢検四字熟語辞典〉
★「豪華」は、贅沢で華やかなこと。
★「絢爛」は、目がくらむほど美しい意。
類：絢爛豪華（けんらんごうか）／類：絢爛華麗（けんらんかれい）／類：錦繡綾羅（きんしゅうりょうら）",＊『火野葦平-赤い国の旅人･四月三〇日』
D0015,1,造次____,ぞうじてんぱい,顚沛,顛沛,"➡造次顚沛／造次顛沛（ぞうじてんぱい）
あわただしいとき。とっさのとき。〈漢検四字熟語辞典〉
★「造次」は、あわただしい時。
★「顚沛」は、つまずき倒れることの異で、それくらい短い時間のこと。",＊『論語-里仁』
D0016,1,百花____,ひゃっかりょうらん,繚乱,撩乱,"➡百花繚乱／百花撩乱（ひゃっかりょうらん）
すぐれた人物や業績が、一時期にたくさん現れること。〈漢検四字熟語辞典〉
★「繚乱」は、花が咲き乱れる意。
★様々な花が、艶やかに咲き乱れることをいう。
類：百花斉放（ひゃっかせいほう）／類：百家争鳴（ひゃっかそうめい）／類：千紫万紅（せんしばんこう）／類：千紅万紫（せんこうばんし）",＊『再昌草-永正四年･九月九日』
D0017,1,____皓歯,めいぼうこうし,明眸,,"➡明眸皓歯（めいぼうこうし）
美人のたとえ。〈漢検四字熟語辞典〉
★美しく澄んだ眸(ﾋﾄﾐ)と、皓(ｼﾛ)く美しい歯の意。
類：蛾眉皓歯（がびこうし）／類：朱唇皓歯（しゅしんこうし）／類：仙姿玉質（せんしぎょくしつ）／類：氷肌玉骨（ひょうきぎょっこつ）／類：曲眉豊頰（きょくびほうきょう）／類：羞花閉月（しゅうかへいげつ）／類：沈魚落雁（ちんぎょらくがん）",＊『曹植-洛神賦』
D0018,1,____誅求,かれんちゅうきゅう,苛斂,,"➡苛斂誅求（かれんちゅうきゅう）
税金などを情け容赦なく取り立てること。〈漢検四字熟語辞典〉
★「苛斂」「誅求」は、厳しく責めつけて取り立てること。
類：頭会箕斂（とうかいきれん）",＊『矢田挿雲-江戸から東京へ･六』
D0019,1,精励____,せいれいかっきん,恪勤,,"➡精励恪勤（せいれいかっきん）
力を尽くして学業や仕事に励むこと。〈漢検四字熟語辞典〉
★「精励」は、励み努めること。
★「恪勤」は、真面目に勤めること。
類：精励勤勉（せいれいきんべん）／類：刻苦勉励（こっくべんれい）／類：奮励努力（ふんれいどりょく）／類：昼耕夜誦（ちゅうこうやしょう）／類：恪勤精励（かっきんせいれい）",＊『谷崎潤一郎-痴人の愛』
D0020,1,砥礪____,しれいせっさ,切磋,切瑳,"➡砥礪切磋／砥砺切磋／砥礪切瑳／砥砺切瑳（しれいせっさ）
つとめみがく。学問や品性をはげみ修養して大成を期すること。〈漢検四字熟語辞典〉
★「砥」「礪」「磋」は、とぎ磨く意。
★「切」は、骨などを断ち切る意。
類：切磋琢磨（せっさたくま）",＊『言志録』
D0021,1,毀誉____,きよほうへん,褒貶,,"➡毀誉褒貶（きよほうへん）
褒めたりけなしたりすること。〈漢検四字熟語辞典〉
★「毀」と「貶」は、そしる、または、けなすこと。
★「誉」と「褒」は、ほめることの意。
★ほめることとそしること。称賛と非難。",＊『町人囊･三』
D0022,1,____微笑,ねんげみしょう,拈華,拈花,"➡拈華微笑／拈花微笑（ねんげみしょう）
言葉によらず、心から心へ伝えること。〈漢検四字熟語辞典〉
★釈迦が弟子に説法している時、ハスの花を拈(ﾋﾈ)って見せたが、弟子たちはその意味が分からずただ一人迦葉(ｶｼｮｳ)だけが悟ってにっこりと笑った。そこで釈迦は彼に仏法の奥義を授けたという故事から。
類：破顔微笑（はがんみしょう）／類：以心伝心（いしんでんしん）／類：教外別伝（きょうげべつでん）／類：不立文字（ふりゅうもんじ）／類：維摩一黙（ゆいまいちもく）",＊『五灯会元』
D0023,1,戦戦____,せんせんきょうきょう,兢兢,恐恐,"➡戦戦兢兢／戦戦恐恐（せんせんきょうきょう）
恐れてびっくりするさま。〈漢検四字熟語辞典〉
★「戦戦」は、恐れおののくこと。
★「兢兢」は、恐れおののいて戒めつつしむ意。
★略して「戦兢」ともいう。
類：戦戦慄慄（せんせんりつりつ）",＊『詩経-小雅･小旻』
D0024,1,万目____,"まんもくがいさい
ばんもくがいさい",睚眥,睚眦,"➡万目睚眥／万目睚眦（まんもくがいさい／ばんもくがいさい）
たくさんの人ににらまれること。〈漢検四字熟語辞典〉
★「万目」は、多くの人の目。転じて、多くの人。
★「睚眥」は、目をかどに立ててにらむこと。
類：百口嘲謗（ひゃっこうちょうぼう）",＊『紅楼夢-五回』
D0025,1,顔厚____,がんこうじくじ,忸怩,,"➡顔厚忸怩（がんこうじくじ）
非常に恥じ入ること。恥ずかしくて堪えられないさま。〈漢字ペディア〉
★「忸怩」は、心中で恥ずかしく思うこと。
★厚かましい者の顔にさえ、恥じる色が出ている意から。
「顔厚(ｶﾞﾝｺｳ)にして忸怩(ｼﾞｸｼﾞ)たる有り」",＊『書経-五子之歌』
D0026,1,____贔屭,えこひいき,依怙,,"➡依怙贔屭／依怙贔屓／依怙贔負（えこひいき）
片方に心をかたむけ助けること。好きなほうだけ肩入れすること。〈漢検四字熟語辞典〉
★「依怙」は、もと頼りにする意であるが、わが国では不公平の意にも使われる。
★「贔屭」は、もとヒキと読み、力を出し努力するさま。転じて、人に目をかけて引き立てること。",＊『信長記-一上』
D0027,1,苛斂____,かれんちゅうきゅう,誅求,,"➡苛斂誅求（かれんちゅうきゅう）
税金などを情け容赦なく取り立てること。〈漢検四字熟語辞典〉
★「苛斂」「誅求」は、厳しく責めつけて取り立てること。
類：頭会箕斂（とうかいきれん）",＊『矢田挿雲-江戸から東京へ･六』
D0028,1,暴虎____,ぼうこひょうが,馮河,憑河,"➡暴虎馮河／暴虎憑河（ぼうこひょうが）
向こう見ずのたとえ。血気に任せた無謀な行動のこと。孔子が、弟子の子路(ｼﾛ)の粗野な言動を戒めた言葉。〈漢検四字熟語辞典〉
★「暴虎」は、虎を素手で殴ること。
★「馮河」は、大河を徒歩で渡る意。
★暴虎も馮河も無謀な行為を指す。
類：血気之勇（けっきのゆう）／類：匹夫之勇（ひっぷのゆう）",＊『論語-術而』
D0029,1,天地____,てんちかいびゃく,開闢,,"➡天地開闢（てんちかいびゃく）
天地のはじまり。世界のはじまり。天地創造。〈漢検四字熟語辞典〉
★「開闢」は、天地の開け初めのこと。
類：開天闢地（かいてんへきち）／類：天地創造（てんちそうぞう）",＊『天照座伊勢二所皇太神宮御鎮座次第記』
D0030,1,____反側,てんてんはんそく,輾転,展転,"➡輾転反側／展転反側（てんてんはんそく）
心配したり思い悩んだりして眠れず何度も寝返りを打つこと。〈漢検四字熟語辞典〉
★「輾転」と「反側」ともに、寝返りを打つ意。",＊『詩経-周南･関雎』
D0031,1,____錯節,ばんこんさくせつ,槃根,盤根,"➡槃根錯節／盤根錯節（ばんこんさくせつ）
事柄が入り組んで、解決が困難なこと。〈漢検四字熟語辞典〉
★「槃根」は、地中で曲がりくねっている木の根のこと。
★「錯節」は、入り組んだ木の節の意。
類：紆余曲折（うよきょくせつ）／類：複雑多岐（ふくざつたき）",＊『後漢書-虞詡伝』
D0032,1,夢幻____,むげんほうよう,泡影,,"➡夢幻泡影（むげんほうよう）
人生がはかないことのたとえ。〈漢検四字熟語辞典〉
★夢と幻と泡と影で、いずれも儚いもののたとえ。
類：泡沫夢幻（ほうまつむげん）",＊『金剛経』
D0033,1,河図____,かとらくしょ,洛書,,"➡河図洛書（かとらくしょ）
滅多に手に入れることができない図書のこと。得難い図書の意。〈漢検四字熟語辞典〉
★「河図」は、中国古代の伝説で、伏羲(ﾌｯｷ)の世に、黄河から現れた竜馬(ﾘｮｳﾊﾞ)の背の旋毛(渦巻いた毛)の形を写したという図のことで、易の八卦のもととなったという。
★「洛書」は、夏(ｶ)の禹王(ｳｵｳ)のとき、洛水から現れた神亀(ｼﾝｷ)の背の文字を写したという図のことで、「書経」の「洪範」のもとになったという。",＊『易経-繫辞･上』
D0034,1,海底____,かいていろうげつ,撈月,,"➡海底撈月（かいていろうげつ）
実現不可能なことをやろうとして、余分な労力を費やすこと。〈漢検四字熟語辞典〉
★「撈月」は、月をすくいあげる意。
★海面に映った月を見て、本物の月だと思い込み、海底から月をすくいあげようとする意から。
類：猿猴取月（えんこうしゅげつ）／類：海中撈月（かいちゅうろうげつ）／類：海底撈針（かいていろうしん）／類：水中撈月（すいちゅうろうげつ）
「海底に月を撈(ｽｸ)う」",＊『不明』
D0035,1,融通____,ゆうずうむげ,無礙,無碍,"➡融通無礙／融通無碍（ゆうずうむげ）
行動や思考が物にとらわれずのびのびしていること。〈漢検四字熟語辞典〉
★「融通」は、滞りなく通る意。
★「無礙」は、妨げのないこと。
類：融通自在（ゆうずうじざい）／類：無礙自在（むげじざい）／類：異類無礙（いるいむげ）",＊『島村抱月-審美的意識の性質を論ず･二』
D0036,1,協心____,きょうしんりくりょく,戮力,,"➡協心戮力（きょうしんりくりょく）
物事を一致協力して行うこと。〈漢検四字熟語辞典〉
★「協心」は、心を一つにすること。
★「戮力」は、力を戮(ｱﾜ)せること。
類：戮力同心（りくりょくどうしん）／類：戮力一心（りくりょくいっしん）／類：戮力斉心（りくりょくせいしん）／類：同心協力（どうしんきょうりょく）／類：一致団結（いっちだんけつ）／類：上下一心（しょうかいっしん）／類：戮力協心（りくりょくきょうしん）",＊『報徳記･一』
D0037,1,三面____,さんめんろっぴ,六臂,,"➡三面六臂（さんめんろっぴ）
一人で数人分の働きをしたり、多方面で活躍したりすること。〈漢検四字熟語辞典〉
★三つの顔（三面）と、六本の腕（六臂）を持つ仏像があることからいう語。
類：八面六臂（はちめんろっぴ）／類：縦横無尽（じゅうおうむじん）",＊『虎明本狂言･夷大黒』
D0038,1,飛耳____,ひじちょうもく,長目,,"➡飛耳長目（ひじちょうもく）
物事の観察が鋭く世情にも精通していること。〈漢字ペディア〉
★「飛耳」は、遠くのことを聞くことができる耳。
★「長目」は、遠方まで見通せる目。
類：長目飛耳（ちょうもくひじ）／類：鳶目兎耳（えんもくとじ）",＊『太平策』
D0039,1,光風____,こうふうせいげつ,霽月,,"➡光風霽月（こうふうせいげつ）
心が清らかでわだかまりがなく、爽快であること。〈漢検四字熟語辞典〉
★「霽」は、晴れる意。
★太陽の光の中を爽やかに吹く風と、雨上がりの澄み切った空に出る月のこと。
類：明鏡止水（めいきょうしすい）／類：虚心坦懐（きょしんたんかい）",＊『黄庭堅-濂渓詩序』
D0040,1,春風____,しゅんぷうたいとう,駘蕩,,"➡春風駘蕩（しゅんぷうたいとう）
何事もなく平穏なさま。また、穏和でのんびりとした人柄のこと。〈漢検四字熟語辞典〉
★「駘蕩」は、のんびりと落ち着いている様子。",＊『恋慕ながし･二三』
D0041,1,侃侃____,かんかんがくがく,諤諤,,"➡侃侃諤諤（かんかんがくがく）
遠慮することなく盛んに議論をするさま。また、遠慮せず直言すること。〈漢検四字熟語辞典〉
★「侃侃」は、剛直なさま。
★「諤諤」は、はばかることなく直言する意。
★略して「侃諤」ともいう。
類：百家争鳴（ひゃっかそうめい）／類：議論百出（ぎろんひゃくしゅつ）",＊『中江兆民-兆民文集』
D0042,1,意匠____,いしょうさんたん,惨澹,惨憺,"➡意匠惨澹／意匠惨憺（いしょうさんたん）
工夫を凝らすのに苦心すること。〈漢検四字熟語辞典〉
★「意匠」は、工夫、また、工夫を凝らすこと。
★「惨澹」は、心を悩まし苦心するさま。
類：苦心惨憺（くしんさんたん）／類：焦唇乾舌（しょうしんかんぜつ）／類：粒粒辛苦（りゅうりゅうしんく）",＊『杜甫-丹青引』
D0043,1,櫛風____,しっぷうもくう,沐雨,,"➡櫛風沐雨（しっぷうもくう）
非常に苦労することのたとえ。風雨にもめげずよく働くこと。〈漢検四字熟語辞典〉
★「櫛風」は、風が髪をくしけずる。
★「沐雨」は、雨が体を洗うこと。
★雨や風にさらされながら苦労して働くという意味から。
類：櫛風浴雨（しっぷうよくう）
「風に櫛(ｸｼｹｽﾞ)り雨に沐(ﾓｸ)す」",＊『晋書-文帝綱』
D0044,1,八面____,はちめんろっぴ,六臂,,"➡八面六臂（はちめんろっぴ）
一人で何人分もの働きをすること。また、多方面で目覚ましく活躍すること。〈漢検四字熟語辞典〉
★一つの体に八つの顔と六本の腕を持っているということ。
類：三面六臂（さんめんろっぴ）",＊『獅子文六-自由学校･彼女がそう叫ぶには』
D0045,1,跼天____,きょくてんせきち,蹐地,,"➡跼天蹐地／局天蹐地（きょくてんせきち）
非常に恐れて身の置き所のない形容。また、肩身を狭くして世をはばかって暮らすこと。〈漢検四字熟語辞典〉
★天は高いのに背を跼(ｶｶﾞ)め、大地は広く厚いのに忍び足でそっと歩く（蹐）こと。
「天に跼(ｾｸﾞｸﾏ)り地に蹐(ﾇｷｱｼ)す」",＊『詩経-小雅･正月』
D0046,1,____三絶,いへんさんぜつ,韋編,,"➡韋編三絶（いへんさんぜつ）
書物を繰り返し読むこと。読書や学問に熱心なたとえ。〈漢検四字熟語辞典〉
★「韋編」は、木簡や竹簡をなめし革のひもで綴った昔の書物。
★「三絶」は、何度も断ち切れる意。
★孔子が易経を何度も読んだため、その書を綴ったなめし革のひもが幾度となく断ち切れたという故事から。
「韋編(ｲﾍﾝ)三(ﾐ)たび絶(ﾀ)つ」",＊『史記-孔子世家』
D0047,1,桃李____,とうりせいけい,成蹊,,"➡桃李成蹊（とうりせいけい）
徳がある人のもとには黙っていても自然に人が集まってくるということ。〈漢検四字熟語辞典〉
★花が美しく実がうまい桃や李（ｽﾓﾓ）の木の下には、それに惹かれて人が集まってくるために、自然に小道（蹊）ができるという意。
類：李広成蹊（りこうせいけい）
「桃李言わざれども下自(ｵﾉ)ずから蹊(ｹｲ)を成(ﾅ)す」㈣書／●H11-1㈣書／●H15-1㈣書／●H17-3㈣書／●H19-2㈣書／●H21-3㈣書",＊『史記-李将軍伝･賛』
D0048,1,____曲折,うよきょくせつ,紆余,,"➡紆余曲折（うよきょくせつ）
曲がりくねること。また、事情が込み入り複雑なこと。〈漢検四字熟語辞典〉
★「紆余」は、道がくねくね曲がること。
★「曲折」は、折れ曲がること。
類：曲折浮沈（きょくせつふちん）",＊『久米邦武-米欧回覧実記･三』
D0049,1,____無礼,いんぎんぶれい,慇懃,,"➡慇懃無礼（いんぎんぶれい）
表面はきわめて礼儀正しく丁寧であるが、実はひどく尊大であること。また、言葉遣いや態度などが丁寧過ぎるのは、かえって無礼であること。〈漢検四字熟語辞典〉
★「慇懃」は、きわめて丁寧なこと。非常に礼儀正しいこと。
類：慇懃尾籠（いんぎんびろう）",＊『加賀乙彦-くさびら譚･二』
D0050,1,無余____,むよねはん,涅槃,,"➡無余涅槃（むよねはん）
肉体など形の制約から解放された悟りの境地。心だけでなく肉体のわずらいからも開放された悟りの世界。〈漢検四字熟語辞典〉
★「無余」は、残っていないこと。すべて。
★「涅槃」は、煩悩を脱し悟りの境地に入ること。",＊『法華経-序品』
D0051,1,喧喧____,けんけんごうごう,囂囂,,"➡喧喧囂囂（けんけんごうごう）
多くの人がやかましく騒ぐさま。〈漢検四字熟語辞典〉
★「喧喧」と「囂囂」は、やかましい･騒がしい意。",＊『木下尚江-火の柱･一四』
D0052,1,勇往____,ゆうおうまいしん,邁進,,"➡勇往邁進（ゆうおうまいしん）
目的を目指しまっしぐらに突き進むこと。〈漢検四字熟語辞典〉
★「邁進」は、ひるまず勇ましく進むこと。
類：勇往猛進（ゆうおうもうしん）／類：直往邁進（ちょくおうまいしん）／類：猪突猛進（ちょとつもうしん）",＊『東京朝日新聞-明治三六年･八月一〇日』
D0053,1,明眸____,めいぼうこうし,皓歯,,"➡明眸皓歯（めいぼうこうし）
美人のたとえ。〈漢検四字熟語辞典〉
★美しく澄んだ眸(ﾋﾄﾐ)と、皓(ｼﾛ)く美しい歯の意。
類：蛾眉皓歯（がびこうし）／類：朱唇皓歯（しゅしんこうし）／類：仙姿玉質（せんしぎょくしつ）／類：氷肌玉骨（ひょうきぎょっこつ）／類：曲眉豊頰（きょくびほうきょう）／類：羞花閉月（しゅうかへいげつ）／類：沈魚落雁（ちんぎょらくがん）",＊『曹植-洛神賦』
D0054,1,____追従,あゆついしょう,阿諛,,"➡阿諛追従（あゆついしょう）
相手に気に入られようと、こびへつらうこと。〈漢検四字熟語辞典〉
★「阿諛」は、おもねりへつらう意。
★「追従」は、他人にこびへつらうこと。また、その言葉。
類：阿諛曲従（あゆきょくしょう）／類：阿諛便佞（あゆべんねい）／類：阿諛追随（あゆついずい）／類：世辞追従（せじついしょう）",＊『漢書-匡衡伝』
D0055,1,八面____,はちめんれいろう,玲瓏,,"➡八面玲瓏（はちめんれいろう）
四方八方が透き通って明らかなこと。また、心にわだかまりがなく、すっきりと澄みきっていること。また、誰とでも円満･巧妙に交際すること。〈漢検四字熟語辞典〉
★「八面」は、あらゆる方面のこと。
★「玲瓏」は、美しく輝くさま、美しく透き通るさま。
★どこから見ても曇りがなく鮮やかで美しい意。
類：八方美人（はっぽうびじん）",＊『馬熙-開窓看雨･詩』
D0056,1,____素餐,しいそさん,尸位,,"➡尸位素餐（しいそさん）
ある地位にいて職責を果たさず無駄に禄を貰っていること。〈漢検四字熟語辞典〉
★「尸位」は、形代（尸）がその位置から動かないように高い地位にいながら責務を果たさないこと。
★「素餐」は、何もせずにただ食うこと。
類：尸禄素餐（しろくそさん）／類：窃位素餐（せついそさん）",＊『論衡-量知』
D0057,1,和気____,わきあいあい,藹藹,靄靄,"➡和気藹藹／和気靄靄（わきあいあい）
なごやかな気分が満ち溢れているさま。〈漢検四字熟語辞典〉
★「和気」は、和やかで、のどかな気分のこと。
★「藹藹」は、穏やかなさま、和やかな意。
類：和気靄然（わきあいぜん）／類：和気洋洋（わきようよう）",＊『風俗画報-二四号･論説』
D0058,1,風光____,ふうこうめいび,明媚,,"➡風光明媚（ふうこうめいび）
自然の景色が清らかで美しいこと。〈漢検四字熟語辞典〉
★「風光」は、景色･眺めのこと。
★「明媚」は、清らかで美しい意。",＊『矢田挿雲-江戸から東京へ･四』
D0059,1,一気____,いっきかせい,呵成,,"➡一気呵成（いっきかせい）
ひといきに文章を書きあげること。また、物事を中断することなく一息に仕上げてしまうこと。〈漢検四字熟語辞典〉
★「呵」は、ハッと息を吹きかける擬音語。",＊『詩藪-内編･近体中』
D0060,1,麻姑____,まこそうよう,搔痒,"掻痒
搔癢
掻癢","➡麻姑搔痒／麻姑掻痒／麻姑搔癢／麻姑掻癢（まこそうよう）
物事が思いのままになること。また、行き届くこと。〈漢検四字熟語辞典〉
★「麻姑」は、中国伝説の仙女。鳥のような長い爪を持つという。
★「搔痒」は、かゆいところをかくこと。
★中国漢代桓帝(ｶﾝﾃｲ)のころ蔡経(ｻｲｹｲ)という者が麻姑の長い爪で背中をかかせたら、さぞ気持ちがよいだろうと秘かに思ったという故事から。",＊『神仙伝-麻姑』
D0061,1,魑魅____,ちみもうりょう,魍魎,罔両,"➡魑魅魍魎／魑魅罔両（ちみもうりょう）
いろいろな化け物。また、私欲のために悪だくみする悪人のたとえ。〈漢検四字熟語辞典〉
★「魑魅」は、山林･沼沢の気から生じる妖怪。
★「魍魎」は、山川･木石の精気から生じる妖怪。
類：百鬼夜行（ひゃっきやこう）",＊『春秋左氏伝-宣公三年』
D0062,1,____臆測,"しまおくそく
すいまおくそく",揣摩,,"➡揣摩臆測／揣摩憶測（しまおくそく／すいまおくそく）
物事を自分の心だけでいい加減に推測すること。〈漢検四字熟語辞典〉
★「揣摩」は、おしはかる意。
★「臆測」は、いい加減な推測の意。",＊『戦国策-秦策』
D0063,1,____聴従,"えんべんちょうじゅう
えんばんちょうじゅう",婉娩,,"➡婉娩聴従（えんべんちょうじゅう／えんばんちょうじゅう）
心が優しく素直で、人の言うことに逆らわずに従うさま。もと女訓(ｼﾞｮｸﾝ:女性への教え)の一つ。〈漢検四字熟語辞典〉
★「婉娩」は、おとなしく素直なさま、しとやかなさま。
★「聴従」は、命令に従うこと。",＊『礼記-内則』
D0064,1,____同穴,かいろうどうけつ,偕老,,"➡偕老同穴（かいろうどうけつ）
夫婦の契りがかたく、仲むつまじいこと。〈漢検四字熟語辞典〉
★夫婦が偕(ﾄﾓ)に仲良く年をとり(老)、死後は同じ墓（同穴）に葬られること。",＊『言泉集-下野守義朝為亡室修善』
D0065,1,罵詈____,ばりざんぼう,讒謗,,"➡罵詈讒謗（ばりざんぼう）
ありとあらゆる悪口をいうこと。〈漢検四字熟語辞典〉
★「罵詈」は、口汚く相手をののしること。
★「讒謗」は、そしる意。
類：悪口雑言（あっこうぞうごん）／類：讒謗罵詈（ざんぼうばり）／類：罵詈雑言（ばりぞうごん）／類：悪口罵詈（あっこうばり）",＊『坪内逍遥-当世書生気質･一〇』
D0066,1,結跏____,けっかふざ,趺坐,,"➡結跏趺坐（けっかふざ）
仏教の座法の一つ。また、座禅のときの座法の一つ。〈漢検四字熟語辞典〉
★「跏」は、足の裏。
★「趺」は、足の甲のこと。
★左右の足の甲を反対の足の股のつけ根に引きつけて置き、両足の裏が上を向くように組む。",＊『法華経』
D0067,1,繁文____,はんぶんじょくれい,縟礼,,"➡繁文縟礼（はんぶんじょくれい）
形式や手続きが複雑で面倒なこと。〈漢検四字熟語辞典〉
★「繁文」は、こまごまとした飾り、わずらわしい規則のこと。
★「縟礼」は、込み入った礼儀作法の意。",＊『徳富蘇峰-大日本膨脹論･征清の真意義』
D0068,1,____玉折,らんさいぎょくせつ,蘭摧,,"➡蘭摧玉折（らんさいぎょくせつ）
賢人や美人などの死をいう。すぐれた人として終わりまでまっとうして死ぬことにもいう。〈漢検四字熟語辞典〉
★蘭の花が摧(ｸﾀﾞ)け散り玉が折れ割れる意。",＊『世説新語-言語』
D0069,1,余韻____,よいんじょうじょう,嫋嫋,,"➡余韻嫋嫋／余音嫋嫋（よいんじょうじょう）
音声が鳴りやんでもなお残るひびきが、細く長く続くさま。詩や文章の表現の背後に感じられる風情にもたとえる。〈漢検四字熟語辞典〉
★「嫋嫋」は、音や声の細く長く続くさま。",＊『蘇軾-前赤壁賦』
